"EF1","BOGENART","FALLNR","LEISTUNGSGRUPPE","PERSONENGRUPPE","TAETIGKEITSSCHLUESSEL1","TAETIGKEITSSCHLUESSEL2","TAETIGKEITSSCHLUESSEL3","TAETIGKEITSSCHLUESSEL4","TAETIGKEITSSCHLUESSEL5","EF3U1","EF3U2","EF4","EF5","EF6","EF7","EF8","EF9","EF10","EF11","EF12U1","EF12U2","EF14U1","EF14U2","EF15","EF16U1","EF16U2","EF17","EF18","EF19","EF20","EF21","EF22","EF23","EF24","EF25","EF26","EF27","EF28","EF29","EF33","EF34","EF35","EF36","EF37","EF38","EF39","EF40","EF41","EF42","EF43","EF44","EF45","EF46","EF47","EF48","EF49","EF50","EF52","EF53","EF55","EF57","EF58","EF59U1","EF59U3","YEAR","KEYE","B21","B23","B24","B27","B28","B29","B412","B423","B43","B52","KEYL","EF21H","MONTHS_OF_SERVICE"
52010,1,24395,4,104,79664,8,4,2,3,920,8,35486,746,"aaa",2,1,1,2,1942,9,1958,4,2018,45687,6,6,3,16,332,145,22111,8087,7882,111672,3501,105,2764954,2282783,28,2,134721,3069,7,58,863,"aaaaaaaa",8,53,174,8,66771,3742746,0,3991845,690.580017089844,89,16.3500003814697,94.25,25,178458,1,3,3,3,2018,"aaaaaa","a",855,"a","aa","a","aaa",100000000,44595,2039.57995605469,1103.7900390625,59356,66.5993975903614,60
31533,1,8591,1,613,90808,1,4,2,4,644,5,33751,193,"",4,1,3,1,1947,11,1974,4,2018,4133,7,4,5,82,335,79,39367,3226,1127,34664,2672,303,2104237,4860447,2,1,436204,16252,6,36,548,"aaaaaaaa",9,57,348,1,148758,1210130,1,1275269,1345.57995605469,23,7.34999990463257,78.25,12,3105,3,1,4,3,2018,"aaaaaa","a",265,"a","aa","a","aaa",100000000,58593,375.579986572266,319.790008544922,9127,117.513432835821,44
51966,1,37572,4,736,86852,5,4,2,4,3259,2,43700,379,"aa",2,1,3,2,1971,10,1960,4,2018,77020,0,1,4,28,117,40,156315,2774,3168,115687,2638,304,6012564,3375982,45,2,824348,15952,4,44,1012,"aaaaaaaa",43,37,899,3,50305,7705208,1,1885365,177.580001831055,20,33.3499984741211,12.25,27,328570,3,3,3,6,2018,"aaaaaa","a",47,"a","aa","a","aaa",100000000,60517,1821.57995605469,106.790000915527,49070,1336.02564102564,58
4066,1,28024,4,497,85494,2,7,2,1,3328,1,86400,633,"",4,1,1,1,1953,4,1972,4,2018,77338,6,1,3,7,61,184,334977,8308,6681,40715,3217,91,5276388,2238210,92,1,556234,2109,7,59,564,"aaaaaaaa",43,55,62,2,208580,2286367,1,4366106,2108.580078125,9,50.3499984741211,53.25,0,286680,1,1,2,4,2018,"aaaaaa","a",86,"a","aa","a","aaa",100000000,154712,504.579986572266,492.790008544922,58019,5491.4262295082,46
34616,1,29400,3,308,18637,5,6,1,2,2156,2,34982,551,"",4,1,2,1,1933,3,1959,4,2018,19687,4,7,4,56,199,111,233294,7379,7706,17402,3768,251,136971,1477882,87,2,915431,23302,6,47,746,"aaaaaaaa",47,90,248,5,77143,6970749,1,5017585,1890.57995605469,35,10.3500003814697,0.25,17,328654,3,2,1,1,2018,"aaaaaa","a",106,"a","aa","a","aaa",100000000,121386,1136.57995605469,1276.7900390625,19048,1172.33165829146,59
13345,1,32803,1,348,67532,4,1,1,4,1849,0,55493,791,"aaa",2,1,4,1,1974,2,1999,4,2018,84803,8,1,4,71,301,123,153729,7129,2092,122294,2630,83,2601569,2794560,67,1,224910,12965,5,42,444,"aaaaaaaa",34,75,404,2,21639,4757093,1,2350597,881.580017089844,50,37.3499984741211,67.25,2,237239,2,3,4,3,2018,"aaaaaa","a",700,"a","aa","a","aaa",100000000,42396,699.580017089844,966.789978027344,42052,510.727574750831,19
34164,1,20122,1,221,74861,9,6,2,2,3926,3,82754,458,"",5,1,2,1,1997,2,1955,4,2018,54505,7,3,1,50,221,145,28930,3122,6397,89635,3490,156,2568457,977103,51,1,222755,38212,7,49,534,"aaaaaaaa",33,51,405,7,34500,4623865,0,5279950,1841.57995605469,87,16.3500003814697,12.25,26,270458,1,2,4,6,2018,"aaaaaa","a",797,"a","aa","a","aaa",100000000,33397,455.579986572266,480.790008544922,14343,130.904977375566,63
36640,1,8083,3,191,83724,2,5,1,2,1613,6,33902,797,"aa",1,1,1,1,1964,9,1972,4,2018,27546,0,5,1,47,13,171,318360,1084,1353,88113,2093,129,1686004,15811,91,2,925014,20092,5,54,843,"aaaaaaaa",20,46,922,1,48694,72377,1,2890821,1178.57995605469,4,13.3500003814697,33.25,2,41945,3,2,3,3,2018,"aaaaaa","a",949,"a","aa","a","aaa",100000000,151158,789.580017089844,285.790008544922,23865,24489.2307692308,46
60288,1,2795,4,108,26766,6,3,2,2,3933,2,37218,259,"",1,1,4,1,1999,6,1955,4,2018,23149,5,2,5,83,218,123,323781,4293,4432,134280,317,220,5536492,3325739,27,2,384941,10788,6,49,1168,"aaaaaaaa",41,78,596,2,95955,2345220,0,1949730,839.580017089844,32,8.35000038146973,40.25,2,232830,2,3,2,2,2018,"aaaaaa","a",792,"a","aa","a","aaa",100000000,184810,495.579986572266,889.789978027344,55517,1485.23394495413,63
26882,1,10705,4,746,58674,8,9,2,1,2672,9,82431,131,"aaaa",3,1,2,1,1955,6,2007,4,2018,44153,2,1,2,50,51,44,168742,4247,6983,147067,2209,304,5964085,3879397,86,2,405465,33241,4,50,1008,"aaaaaaaa",18,67,783,5,157281,6312115,1,410104,1436.57995605469,49,44.3499984741211,44.25,2,22756,3,3,3,6,2018,"aaaaaa","a",530,"a","aa","a","aaa",100000000,155889,1510.57995605469,1141.7900390625,27513,3308.66666666667,11
