"EF1","BOGENART","FALLNR","LEISTUNGSGRUPPE","PERSONENGRUPPE","TAETIGKEITSSCHLUESSEL1","TAETIGKEITSSCHLUESSEL2","TAETIGKEITSSCHLUESSEL3","TAETIGKEITSSCHLUESSEL4","TAETIGKEITSSCHLUESSEL5","EF3U1","EF3U2","EF4","EF5","EF6","EF7","EF8","EF9","EF10","EF11","EF12U1","EF12U2","EF14U1","EF14U2","EF15","EF16U1","EF16U2","EF17","EF18","EF19","EF20","EF21","EF22","EF23","EF24","EF25","EF26","EF27","EF28","EF29","EF33","EF34","EF35","EF36","EF37","EF38","EF39","EF40","EF41","EF42","EF43","EF44","EF45","EF46","EF47","EF48","EF49","EF50","EF52","EF53","EF55","EF57","EF58","EF59U1","EF59U3","YEAR","KEYE","B21","B23","B24","B27","B28","B29","B412","B423","B43","B52","KEYL","EF21H"
52010,1,24395,4,101,79664,8,4,2,3,920,8,35486,746,"aaa",2,1,1,2,1942,9,1958,4,2018,45687,6,6,3,16,332,145,22111,8087,7882,111672,3501,105,2764954,2282783,28,2,134721,3069,7,58,863,"aaaaaaaa",8,53,174,8,66771,3742746,0,3991845,690.580017089844,89,16.3500003814697,94.25,25,178458,1,3,3,3,2018,"aaaaaa","a",855,"a","aa","a","aaa",100000000,44595,2039.57995605469,1103.7900390625,59356,66.5993975903614
4066,1,28024,4,101,85494,2,7,2,1,3328,1,86400,633,"",4,1,1,1,1953,4,1972,4,2018,77338,6,1,3,7,61,184,334977,8308,6681,40715,3217,91,5276388,2238210,92,1,556234,2109,7,59,564,"aaaaaaaa",43,55,62,2,208580,2286367,1,4366106,2108.580078125,9,50.3499984741211,53.25,0,286680,1,1,2,4,2018,"aaaaaa","a",86,"a","aa","a","aaa",100000000,154712,504.579986572266,492.790008544922,58019,5491.4262295082
20014,1,19726,5,101,34411,9,4,1,3,3122,9,66662,392,"",1,1,3,1,1960,12,1962,4,2018,77496,6,2,2,75,118,124,374712,6389,4039,65954,1688,40,1157521,3107525,38,2,824957,55875,7,38,538,"aaaaaaaa",10,52,777,1,65409,3387380,1,638596,1825.57995605469,17,8.35000038146973,22.25,14,81808,1,2,3,2,2018,"aaaaaa","a",153,"a","aa","a","aaa",100000000,166482,1432.57995605469,37.7900009155273,69814,3175.52542372881
52606,1,4056,1,101,27630,6,8,1,1,2397,6,33849,866,"aa",5,1,1,2,1983,6,1995,4,2018,25294,1,5,1,53,20,7,69155,546,7829,73299,2421,73,4338608,4954008,35,2,701861,3104,4,39,779,"aaaaaaaa",28,45,778,1,209620,1494290,0,5106075,2302.580078125,99,33.3499984741211,67.25,13,166040,2,1,4,2,2018,"aaaaaa","a",313,"a","aa","a","aaa",100000000,32867,1068.57995605469,670.789978027344,52548,3457.75
40137,1,40802,4,101,14620,9,6,1,3,2928,1,69605,41,"aaa",3,1,4,1,1975,8,1965,4,2018,48596,3,6,1,61,129,95,144134,4611,1635,164497,768,214,6244864,3753532,73,2,496993,29184,6,49,1341,"aaaaaaaa",32,40,850,3,120043,1198121,1,129116,515.580017089844,75,35.3499984741211,15.25,3,250027,1,1,2,4,2018,"aaaaaa","a",636,"a","aa","a","aaa",100000000,40471,2262.580078125,75.7900009155273,6750,1117.31782945736
4799,1,28063,3,101,67230,1,3,1,3,2883,6,36635,218,"",4,1,3,2,1990,3,1997,4,2018,26626,3,4,5,60,324,3,182056,2531,4999,55,2757,336,7588123,289056,63,1,168094,27775,4,44,778,"aaaaaaaa",55,18,37,6,13068,864910,0,3754506,158.580001831055,18,30.3500003814697,74.25,18,241965,3,3,1,2,2018,"aaaaaa","a",958,"a","aa","a","aaa",100000000,25914,281.579986572266,7.78999996185303,18776,561.901234567901
36130,1,17468,4,101,49491,2,8,1,3,505,8,10910,241,"aa",3,1,1,1,1952,3,1970,4,2018,82419,5,3,5,62,137,40,179693,883,7031,119028,397,323,7025427,69330,88,2,532104,50533,7,55,266,"aaaaaaaa",5,24,330,4,119571,4381012,1,2191836,156.580001831055,31,13.3500003814697,73.25,29,231283,3,3,2,4,2018,"aaaaaa","a",277,"a","aa","a","aaa",100000000,148140,1245.57995605469,721.789978027344,8199,1311.62773722628
46012,1,42550,4,101,21480,9,7,1,3,4280,8,48519,719,"",1,1,3,1,1948,12,1981,4,2018,85459,8,1,2,59,319,67,113969,6948,1875,59238,3115,210,1040350,348384,48,2,419602,56074,5,40,966,"aaaaaaaa",28,26,18,5,146359,985209,0,2813474,1300.57995605469,26,40.3499984741211,58.25,36,110489,2,1,4,1,2018,"aaaaaa","a",483,"a","aa","a","aaa",100000000,101206,365.579986572266,412.790008544922,883,357.269592476489
16170,1,19841,5,101,1780,9,5,2,1,3495,2,11970,706,"",4,1,2,2,1996,7,1968,4,2018,2941,5,6,1,14,201,178,205344,2379,6078,73784,3782,58,6297081,3428300,79,2,92281,4893,5,60,133,"aaaaaaaa",6,49,232,1,81906,6706683,0,1653762,502.579986572266,4,37.3499984741211,87.25,22,1572,3,3,2,3,2018,"aaaaaa","a",152,"a","aa","a","aaa",100000000,8205,1075.57995605469,361.790008544922,23611,1021.61194029851
18019,1,25946,4,101,67933,2,5,1,1,2062,8,59007,439,"",2,1,4,1,1993,1,1977,4,2018,19893,7,4,3,2,164,19,199588,3115,8330,118365,661,97,901937,4945513,31,1,309966,52949,6,43,669,"aaaaaaaa",40,54,688,6,107387,2611733,0,2161655,2110.580078125,97,49.3499984741211,36.25,4,99064,2,1,4,6,2018,"aaaaaa","a",321,"a","aa","a","aaa",100000000,1921,315.579986572266,966.789978027344,23386,1217
6772,1,36313,3,101,92498,7,5,1,3,965,9,30487,707,"aaa",2,1,1,2,1994,1,1998,4,2018,14364,3,1,1,17,169,156,129492,4072,4579,26685,2233,264,2374125,1842369,94,2,427151,11054,6,45,95,"aaaaaaaa",19,22,560,7,140788,72260,1,4122388,1830.57995605469,78,13.3500003814697,12.25,21,120225,1,3,1,3,2018,"aaaaaa","a",774,"a","aa","a","aaa",100000000,177057,1008.58001708984,136.789993286133,63361,766.224852071006
47099,1,444,3,101,88265,7,8,1,1,2463,8,36286,446,"aa",2,1,5,2,1984,10,1962,4,2018,11678,3,5,4,69,194,38,213105,475,6576,174853,237,191,896618,3253436,90,2,695232,50041,5,25,699,"aaaaaaaa",20,21,232,2,138574,5339551,1,1716223,270.579986572266,29,7.34999990463257,78.25,22,244800,2,3,4,4,2018,"aaaaaa","a",300,"a","aa","a","aaa",100000000,28020,101.580001831055,134.789993286133,5580,1098.4793814433
