EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
387,2,16,2,aa,30,5,4,444.3010423489981,4,101
1488,2,26,2,aa,44,2,5,1159.7961031651496,4,101
1503,2,86,2,aa,48,1,3,906.2264769678027,4,101
1815,2,42,2,aa,16,4,2,733.4796091742869,4,101
1830,2,82,2,aa,61,5,4,958.5245030730391,2,101
2012,1,20,2,aa,61,5,2,1218.8682635324137,3,101
5764,1,31,2,aa,52,5,3,843.6224562470177,3,772
5795,2,83,2,aa,45,1,2,735.9728591376353,2,101
5832,1,20,2,aa,3,1,3,497.60221250738385,4,101
5951,1,30,1,aa,9,1,5,735.9313578047141,1,101
6900,1,55,2,aa,43,5,3,706.7201347128732,4,101
6959,2,48,1,aa,27,5,3,498.2063648645824,2,101
7812,2,51,2,aa,60,5,3,707.815747075313,4,772
10259,1,49,2,aa,19,4,5,109.33740431895592,4,193
10723,2,80,2,aa,10,3,4,1195.9897745362634,3,101
10854,2,40,1,aa,45,3,4,349.93483516554045,1,101
10917,2,27,1,aa,15,3,4,84.53595975109539,4,331
12337,2,80,1,aa,19,3,3,856.5328768045764,4,101
12425,2,21,2,aa,15,3,4,1172.328439403739,3,101
12868,1,80,2,aa,54,2,3,1341.3151786506353,1,101
12905,2,31,1,aa,60,3,5,995.3810048211458,2,101
15474,2,87,2,aa,31,2,4,340.12308564719774,2,482
15478,2,31,1,aa,28,2,3,336.6411583733719,1,213
15499,2,28,2,aa,60,2,5,892.9508982348249,1,101
15724,2,81,1,aa,60,3,2,1330.59608040504,2,101
15736,1,69,2,aa,1,3,3,865.592998906611,4,357
15779,2,29,1,aa,18,3,5,871.4607952388052,3,101
15830,1,69,1,aa,28,3,4,1350.9176656111251,1,101
15869,1,63,2,aa,18,4,5,893.858850634907,2,320
16732,1,69,2,aa,44,7,5,552.1379796630224,4,101
17097,1,71,1,aa,24,5,3,766.8027432978749,4,101
17125,1,44,1,aa,41,5,4,838.1544203866185,1,101
17157,1,49,2,aa,30,5,3,398.53877852481816,3,101
17226,2,61,1,aa,41,5,4,1335.8083452723122,4,101
18011,2,48,2,aa,38,7,3,393.8473124150038,1,101
18247,1,41,1,aa,41,7,4,1330.266683549852,4,101
18354,1,29,2,aa,41,2,3,767.3572903019117,3,230
22705,2,83,1,aa,38,1,4,517.5557233295839,3,227
22713,1,21,1,aa,18,5,5,1273.8979422204575,1,101
22753,2,82,2,aa,28,7,4,876.5543032432297,1,101
22798,1,29,1,aa,3,7,4,709.4629434217297,3,213
23144,1,25,2,aa,22,4,3,1315.0849885627051,1,808
23481,1,86,1,aa,51,4,3,892.6765930400898,1,803
23765,1,82,1,aa,60,5,4,1256.1764464503926,1,756
23873,1,21,2,aa,2,7,3,711.8128026970306,4,486
23969,2,20,2,aa,15,5,5,518.9305512172201,4,235
24003,1,54,1,aa,54,7,3,1142.2293544641693,4,225
24365,1,40,1,aa,18,7,3,1158.0910845903152,4,545
24438,1,24,1,aa,60,7,3,413.4220667848513,1,545
24459,1,40,1,aa,31,7,3,863.7191309590407,3,545
24842,1,16,1,aa,17,2,1,417.94481575169846,2,572
24881,2,69,2,aa,53,7,1,528.9884503325204,1,572
25224,2,61,1,aa,1,5,2,104.37069220933216,1,101
26775,1,81,1,aa,23,4,2,1090.3356624658816,2,101
27188,1,69,2,aa,9,4,1,548.391850374919,2,101
27332,1,17,1,aa,14,7,1,1195.983172311881,2,685
27982,1,69,2,aa,40,7,2,549.5469866617242,2,101
28332,1,17,2,aa,40,5,2,530.5835318337487,2,101
28659,2,68,2,aa,28,5,1,1144.545345361985,2,101
29241,2,82,2,aa,17,3,2,844.7847280469424,3,375
29388,2,68,2,aa,49,3,5,1117.359702608345,3,101
29427,1,43,2,aa,23,7,5,1341.395710088217,3,101
29430,1,51,2,aa,61,5,1,844.6076826268398,3,101
29704,2,83,1,aa,26,3,1,1200.5730191783027,1,101
29711,1,63,2,aa,30,2,1,1140.4503069710572,3,101
29726,2,29,2,aa,20,3,2,848.8096004502073,3,101
29840,1,70,2,aa,18,2,5,864.2053776850178,1,101
29886,2,70,2,aa,35,5,2,1344.7880171948605,2,101
29923,1,87,1,aa,62,1,1,767.0910777530493,2,101
29935,1,87,2,aa,9,4,2,767.2883187036414,1,101
30725,1,57,1,aa,61,7,5,987.1574460666917,3,101
30808,2,40,1,aa,55,5,2,293.3105907908693,3,101
30816,1,41,1,aa,50,1,1,498.54830852377256,3,101
