EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52,TAETIGKEITSSCHLUESSEL5
387,2,16,2,aa,30,5,4,444.3010423489981,4
1488,2,26,2,aa,44,2,5,1159.7961031651496,4
1503,2,86,2,aa,48,1,3,906.2264769678027,4
1815,2,42,2,aa,16,4,2,733.4796091742869,4
1830,2,82,2,aa,61,5,4,958.5245030730391,2
2012,1,20,2,aa,61,5,2,1218.8682635324137,3
5764,1,31,2,aa,52,5,3,843.6224562470177,3
5795,2,83,2,aa,45,1,2,735.9728591376353,2
5832,1,20,2,aa,3,1,3,497.60221250738385,4
5951,1,30,1,aa,9,1,5,735.9313578047141,1
6900,1,55,2,aa,43,5,3,706.7201347128732,4
6959,2,48,1,aa,27,5,3,498.2063648645824,2
7812,2,51,2,aa,60,5,3,707.815747075313,4
10259,1,49,2,aa,19,4,5,109.33740431895592,4
10723,2,80,2,aa,10,3,4,1195.9897745362634,3
10854,2,40,1,aa,45,3,4,349.93483516554045,1
10917,2,27,1,aa,15,3,4,84.53595975109539,4
12337,2,80,1,aa,19,3,3,856.5328768045764,4
12425,2,21,2,aa,15,3,4,1172.328439403739,3
12868,1,80,2,aa,54,2,3,1341.3151786506353,1
12905,2,31,1,aa,60,3,5,995.3810048211458,2
15474,2,87,2,aa,31,2,4,340.12308564719774,2
15478,2,31,1,aa,28,2,3,336.6411583733719,1
15499,2,28,2,aa,60,2,5,892.9508982348249,1
15724,2,81,1,aa,60,3,2,1330.59608040504,2
15736,1,69,2,aa,1,3,3,865.592998906611,4
15779,2,29,1,aa,18,3,5,871.4607952388052,3
15830,1,69,1,aa,28,3,4,1350.9176656111251,1
15869,1,63,2,aa,18,4,5,893.858850634907,2
16732,1,69,2,aa,44,7,5,552.1379796630224,4
17097,1,71,1,aa,24,5,3,766.8027432978749,4
17125,1,44,1,aa,41,5,4,838.1544203866185,1
17157,1,49,2,aa,30,5,3,398.53877852481816,3
17226,2,61,1,aa,41,5,4,1335.8083452723122,4
18011,2,48,2,aa,38,7,3,393.8473124150038,1
18247,1,41,1,aa,41,7,4,1330.266683549852,4
18354,1,29,2,aa,41,2,3,767.3572903019117,3
22705,2,83,1,aa,38,1,4,517.5557233295839,3
22713,1,21,1,aa,18,5,5,1273.8979422204575,1
22753,2,82,2,aa,28,7,4,876.5543032432297,1
22798,1,29,1,aa,3,7,4,709.4629434217297,3
23144,1,25,2,aa,22,4,3,1315.0849885627051,1
23481,1,86,1,aa,51,4,3,892.6765930400898,1
23765,1,82,1,aa,60,5,4,1256.1764464503926,1
