EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52
387,2,16,2,aa,30,5,4,444.3010423489981
1488,2,26,2,aa,44,2,5,1159.7961031651496
1503,2,86,2,aa,48,1,3,906.2264769678027
1815,2,42,2,aa,16,4,2,733.4796091742869
1830,2,82,2,aa,61,5,4,958.5245030730391
2012,1,20,2,aa,61,5,2,1218.8682635324137
5764,1,31,2,aa,52,5,3,843.6224562470177
5795,2,83,2,aa,45,1,2,735.9728591376353
5832,1,20,2,aa,3,1,3,497.60221250738385
5951,1,30,1,aa,9,1,5,735.9313578047141
6900,1,55,2,aa,43,5,3,706.7201347128732
6959,2,48,1,aa,27,5,3,498.2063648645824
7812,2,51,2,aa,60,5,3,707.815747075313
10259,1,49,2,aa,19,4,5,109.33740431895592
10723,2,80,2,aa,10,3,4,1195.9897745362634
10854,2,40,1,aa,45,3,4,349.93483516554045
10917,2,27,1,aa,15,3,4,84.53595975109539
12337,2,80,1,aa,19,3,3,856.5328768045764
12425,2,21,2,aa,15,3,4,1172.328439403739
12868,1,80,2,aa,54,2,3,1341.3151786506353
12905,2,31,1,aa,60,3,5,995.3810048211458
15474,2,87,2,aa,31,2,4,340.12308564719774
15478,2,31,1,aa,28,2,3,336.6411583733719
15499,2,28,2,aa,60,2,5,892.9508982348249
15724,2,81,1,aa,60,3,2,1330.59608040504
15736,1,69,2,aa,1,3,3,865.592998906611
15779,2,29,1,aa,18,3,5,871.4607952388052
15830,1,69,1,aa,28,3,4,1350.9176656111251
15869,1,63,2,aa,18,4,5,893.858850634907
16732,1,69,2,aa,44,7,5,552.1379796630224
17097,1,71,1,aa,24,5,3,766.8027432978749
17125,1,44,1,aa,41,5,4,838.1544203866185
17157,1,49,2,aa,30,5,3,398.53877852481816
17226,2,61,1,aa,41,5,4,1335.8083452723122
18011,2,48,2,aa,38,7,3,393.8473124150038
18247,1,41,1,aa,41,7,4,1330.266683549852
18354,1,29,2,aa,41,2,3,767.3572903019117
22705,2,83,1,aa,38,1,4,517.5557233295839
22713,1,21,1,aa,18,5,5,1273.8979422204575
22753,2,82,2,aa,28,7,4,876.5543032432297
22798,1,29,1,aa,3,7,4,709.4629434217297
23144,1,25,2,aa,22,4,3,1315.0849885627051
23481,1,86,1,aa,51,4,3,892.6765930400898
23765,1,82,1,aa,60,5,4,1256.1764464503926
23873,1,21,2,aa,2,7,3,711.8128026970306
23969,2,20,2,aa,15,5,5,518.9305512172201
24003,1,54,1,aa,54,7,3,1142.2293544641693
24365,1,40,1,aa,18,7,3,1158.0910845903152
24438,1,24,1,aa,60,7,3,413.4220667848513
24459,1,40,1,aa,31,7,3,863.7191309590407
24842,1,16,1,aa,17,2,1,417.94481575169846
24881,2,69,2,aa,53,7,1,528.9884503325204
25224,2,61,1,aa,1,5,2,104.37069220933216
26775,1,81,1,aa,23,4,2,1090.3356624658816
27188,1,69,2,aa,9,4,1,548.391850374919
27332,1,17,1,aa,14,7,1,1195.983172311881
27982,1,69,2,aa,40,7,2,549.5469866617242
28332,1,17,2,aa,40,5,2,530.5835318337487
28659,2,68,2,aa,28,5,1,1144.545345361985
29241,2,82,2,aa,17,3,2,844.7847280469424
29388,2,68,2,aa,49,3,5,1117.359702608345
29427,1,43,2,aa,23,7,5,1341.395710088217
29430,1,51,2,aa,61,5,1,844.6076826268398
29704,2,83,1,aa,26,3,1,1200.5730191783027
29711,1,63,2,aa,30,2,1,1140.4503069710572
29726,2,29,2,aa,20,3,2,848.8096004502073
29840,1,70,2,aa,18,2,5,864.2053776850178
29886,2,70,2,aa,35,5,2,1344.7880171948605
29923,1,87,1,aa,62,1,1,767.0910777530493
29935,1,87,2,aa,9,4,2,767.2883187036414
30725,1,57,1,aa,61,7,5,987.1574460666917
30808,2,40,1,aa,55,5,2,293.3105907908693
30816,1,41,1,aa,50,1,1,498.54830852377256
30819,1,42,1,aa,8,4,5,836.452807630954
30908,2,87,1,aa,1,2,1,124.86950600816057
30943,2,42,1,aa,33,3,1,1220.709672732255
30955,2,83,1,aa,35,3,5,29.950654192132607
31201,2,71,1,aa,61,1,2,501.64150591974186
31228,2,41,1,aa,17,1,1,832.6425687074609
36073,1,67,2,aa,35,2,5,542.5653079097449
36246,1,48,2,aa,14,2,3,814.1697402439568
36314,2,21,2,aa,59,2,3,1109.951799678691
36388,2,37,2,aa,14,3,5,1039.6807443464484
36757,1,67,2,aa,59,2,2,785.7465372594191
36814,2,49,2,aa,14,4,5,911.8240821616238
37055,1,40,2,aa,7,2,5,913.8472641943061
37270,2,48,2,aa,37,5,3,161.03439715970066
37394,1,49,1,aa,14,5,3,809.6232789780333
37640,2,37,1,aa,59,3,3,128.76443452268109
37733,2,51,1,aa,36,2,3,240.4147969996785
38094,1,76,1,aa,59,2,5,200.99925131908094
38218,1,66,1,aa,59,6,5,1141.227082105535
41005,1,67,2,aa,59,4,5,204.3841052845221
41682,1,44,2,aa,59,4,1,129.93327625932434
41873,1,44,1,aa,12,7,1,206.45065673589488
42152,2,76,2,aa,12,3,1,1242.0524631238743
42874,1,57,1,aa,4,6,1,135.73448239126083
42876,1,51,2,aa,4,6,1,611.4349892098629
45466,1,76,1,aa,50,2,1,1104.7093366141062
45477,1,76,1,aa,58,5,1,607.4354239079374
45509,1,43,1,aa,48,7,1,569.8200417529365
46250,2,19,1,aa,35,4,1,1128.60538113037
46530,1,64,2,aa,35,2,1,134.9184051553808
47026,1,68,1,aa,35,5,5,1156.027866186688
47752,2,40,2,aa,35,5,1,585.4302645166744
48339,2,68,2,aa,35,3,1,7.734145664473262
48439,2,32,1,aa,58,3,1,1219.7865860289025
48660,1,35,1,aa,58,3,1,934.4968479505377
49053,1,17,2,aa,58,6,1,514.9190863727632
49381,2,69,2,aa,14,1,3,1201.1133084506507
49484,2,37,2,aa,14,6,4,732.1464789403757
49496,2,47,2,aa,24,1,2,1285.4318116164786
49729,2,47,2,aa,58,1,4,76.17658672897656
50046,1,32,2,aa,58,6,1,918.6072821773231
50097,2,19,2,aa,39,2,1,613.3692210008829
50179,1,19,2,aa,58,1,5,919.1401334260833
50243,1,40,2,aa,48,3,1,670.8712161765304
50254,1,19,2,aa,48,7,4,1212.4366744334634
50308,2,32,2,aa,7,6,2,76.12373213997785
50578,1,45,2,aa,52,6,2,729.7093118353654
50709,2,45,1,aa,31,1,3,1342.2960137973887
50723,2,18,1,aa,31,1,3,706.0266272591045
50741,1,44,1,aa,42,1,4,242.78335736321537
50761,1,60,1,aa,42,1,3,671.9741373743356
51046,1,60,1,aa,29,2,1,612.7354754125025
51092,1,18,1,aa,29,1,5,809.0869644067221
51871,1,18,1,aa,29,2,4,126.25348140371064
52571,1,38,1,aa,4,6,1,934.6969663947947
52809,2,38,1,aa,4,4,1,545.837368970791
53017,2,38,1,aa,4,6,4,640.710828568405
55615,2,20,1,aa,43,4,4,84.15813973297817
55631,1,86,1,aa,30,3,4,757.8791633653035
55657,1,60,1,aa,43,4,4,519.7758153870025
55684,2,69,1,aa,43,6,2,752.9971639261342
56001,2,63,1,aa,43,6,2,224.95079421852824
56324,2,83,1,aa,43,3,4,731.2588186673278
56686,1,83,2,aa,13,1,5,1240.9372171831606
56756,1,57,1,aa,13,6,4,648.6945407255887
56875,1,16,2,aa,38,6,3,126.30935059624765
56894,1,22,2,aa,36,6,1,85.99961353478722
56918,1,22,1,aa,12,1,2,1014.4931272091704
57114,2,68,1,aa,12,6,5,932.3642923306323
57140,1,58,2,aa,5,6,2,650.8043485869264
57292,1,68,2,aa,54,4,4,983.8671086398541
59457,2,22,1,aa,36,7,3,529.2926975965862
59828,1,67,1,aa,38,2,3,782.1858416339426
60252,2,67,2,aa,15,1,5,78.96307662072138
60283,1,82,2,aa,15,2,4,879.9492203653338
60297,1,32,1,aa,5,4,1,118.93122851471253
60428,2,22,2,aa,15,3,2,73.10937350043653
60569,1,75,2,aa,6,3,4,125.71372817215465
60626,2,75,1,aa,15,3,1,1111.9785324288164
61145,2,18,2,aa,13,5,1,744.5369226320937
61352,1,47,1,aa,5,3,1,127.92129589958972
61435,1,61,2,aa,42,5,2,547.3716796963515
61456,1,63,2,aa,39,1,2,246.37463358805098
63064,1,78,1,aa,39,1,5,231.98176237735856
63175,2,78,1,aa,42,3,1,732.7470628342871
63576,2,45,2,aa,5,5,5,59.30330870802895
65484,1,45,2,aa,14,3,1,28.606543583420873
66021,2,88,2,aa,0,7,5,1096.8676228215636
66071,2,88,2,aa,10,7,5,173.49702689076219
66404,1,55,1,aa,23,2,4,12.849491348365698
66461,2,89,1,aa,59,2,5,648.9728359316007
66653,2,76,1,aa,1,2,5,59.22900849868254
66680,1,16,2,aa,23,5,5,1130.4108373002011
66712,2,16,2,aa,29,2,4,256.0305206877876
66978,2,34,1,aa,29,2,4,1314.7279446797509
66999,2,47,2,aa,2,4,5,13.74859207526392
67036,2,29,2,aa,21,7,3,62.01644548097023
67965,1,66,2,aa,38,2,5,63.982025589206486
68520,2,20,1,aa,10,5,3,671.0219774637168
68814,1,42,1,aa,9,2,4,264.6705202466852
69194,2,35,2,aa,4,2,3,648.241270630178
72040,1,46,2,aa,8,5,3,704.9898399272921
74338,1,29,2,aa,39,2,3,1099.0662255791217
74393,1,43,2,aa,29,5,5,264.8287316809845
74533,1,53,2,aa,63,4,4,606.561147387484
74848,2,31,2,aa,5,5,3,1272.1015888078455
74957,1,35,2,aa,63,4,4,907.4611203701012
75072,1,30,2,aa,28,4,4,445.66463352747144
75565,1,30,2,aa,47,4,3,227.83669740034549
75593,2,51,1,aa,36,5,3,907.6785080325077
75600,1,39,1,aa,47,5,4,226.61236552784305
75643,1,36,1,aa,5,7,3,57.46033975999568
75993,2,41,1,aa,28,7,1,570.1150409190348
76499,2,68,1,aa,52,5,1,27.232707589651852
76539,2,20,1,aa,47,7,1,731.4620751878833
77227,2,35,1,aa,5,7,1,12.124616338031267
77281,2,78,1,aa,61,6,1,686.7706282302017
77500,2,65,1,aa,32,6,5,624.9951894989629
77935,2,71,1,aa,46,1,1,1208.3854438925102
78410,1,77,1,aa,56,6,1,1044.851680199362
78572,2,64,1,aa,8,1,3,431.60798191673797
78619,1,66,2,aa,53,4,5,562.789978027344
79922,1,19,1,aa,53,4,5,13.186729199446368
81262,1,59,2,aa,46,7,3,4.344475598212135
81378,2,33,1,aa,63,6,4,752.5616382465168
85106,1,56,2,aa,53,1,1,129.36348771150318
85364,1,56,2,aa,62,6,1,1221.055409830005
85724,2,38,2,aa,46,6,3,966.4747486824092
85815,1,56,2,aa,46,7,1,1281.2550739356323
