EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,B52,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
387,2,16,2,aa,30,444.3010423489981,5,3,809
1488,2,26,2,aa,44,1159.7961031651496,2,1,101
1503,2,86,2,aa,48,906.2264769678027,1,4,192
1815,2,42,2,aa,16,733.4796091742869,4,2,802
1830,2,82,2,aa,61,958.5245030730391,5,4,101
2012,1,20,2,aa,61,1218.8682635324137,5,4,101
5764,1,31,2,aa,52,843.6224562470177,5,4,101
5795,2,83,2,aa,45,735.9728591376353,1,4,101
5832,1,20,2,aa,3,497.60221250738385,1,2,592
5951,1,30,1,aa,9,735.9313578047141,1,4,813
6900,1,55,2,aa,43,706.7201347128732,5,1,464
6959,2,48,1,aa,27,498.2063648645824,5,4,465
7812,2,51,2,aa,60,707.815747075313,5,3,316
10259,1,49,2,aa,19,109.33740431895592,4,1,101
10723,2,80,2,aa,10,1195.9897745362634,3,3,285
10854,2,40,1,aa,45,349.93483516554045,3,4,101
10917,2,27,1,aa,15,84.53595975109539,3,1,286
12337,2,80,1,aa,19,856.5328768045764,3,4,523
12425,2,21,2,aa,15,1172.328439403739,3,1,101
12868,1,80,2,aa,54,1341.3151786506353,2,2,101
12905,2,31,1,aa,60,995.3810048211458,3,1,785
15474,2,87,2,aa,31,340.12308564719774,2,2,101
15478,2,31,1,aa,28,336.6411583733719,2,4,101
15499,2,28,2,aa,60,892.9508982348249,2,3,101
15724,2,81,1,aa,60,1330.59608040504,3,2,101
15736,1,69,2,aa,1,865.592998906611,3,2,101
15779,2,29,1,aa,18,871.4607952388052,3,3,101
15830,1,69,1,aa,28,1350.9176656111251,3,4,547
15869,1,63,2,aa,18,893.858850634907,4,2,101
16732,1,69,2,aa,44,552.1379796630224,7,4,461
17097,1,71,1,aa,24,766.8027432978749,5,4,500
17125,1,44,1,aa,41,838.1544203866185,5,3,101
17157,1,49,2,aa,30,398.53877852481816,5,3,101
17226,2,61,1,aa,41,1335.8083452723122,5,4,101
18011,2,48,2,aa,38,393.8473124150038,7,1,578
18247,1,41,1,aa,41,1330.266683549852,7,3,577
18354,1,29,2,aa,41,767.3572903019117,2,1,587
22705,2,83,1,aa,38,517.5557233295839,1,3,457
22713,1,21,1,aa,18,1273.8979422204575,5,4,101
22753,2,82,2,aa,28,876.5543032432297,7,4,547
22798,1,29,1,aa,3,709.4629434217297,7,4,101
23144,1,25,2,aa,22,1315.0849885627051,4,4,586
23481,1,86,1,aa,51,892.6765930400898,4,1,101
23765,1,82,1,aa,60,1256.1764464503926,5,1,101
23873,1,21,2,aa,2,711.8128026970306,7,3,101
23969,2,20,2,aa,15,518.9305512172201,5,4,770
24003,1,54,1,aa,54,1142.2293544641693,7,3,775
24365,1,40,1,aa,18,1158.0910845903152,7,1,520
24438,1,24,1,aa,60,413.4220667848513,7,1,667
24459,1,40,1,aa,31,863.7191309590407,7,1,224
24842,1,16,1,aa,17,417.94481575169846,2,2,569
24881,2,69,2,aa,53,528.9884503325204,7,1,366
25224,2,61,1,aa,1,104.37069220933216,5,2,101
26775,1,81,1,aa,23,1090.3356624658816,4,1,101
27188,1,69,2,aa,9,548.391850374919,4,1,101
27332,1,17,1,aa,14,1195.983172311881,7,1,101
27982,1,69,2,aa,40,549.5469866617242,7,2,212
28332,1,17,2,aa,40,530.5835318337487,5,1,212
28659,2,68,2,aa,28,1144.545345361985,5,2,101
29241,2,82,2,aa,17,844.7847280469424,3,2,249
29388,2,68,2,aa,49,1117.359702608345,3,2,101
29427,1,43,2,aa,23,1341.395710088217,7,3,249
29430,1,51,2,aa,61,844.6076826268398,5,2,101
29704,2,83,1,aa,26,1200.5730191783027,3,3,101
29711,1,63,2,aa,30,1140.4503069710572,2,3,101
29726,2,29,2,aa,20,848.8096004502073,3,3,101
29840,1,70,2,aa,18,864.2053776850178,2,3,101
29886,2,70,2,aa,35,1344.7880171948605,5,3,101
29923,1,87,1,aa,62,767.0910777530493,1,3,329
29935,1,87,2,aa,9,767.2883187036414,4,1,101
30725,1,57,1,aa,61,987.1574460666917,7,3,101
30808,2,40,1,aa,55,293.3105907908693,5,3,101
30816,1,41,1,aa,50,498.54830852377256,1,3,101
30819,1,42,1,aa,8,836.452807630954,4,2,193
30908,2,87,1,aa,1,124.86950600816057,2,2,195
30943,2,42,1,aa,33,1220.709672732255,3,2,677
30955,2,83,1,aa,35,29.950654192132607,3,3,194
31201,2,71,1,aa,61,501.64150591974186,1,1,709
31228,2,41,1,aa,17,832.6425687074609,1,1,709
36073,1,67,2,aa,35,542.5653079097449,2,1,528
36246,1,48,2,aa,14,814.1697402439568,2,2,101
36314,2,21,2,aa,59,1109.951799678691,2,2,101
36388,2,37,2,aa,14,1039.6807443464484,3,2,101
36757,1,67,2,aa,59,785.7465372594191,2,2,546
36814,2,49,2,aa,14,911.8240821616238,4,1,101
37055,1,40,2,aa,7,913.8472641943061,2,2,101
37270,2,48,2,aa,37,161.03439715970066,5,4,648
37394,1,49,1,aa,14,809.6232789780333,5,3,263
37640,2,37,1,aa,59,128.76443452268109,3,4,130
37733,2,51,1,aa,36,240.4147969996785,2,4,676
38094,1,76,1,aa,59,200.99925131908094,2,2,101
38218,1,66,1,aa,59,1141.227082105535,6,3,271
41005,1,67,2,aa,59,204.3841052845221,4,4,797
41682,1,44,2,aa,59,129.93327625932434,4,2,798
41873,1,44,1,aa,12,206.45065673589488,7,2,101
42152,2,76,2,aa,12,1242.0524631238743,3,3,597
42874,1,57,1,aa,4,135.73448239126083,6,4,134
42876,1,51,2,aa,4,611.4349892098629,6,3,101
45466,1,76,1,aa,50,1104.7093366141062,2,4,185
45477,1,76,1,aa,58,607.4354239079374,5,4,101
45509,1,43,1,aa,48,569.8200417529365,7,1,101
46250,2,19,1,aa,35,1128.60538113037,4,1,187
46530,1,64,2,aa,35,134.9184051553808,2,2,284
47026,1,68,1,aa,35,1156.027866186688,5,3,538
47752,2,40,2,aa,35,585.4302645166744,5,2,435
48339,2,68,2,aa,35,7.734145664473262,3,4,101
48439,2,32,1,aa,58,1219.7865860289025,3,3,101
48660,1,35,1,aa,58,934.4968479505377,3,4,446
49053,1,17,2,aa,58,514.9190863727632,6,1,101
49381,2,69,2,aa,14,1201.1133084506507,1,2,191
49484,2,37,2,aa,14,732.1464789403757,6,4,191
49496,2,47,2,aa,24,1285.4318116164786,1,1,101
49729,2,47,2,aa,58,76.17658672897656,1,4,101
50046,1,32,2,aa,58,918.6072821773231,6,4,348
50097,2,19,2,aa,39,613.3692210008829,2,1,101
50179,1,19,2,aa,58,919.1401334260833,1,4,101
50243,1,40,2,aa,48,670.8712161765304,3,4,521
50254,1,19,2,aa,48,1212.4366744334634,7,4,101
50308,2,32,2,aa,7,76.12373213997785,6,4,542
50578,1,45,2,aa,52,729.7093118353654,6,4,101
50709,2,45,1,aa,31,1342.2960137973887,1,4,101
50723,2,18,1,aa,31,706.0266272591045,1,3,101
50741,1,44,1,aa,42,242.78335736321537,1,3,101
50761,1,60,1,aa,42,671.9741373743356,1,2,135
51046,1,60,1,aa,29,612.7354754125025,2,1,285
51092,1,18,1,aa,29,809.0869644067221,1,1,101
51871,1,18,1,aa,29,126.25348140371064,2,1,101
52571,1,38,1,aa,4,934.6969663947947,6,1,101
52809,2,38,1,aa,4,545.837368970791,4,3,101
53017,2,38,1,aa,4,640.710828568405,6,3,101
55615,2,20,1,aa,43,84.15813973297817,4,2,101
55631,1,86,1,aa,30,757.8791633653035,3,3,101
55657,1,60,1,aa,43,519.7758153870025,4,1,101
55684,2,69,1,aa,43,752.9971639261342,6,3,101
56001,2,63,1,aa,43,224.95079421852824,6,1,573
56324,2,83,1,aa,43,731.2588186673278,3,1,573
56686,1,83,2,aa,13,1240.9372171831606,1,2,649
56756,1,57,1,aa,13,648.6945407255887,6,3,649
56875,1,16,2,aa,38,126.30935059624765,6,3,101
56894,1,22,2,aa,36,85.99961353478722,6,4,101
56918,1,22,1,aa,12,1014.4931272091704,1,4,101
57114,2,68,1,aa,12,932.3642923306323,6,4,648
57140,1,58,2,aa,5,650.8043485869264,6,4,270
57292,1,68,2,aa,54,983.8671086398541,4,4,271
59457,2,22,1,aa,36,529.2926975965862,7,2,101
59828,1,67,1,aa,38,782.1858416339426,2,2,790
60252,2,67,2,aa,15,78.96307662072138,1,1,146
60283,1,82,2,aa,15,879.9492203653338,2,1,415
60297,1,32,1,aa,5,118.93122851471253,4,1,314
60428,2,22,2,aa,15,73.10937350043653,3,1,158
60569,1,75,2,aa,6,125.71372817215465,3,1,101
60626,2,75,1,aa,15,1111.9785324288164,3,1,725
61145,2,18,2,aa,13,744.5369226320937,5,1,147
61352,1,47,1,aa,5,127.92129589958972,3,3,790
61435,1,61,2,aa,42,547.3716796963515,5,1,414
61456,1,63,2,aa,39,246.37463358805098,1,1,268
63064,1,78,1,aa,39,231.98176237735856,1,1,268
63175,2,78,1,aa,42,732.7470628342871,3,2,529
63576,2,45,2,aa,5,59.30330870802895,5,2,420
65484,1,45,2,aa,14,28.606543583420873,3,3,416
66021,2,88,2,aa,0,1096.8676228215636,7,2,101
66071,2,88,2,aa,10,173.49702689076219,7,2,101
