EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,B52
387,2,16,2,aa,30,5,444.3010423489981
1488,2,26,2,aa,44,2,1159.7961031651496
1503,2,86,2,aa,48,1,906.2264769678027
1815,2,42,2,aa,16,4,733.4796091742869
1830,2,82,2,aa,61,5,958.5245030730391
2012,1,20,2,aa,61,5,1218.8682635324137
5764,1,31,2,aa,52,5,843.6224562470177
5795,2,83,2,aa,45,1,735.9728591376353
5832,1,20,2,aa,3,1,497.60221250738385
5951,1,30,1,aa,9,1,735.9313578047141
6900,1,55,2,aa,43,5,706.7201347128732
6959,2,48,1,aa,27,5,498.2063648645824
7812,2,51,2,aa,60,5,707.815747075313
10259,1,49,2,aa,19,4,109.33740431895592
10723,2,80,2,aa,10,3,1195.9897745362634
10854,2,40,1,aa,45,3,349.93483516554045
10917,2,27,1,aa,15,3,84.53595975109539
12337,2,80,1,aa,19,3,856.5328768045764
12425,2,21,2,aa,15,3,1172.328439403739
12868,1,80,2,aa,54,2,1341.3151786506353
12905,2,31,1,aa,60,3,995.3810048211458
15474,2,87,2,aa,31,2,340.12308564719774
15478,2,31,1,aa,28,2,336.6411583733719
15499,2,28,2,aa,60,2,892.9508982348249
15724,2,81,1,aa,60,3,1330.59608040504
15736,1,69,2,aa,1,3,865.592998906611
15779,2,29,1,aa,18,3,871.4607952388052
15830,1,69,1,aa,28,3,1350.9176656111251
15869,1,63,2,aa,18,4,893.858850634907
16732,1,69,2,aa,44,7,552.1379796630224
17097,1,71,1,aa,24,5,766.8027432978749
17125,1,44,1,aa,41,5,838.1544203866185
17157,1,49,2,aa,30,5,398.53877852481816
17226,2,61,1,aa,41,5,1335.8083452723122
18011,2,48,2,aa,38,7,393.8473124150038
18247,1,41,1,aa,41,7,1330.266683549852
18354,1,29,2,aa,41,2,767.3572903019117
22705,2,83,1,aa,38,1,517.5557233295839
22713,1,21,1,aa,18,5,1273.8979422204575
22753,2,82,2,aa,28,7,876.5543032432297
22798,1,29,1,aa,3,7,709.4629434217297
23144,1,25,2,aa,22,4,1315.0849885627051
23481,1,86,1,aa,51,4,892.6765930400898
23765,1,82,1,aa,60,5,1256.1764464503926
23873,1,21,2,aa,2,7,711.8128026970306
23969,2,20,2,aa,15,5,518.9305512172201
24003,1,54,1,aa,54,7,1142.2293544641693
24365,1,40,1,aa,18,7,1158.0910845903152
24438,1,24,1,aa,60,7,413.4220667848513
24459,1,40,1,aa,31,7,863.7191309590407
24842,1,16,1,aa,17,2,417.94481575169846
24881,2,69,2,aa,53,7,528.9884503325204
25224,2,61,1,aa,1,5,104.37069220933216
26775,1,81,1,aa,23,4,1090.3356624658816
27188,1,69,2,aa,9,4,548.391850374919
27332,1,17,1,aa,14,7,1195.983172311881
27982,1,69,2,aa,40,7,549.5469866617242
28332,1,17,2,aa,40,5,530.5835318337487
28659,2,68,2,aa,28,5,1144.545345361985
29241,2,82,2,aa,17,3,844.7847280469424
29388,2,68,2,aa,49,3,1117.359702608345
29427,1,43,2,aa,23,7,1341.395710088217
29430,1,51,2,aa,61,5,844.6076826268398
29704,2,83,1,aa,26,3,1200.5730191783027
29711,1,63,2,aa,30,2,1140.4503069710572
29726,2,29,2,aa,20,3,848.8096004502073
29840,1,70,2,aa,18,2,864.2053776850178
29886,2,70,2,aa,35,5,1344.7880171948605
