TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27,EF48,B52
2,43,2,59,2,3,aa,22.900004525595115,820.9494973648185
1,68,2,9,4,3,aa,23.51683295187402,485.8463285287752
2,39,2,59,2,2,aa,25.74420377940321,1192.627536967816
1,63,2,26,2,2,aa,43.616380425691275,467.8913437264028
1,70,2,26,4,2,aa,43.879267370419,472.5202036485494
2,15,2,48,2,2,aa,45.40475767586808,205.37913826253683
1,70,2,32,2,2,aa,46.255123178001874,1258.920446664477
1,60,2,35,1,1,aa,47.877538017415844,256.25781413492217
1,71,2,48,4,3,aa,49.08554078499188,206.9319074179084
1,25,1,50,7,1,aa,49.49853043931917,739.6945283886122
2,20,1,16,2,1,aa,49.905998444004254,512.8096004502073
2,50,1,35,2,4,aa,52.347314919440315,679.6071858785991
1,51,1,52,7,4,aa,54.73723430287954,503.7091795430609
1,51,1,33,2,3,aa,56.562553183312275,796.7352136695287
1,71,1,14,2,5,aa,57.29907346202029,843.9408927117755
2,49,1,29,2,5,aa,57.604575151358446,845.7305601850505
2,35,1,35,7,5,aa,63.88989433143572,512.6425687074609
1,36,1,15,3,3,aa,63.97809492558899,1048.410140485734
2,56,1,34,3,4,aa,64.42011632410167,164.20224507038554
2,71,2,37,7,5,aa,67.49574750986993,133.56918725330593
2,44,2,32,3,5,aa,88.40629447833379,470.41437317050537
2,56,2,61,3,1,aa,88.42736634505074,1193.0579008537572
2,20,2,61,4,5,aa,88.89795948298021,513.5694560938848
2,20,2,5,7,3,aa,88.96233390428968,1038.0462820684713
2,71,2,50,6,5,aa,89.84214468340903,982.057998451721
1,52,2,37,5,5,aa,91.62093406998257,1039.444457411503
2,37,2,28,3,4,aa,91.85023895796374,513.2153652536797
1,71,2,8,5,1,aa,104.88074936819734,585.1086064864595
2,70,2,51,7,3,aa,107.64485974592566,1074.399589121713
2,48,2,53,5,2,aa,110.29136298264659,496.4825412603558
2,36,2,13,7,4,aa,110.30519368632585,1201.2534914981625
2,74,1,26,5,1,aa,110.74511814772472,832.6655399452925
2,71,2,33,7,3,aa,111.61075895580649,651.912041080812
2,70,1,48,6,2,aa,111.96589990576919,735.4354025396277
1,74,2,8,6,1,aa,116.01403652582715,735.1401334260833
2,71,1,59,5,2,aa,116.08319202971639,444.81195002323966
2,75,2,45,6,4,aa,117.48807469253373,1129.5083785970744
2,24,2,45,6,4,aa,117.61435172504423,397.23478952752976
1,60,2,40,5,1,aa,117.63592042266419,1106.911778719003
1,37,1,13,5,2,aa,118.55656608063966,651.7303976194025
1,25,1,18,6,2,aa,119.5432801482579,543.7191309590407
1,36,1,12,5,3,aa,139.01420268937912,127.50920157684273
1,86,2,63,5,3,aa,140.8413494219785,125.50633254038613
1,28,1,35,5,5,aa,141.406717350108,126.62892014760375
1,87,1,42,5,2,aa,146.3560251858493,70.48550841280537
1,47,1,39,1,3,aa,151.01299807782468,71.73226069617299
1,17,1,51,5,2,aa,151.99639177931587,104.39391196397034
1,87,1,58,1,2,aa,159.90394754050556,1053.0264425457865
1,17,2,10,6,4,aa,177.8687136760117,91.95491862279324
1,87,2,14,3,4,aa,179.0128580247848,501.87646385214856
1,86,1,19,5,3,aa,179.12291553720428,562.789978027344
1,87,2,37,4,4,aa,179.3441724732896,108.60024211691841
1,75,1,28,5,4,aa,179.9611774825437,1158.6934857660117
2,87,1,5,1,2,aa,182.51940060429425,719.6224562470177
2,35,1,49,7,5,aa,183.44878390308634,610.7063721603591
2,43,1,19,2,4,aa,185.23284502873116,225.83099810847727
2,86,1,43,7,4,aa,185.64629637986212,216.85372315989872
2,32,1,55,1,4,aa,187.56197400555118,1133.2879562196417
2,86,1,1,4,4,aa,187.76369309826816,624.7964994533055
2,61,1,13,1,5,aa,188.67582729248903,731.2465636045853
2,32,1,42,2,3,aa,188.7900472656371,1013.2654944116292
2,26,1,2,7,2,aa,190.16810034964217,1063.7356781104065
2,35,2,47,2,4,aa,190.2750492345578,383.5249540056492
2,26,2,47,2,2,aa,190.49459202807196,801.4447815360517
2,86,2,42,1,5,aa,191.59814785054692,651.8671086398541
1,87,2,44,4,5,aa,192.17153550206768,135.19011274571562
1,35,2,8,7,2,aa,194.6176418309948,798.1515479244478
