EF48,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,B52,EF16U2
22.900004525595115,1,79,2,aa,46,820.9494973648185,3
23.51683295187402,1,29,2,aa,3,485.8463285287752,2
25.74420377940321,2,79,2,aa,39,1192.627536967816,3
43.616380425691275,1,56,2,aa,32,467.8913437264028,2
43.879267370419,2,70,2,aa,48,472.5202036485494,2
45.40475767586808,2,70,2,aa,40,205.37913826253683,2
46.255123178001874,2,63,2,aa,18,1258.920446664477,2
47.877538017415844,1,59,2,aa,31,256.25781413492217,2
49.08554078499188,2,32,1,aa,9,206.9319074179084,2
49.49853043931917,1,21,1,aa,42,739.6945283886122,3
49.905998444004254,1,37,1,aa,35,512.8096004502073,2
52.347314919440315,1,69,1,aa,9,679.6071858785991,4
54.73723430287954,1,30,1,aa,40,503.7091795430609,3
56.562553183312275,1,59,1,aa,14,796.7352136695287,3
57.29907346202029,1,39,1,aa,13,843.9408927117755,2
57.604575151358446,2,40,1,aa,36,845.7305601850505,2
63.88989433143572,2,28,1,aa,35,512.6425687074609,7
63.97809492558899,1,78,1,aa,16,1048.410140485734,7
64.42011632410167,1,30,1,aa,19,164.20224507038554,7
67.49574750986993,1,68,1,aa,58,133.56918725330593,7
88.40629447833379,2,26,1,aa,40,470.41437317050537,7
88.42736634505074,2,37,1,aa,8,1193.0579008537572,1
88.89795948298021,2,39,2,aa,25,513.5694560938848,5
88.96233390428968,2,32,2,aa,40,1038.0462820684713,6
89.84214468340903,2,22,2,aa,40,982.057998451721,4
91.62093406998257,2,70,2,aa,3,1039.444457411503,5
91.85023895796374,2,36,2,aa,52,513.2153652536797,5
104.88074936819734,2,33,2,aa,43,585.1086064864595,5
107.64485974592566,2,21,2,aa,33,1074.399589121713,5
110.29136298264659,1,70,2,aa,2,496.4825412603558,7
110.30519368632585,1,70,2,aa,27,1201.2534914981625,5
110.74511814772472,2,33,2,aa,53,832.6655399452925,6
111.61075895580649,2,34,2,aa,26,651.912041080812,5
111.96589990576919,2,54,2,aa,33,735.4354025396277,5
116.01403652582715,2,68,2,aa,8,735.1401334260833,5
116.08319202971639,2,42,2,aa,36,444.81195002323966,4
117.48807469253373,2,49,2,aa,46,1129.5083785970744,5
117.61435172504423,1,39,2,aa,54,397.23478952752976,5
117.63592042266419,1,74,2,aa,46,1106.911778719003,5
118.55656608063966,1,20,1,aa,15,651.7303976194025,1
119.5432801482579,1,48,2,aa,14,543.7191309590407,3
139.01420268937912,1,55,2,aa,31,127.50920157684273,5
140.8413494219785,1,20,1,aa,61,125.50633254038613,6
141.406717350108,1,87,1,aa,61,126.62892014760375,1
146.3560251858493,1,87,1,aa,61,70.48550841280537,6
151.01299807782468,1,87,1,aa,36,71.73226069617299,6
