EF48,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,B52
22.900004525595115,1,79,2,aa,46,820.9494973648185
23.51683295187402,1,29,2,aa,3,485.8463285287752
25.74420377940321,2,79,2,aa,39,1192.627536967816
43.616380425691275,1,56,2,aa,32,467.8913437264028
43.879267370419,2,70,2,aa,48,472.5202036485494
45.40475767586808,2,70,2,aa,40,205.37913826253683
46.255123178001874,2,63,2,aa,18,1258.920446664477
47.877538017415844,1,59,2,aa,31,256.25781413492217
49.08554078499188,2,32,1,aa,9,206.9319074179084
49.49853043931917,1,21,1,aa,42,739.6945283886122
49.905998444004254,1,37,1,aa,35,512.8096004502073
52.347314919440315,1,69,1,aa,9,679.6071858785991
54.73723430287954,1,30,1,aa,40,503.7091795430609
56.562553183312275,1,59,1,aa,14,796.7352136695287
57.29907346202029,1,39,1,aa,13,843.9408927117755
57.604575151358446,2,40,1,aa,36,845.7305601850505
63.88989433143572,2,28,1,aa,35,512.6425687074609
63.97809492558899,1,78,1,aa,16,1048.410140485734
64.42011632410167,1,30,1,aa,19,164.20224507038554
67.49574750986993,1,68,1,aa,58,133.56918725330593
88.40629447833379,2,26,1,aa,40,470.41437317050537
88.42736634505074,2,37,1,aa,8,1193.0579008537572
88.89795948298021,2,39,2,aa,25,513.5694560938848
88.96233390428968,2,32,2,aa,40,1038.0462820684713
89.84214468340903,2,22,2,aa,40,982.057998451721
91.62093406998257,2,70,2,aa,3,1039.444457411503
91.85023895796374,2,36,2,aa,52,513.2153652536797
104.88074936819734,2,33,2,aa,43,585.1086064864595
107.64485974592566,2,21,2,aa,33,1074.399589121713
110.29136298264659,1,70,2,aa,2,496.4825412603558
110.30519368632585,1,70,2,aa,27,1201.2534914981625
110.74511814772472,2,33,2,aa,53,832.6655399452925
111.61075895580649,2,34,2,aa,26,651.912041080812
111.96589990576919,2,54,2,aa,33,735.4354025396277
116.01403652582715,2,68,2,aa,8,735.1401334260833
116.08319202971639,2,42,2,aa,36,444.81195002323966
117.48807469253373,2,49,2,aa,46,1129.5083785970744
117.61435172504423,1,39,2,aa,54,397.23478952752976
117.63592042266419,1,74,2,aa,46,1106.911778719003
118.55656608063966,1,20,1,aa,15,651.7303976194025
119.5432801482579,1,48,2,aa,14,543.7191309590407
139.01420268937912,1,55,2,aa,31,127.50920157684273
140.8413494219785,1,20,1,aa,61,125.50633254038613
141.406717350108,1,87,1,aa,61,126.62892014760375
146.3560251858493,1,87,1,aa,61,70.48550841280537
151.01299807782468,1,87,1,aa,36,71.73226069617299
151.99639177931587,1,16,2,aa,48,104.39391196397034
159.90394754050556,1,57,1,aa,36,1053.0264425457865
177.8687136760117,1,18,1,aa,48,91.95491862279324
179.0128580247848,1,87,2,aa,52,501.87646385214856
179.12291553720428,1,39,1,aa,24,562.789978027344
179.3441724732896,1,87,1,aa,50,108.60024211691841
179.9611774825437,1,87,1,aa,56,1158.6934857660117
182.51940060429425,2,87,1,aa,32,719.6224562470177
183.44878390308634,2,51,1,aa,43,610.7063721603591
185.23284502873116,2,30,2,aa,45,225.83099810847727
185.64629637986212,2,87,1,aa,42,216.85372315989872
187.56197400555118,2,87,1,aa,15,1133.2879562196417
187.76369309826816,2,87,1,aa,45,624.7964994533055
188.67582729248903,2,18,1,aa,55,731.2465636045853
188.7900472656371,2,51,1,aa,41,1013.2654944116292
190.16810034964217,2,87,1,aa,15,1063.7356781104065
190.2750492345578,2,87,1,aa,32,383.5249540056492
190.49459202807196,2,87,1,aa,15,801.4447815360517
191.59814785054692,2,14,2,aa,25,651.8671086398541
192.17153550206768,1,63,2,aa,58,135.19011274571562
194.6176418309948,1,15,2,aa,32,798.1515479244478
195.38643538998633,1,87,2,aa,48,476.958491558488
200.70533390442998,1,56,2,aa,34,431.07568941812906
201.01305576352974,1,87,2,aa,12,624.1026888425089
203.06322850300134,1,38,2,aa,53,216.0538880156268
206.69011828980427,1,30,2,aa,9,846.6129465097721
207.6006744621779,1,87,2,aa,61,408.0379259415864
210.1412132844052,1,87,2,aa,50,1239.2048932299058
213.7911500693386,1,32,1,aa,33,614.1544203866185
214.56596699520304,1,87,1,aa,32,202.71082224662226
214.81347241164048,1,44,1,aa,15,1038.754516688468
214.85584901038234,1,87,1,aa,46,309.18683730386135
214.98962144633228,1,76,1,aa,14,734.6072821773231
215.18986065854025,2,87,2,aa,28,203.84012674459203
215.4971514920832,2,43,1,aa,42,68.41739375511044
216.0875488949626,2,48,2,aa,26,304.0462944511911
217.11893748462492,2,32,2,aa,44,930.1724798161603
218.7126769494229,2,46,1,aa,33,749.3939327895894
222.02477772140747,2,59,2,aa,24,204.2675243212466
222.57535724958345,2,17,2,aa,50,827.6785080325077
224.77165945681884,2,14,2,aa,3,704.5328768045764
230.7590018785746,2,57,1,aa,9,930.5455245853835
238.20354319223947,2,45,1,aa,29,671.0910730826581
239.60938926728522,2,19,1,aa,18,905.374493748319
241.14156793289007,2,75,2,aa,30,1039.5670296906621
242.69716194474358,2,75,2,aa,15,879.7655476193427
242.93543687683987,2,57,2,aa,37,1145.8422197057048
246.46947088038343,2,36,2,aa,50,80.67281128134145
247.03910508158137,2,62,2,aa,17,684.9936959010753
260.7833061479177,1,60,1,aa,6,1299.1425334593678
261.9616755336123,1,67,1,aa,57,307.46207518788333
262.2584319155322,1,83,1,aa,11,516.7974932325966
263.1701209008376,1,67,1,aa,22,171.57871943155973
268.3523074394605,1,64,1,aa,11,10.646404987562313
268.89087897573114,1,18,1,aa,25,408.72187617395764
269.47242991748556,1,43,1,aa,22,371.9807579958513
270.02122690083525,1,18,1,aa,57,104.04383405508648
270.33253924236124,1,24,1,aa,11,57.39300735273264
270.3397337591373,1,64,1,aa,19,670.8732686297095
