B27,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
aa,2,261.61310209601135,1,3,3,270
aa,2,350.8011748961552,1,14,3,265
aa,2,1293.2222824986234,5,14,1,101
aa,2,126.6251458008426,3,14,1,101
aa,2,1049.904544194247,5,14,3,101
aa,2,108.55327795342494,6,14,1,101
aa,2,1246.381578740616,2,14,1,101
aa,1,410.19756604161586,6,14,1,101
aa,1,89.0619218658452,4,14,1,101
aa,1,1193.8732295111479,2,14,3,101
aa,2,225.11431663602522,2,14,1,101
aa,1,584.8701914126392,3,14,1,101
aa,1,1193.8732295111479,2,14,3,101
aa,1,130.40868017840506,5,14,3,101
aa,1,1228.5073937055793,6,15,1,501
aa,1,1123.0964907515631,7,14,3,101
aa,2,1142.2482443675613,6,16,1,101
aa,2,135.90486789433524,5,15,1,101
aa,2,1245.0599122973683,2,16,1,101
aa,1,553.9499981501617,7,15,1,101
aa,1,293.9861421071683,2,16,1,465
aa,1,394.04406319225683,4,15,1,423
aa,1,45.17930883432183,4,16,1,101
aa,2,135.90486789433524,5,15,1,101
aa,2,993.0890343191135,6,17,2,372
aa,1,1247.1267046497396,2,15,3,101
aa,1,835.2686788747727,2,17,1,101
aa,1,1140.272227636606,1,15,3,101
aa,2,1158.0523634128049,2,17,1,101
aa,2,348.2016663101162,5,15,4,348
aa,2,866.0796647156111,7,18,1,593
aa,2,246.75291173391616,2,15,4,759
aa,1,475.70140727005077,2,18,4,391
aa,2,444.2764814307455,2,15,2,101
aa,1,240.9410061918131,6,18,2,101
aa,2,166.26543753454564,3,16,3,101
aa,1,410.3725938081223,3,18,3,520
aa,1,1259.160899300656,6,16,3,101
aa,2,917.6836517463018,7,18,3,101
aa,1,334.24424252994385,3,16,3,257
aa,2,242.8206605757709,2,18,3,711
aa,1,426.6062994716938,3,16,3,522
aa,2,877.408786504407,7,18,3,257
aa,1,869.8216187220796,4,16,3,579
aa,1,399.0876620619405,6,18,1,101
