B27,TAETIGKEITSSCHLUESSEL4,B52
aa,2,1090.3356624658816
aa,2,1093.4388104333802
aa,2,1089.801227884229
aa,2,1089.0906907239703
aa,2,1096.9174178566775
aa,2,1097.41934546451
aa,2,1103.9590981450533
aa,2,1096.3643383612605
aa,2,1088.5730191783027
aa,2,1103.1844126605984
aa,2,1088.3528929007853
aa,2,1146.8682635324137
aa,2,1140.328439403739
aa,2,1140.9489711102287
aa,2,1143.983172311881
aa,2,1140.354668307053
aa,2,1133.951799678691
aa,2,1130.4541642110698
aa,2,1135.3614886928965
aa,2,1135.9785324288164
aa,2,1128.60538113037
aa,2,1128.0557323733763
aa,2,1131.7865860289025
aa,2,1133.0262315619373
aa,2,1132.4686085915803
aa,2,1128.5566542253255
aa,2,1134.2183372167317
aa,2,1130.59608040504
aa,2,1037.3151786506353
aa,2,1039.904172636156
aa,2,1036.3940085974302
aa,2,1038.16997712541
aa,2,1038.7159058082393
aa,2,1037.395710088217
aa,2,1038.2960137973887
aa,2,1037.1333417749258
aa,2,1039.4588328055625
aa,2,1039.249379179357
aa,2,1037.8884827886116
aa,2,1038.0192791641775
aa,2,1036.4852014394157
aa,2,1051.1379395001136
aa,2,1052.9716971211087
aa,2,1060.130264728505
aa,2,1057.8222342633437
aa,2,1058.0694667621212
aa,2,1056.5046180946736
aa,2,1060.192721946255
aa,2,1057.5712667296839
aa,2,1056.4140533811944
aa,2,1077.055409830005
aa,2,1072.1015888078455
aa,2,1078.1666443724866
aa,2,1075.8266436312406
aa,2,1074.0356311596788
aa,2,1073.642747201874
aa,2,1074.4753374804457
aa,2,1078.3839059822158
aa,2,1158.468792685492
aa,2,1157.4759880220067
aa,2,1159.5131248976616
aa,2,1157.8060141062633
aa,2,1157.4538472911995
aa,2,1158.0445980733994
aa,2,1157.9678843226316
aa,2,1158.216905705391
aa,2,1157.4941914469366
aa,2,1158.425840099681
aa,2,1211.0662255791217
aa,2,1205.9752613761386
aa,2,1193.0078698201633
aa,2,1193.2054186501005
aa,2,1192.4803103264687
aa,2,1193.8012233074764
aa,2,1194.6934857660117
aa,2,1193.4602233322385
aa,2,1204.2316034150285
aa,2,1225.2550739356323
aa,2,1224.6267457490812
aa,2,1226.911778719003
aa,2,1225.5083785970744
aa,2,1229.509033376936
aa,2,1224.410140485734
aa,2,1273.8422197057048
aa,2,1266.399589121713
aa,2,1271.134059381324
aa,2,1278.888914823006
aa,2,1276.0925641369429
aa,2,1279.7356781104065
aa,2,1269.2879562196417
aa,2,1261.0264425457865
aa,2,1257.6888229679857
aa,2,1257.572762886335
aa,2,1263.1319280169355
aa,2,1259.9008054410583
aa,2,1262.6958293211387
aa,2,1262.7405122119994
aa,2,1347.782723723807
aa,2,1344.5699688106436
aa,2,1350.5601628122447
aa,2,1351.0807001496687
aa,2,1348.429554793671
aa,2,1345.233844493523
aa,2,1328.671530197351
aa,2,1333.1796037648414
aa,2,1341.7949840289698
aa,2,1340.4309722735118
aa,2,1343.7697526931884
aa,2,1332.8017352185875
aa,2,1331.4899221377686
aa,2,1328.7119880204227
aa,2,1330.6019206836818
aa,2,1305.583640267961
aa,2,1302.6742954223519
aa,2,1309.7203964723144
