B27,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
aa,2,1090.3356624658816,3
aa,2,1128.4946650906172,3
aa,2,1116.2726726809926,3
aa,2,1094.987139873139,3
aa,2,1135.9795490725267,3
aa,2,1128.258363763172,3
aa,2,1103.1844126605984,3
aa,2,1103.7188848339417,3
aa,2,1072.6568788074778,3
aa,2,1077.3828574262407,3
aa,2,1036.354668307053,3
aa,2,1038.644793327214,3
aa,2,1079.3614886928965,3
aa,2,1037.1667402177675,3
aa,2,1056.0557323733763,3
aa,2,1276.6595945303543,3
aa,2,1276.4686085915803,3
aa,2,1260.3063570955903,3
aa,2,1258.59608040504,3
aa,2,1259.2894599681106,3
aa,2,1256.7880171948605,3
aa,2,1156.6737987381484,3
aa,2,1205.5828403528676,3
aa,2,1159.638986568846,3
aa,2,1159.4588328055625,3
aa,2,1158.2814795894578,3
aa,2,1158.0192791641775,3
aa,2,1194.850784724105,3
aa,2,1212.9716971211087,3
aa,2,1203.854793291506,3
aa,2,1204.1389335242425,3
aa,2,1296.4349600712203,3
aa,2,1292.785633364842,3
aa,2,1341.454246190647,3
aa,2,1328.1015888078455,3
aa,2,1332.8322119356044,3
aa,2,1330.0356311596788,3
aa,2,1340.1023002051097,3
aa,2,1308.7678119644318,3
aa,2,1256.7854762223192,2
aa,2,1159.5131248976616,2
aa,2,1156.5667956307743,2
aa,2,1158.0445980733994,2
aa,2,1257.8977728283025,2
aa,2,1157.4941914469366,2
aa,2,1226.3841914898153,2
aa,2,1193.4938153440346,2
aa,2,1132.472618413166,2
aa,2,1128.9606206529372,2
aa,2,1129.980588741272,2
aa,2,1130.920446664477,2
aa,2,1134.4360509448509,2
aa,2,1128.6267457490812,2
aa,2,1133.4880746925337,2
aa,2,1133.509033376936,2
aa,2,1130.93543687684,2
aa,2,1130.399589121713,2
aa,2,1038.4837362799303,2
aa,2,1040.3702565477713,2
aa,2,1047.1239480111024,2
aa,2,1044.105770183146,2
aa,2,1054.9988169793737,2
aa,2,1052.527712067742,2
aa,2,1061.9477598745357,2
aa,2,1062.7405122119994,2
aa,2,1063.5003552190444,2
aa,2,1062.5601628122447,2
aa,2,1061.439235619133,2
aa,2,1057.233844493523,2
aa,2,1146.5677350033009,1
aa,2,1131.5899680579396,1
aa,2,1143.5189988237482,1
aa,2,1142.4008676092938,1
aa,2,1141.223428660666,1
aa,2,1037.300960341841,1
aa,2,1053.7637421820577,1
aa,2,1054.8601982361572,1
aa,2,1036.3718007951682,1
aa,2,1037.0166380955084,1
aa,2,1036.5540297623522,1
aa,2,1039.9057426285246,1
aa,2,1261.541995075875,1
aa,2,1278.1309992993392,1
aa,2,1274.7958771778672,1
aa,2,1264.8394261909712,1
aa,2,1272.5074723620642,1
aa,2,1278.0205269307771,1
aa,2,1225.3837377128534,1
aa,2,1193.0816564530994,1
aa,2,1271.914272842053,1
aa,2,1275.5572959404794,1
aa,2,1275.9257102626173,1
aa,2,1276.5613798861102,1
aa,2,1305.4889229072944,1
aa,2,1305.4157257033044,1
aa,2,1328.5554657359978,1
aa,2,1342.1855291896554,1
aa,2,1340.0722307509,1
aa,2,1295.5159150387788,1
aa,2,1294.9111476306548,1
aa,2,1332.2051559352615,1
aa,2,1330.8973098607523,1
aa,2,279.6594855822259,4
aa,2,257.4590398910549,4
aa,2,258.71226055073726,4
aa,2,264.9148804633579,4
aa,2,265.75449861201594,4
aa,2,264.3556691994621,4
aa,2,349.85665370266554,4
aa,2,325.72379434187627,4
aa,2,329.18646092372387,4
aa,2,333.56632231739775,4
aa,2,328.8254594583296,4
aa,2,326.0073644192699,4
aa,2,342.5660236789675,4
aa,2,332.08009872875414,4
aa,2,327.3892496600152,4
aa,2,327.1364751387193,4
aa,2,484.16028959334295,4
aa,2,484.4960864350451,4
aa,2,484.9203257059664,4
aa,2,485.10074410418474,4
aa,2,485.9632232964536,4
aa,2,494.96780289775177,4
aa,2,485.81428316429174,4
aa,2,495.1771360058927,4
aa,2,494.397718807759,4
aa,2,499.09568638551616,4
aa,2,494.5151803136878,4
aa,2,494.6264696119224,4
aa,2,503.21477067294063,4
aa,2,501.30390254903085,4
aa,2,61.08208799964187,4
aa,2,61.73189811546226,4
aa,2,63.829242135096386,4
aa,2,58.77544330656227,4
aa,2,59.48052552718547,4
aa,2,23.951143406982855,4
aa,2,23.728112490523774,4
aa,2,26.846732722547266,4
aa,2,61.6805375172537,4
aa,2,58.534991394278286,4
aa,2,45.341040493370414,4
aa,2,27.395088302818472,4
aa,2,24.999251319080937,4
aa,2,30.21038872014369,4
aa,2,163.80317687411295,4
aa,2,174.27492949511293,4
aa,2,164.13758863880267,4
aa,2,160.13230393308152,4
aa,2,163.0577380907244,4
aa,2,189.91964177319758,4
aa,2,178.1438390043816,4
aa,2,174.72779827710033,4
aa,2,205.33740431895592,4
aa,2,206.2423769350148,4
aa,2,204.15813973297816,4
aa,2,206.16810331352883,4
aa,2,203.86707283223663,4
aa,2,204.518849421954,4
aa,2,203.4274563443093,4
aa,2,202.62456826079364,4
aa,2,556.6065435834208,4
aa,2,625.6810718886662,4
aa,2,625.6516543540145,4
aa,2,601.4894315836981,4
aa,2,528.7301698799978,4
aa,2,562.789978027344,4
aa,2,558.0623081690156,4
aa,2,562.789978027344,4
aa,2,671.718574009408,4
aa,2,655.6152904948318,4
aa,2,648.246599966446,4
aa,2,651.1333577290183,4
aa,2,648.0143636643419,4
aa,2,655.7917009764669,4
aa,2,671.2695692932235,4
aa,2,679.226905714422,4
aa,2,679.673394800691,4
aa,2,672.2940728353608,4
aa,2,686.950945328202,4
aa,2,676.1842915997928,4
aa,2,674.7269754230064,4
aa,2,706.2569379363807,4
aa,2,708.7797080934652,4
aa,2,707.6934910759674,4
aa,2,717.3791548772393,4
aa,2,719.489269980379,4
aa,2,708.3633779368109,4
aa,2,705.3461144328498,4
aa,2,709.8256546823947,4
aa,2,992.719959669964,4
aa,2,999.656207106158,4
aa,2,994.0778901514667,4
aa,2,996.469419235712,4
aa,2,993.5261622590417,4
aa,2,988.9333424198071,4
aa,2,990.7879496544974,4
aa,2,996.8127099738931,4
aa,2,876.5626376649876,4
aa,2,879.7567249430284,4
aa,2,879.0573270525251,4
aa,2,878.1887291162628,4
aa,2,879.0561268771947,4
aa,2,877.2545599554911,4
aa,2,878.955377527844,4
aa,2,879.7337679199157,4
aa,2,879.8594385284098,4
aa,2,876.3136935173305,4
aa,2,876.5819172566405,4
aa,2,878.9717261038743,4
aa,2,878.8175083751346,4
aa,2,878.5670780128288,4
aa,2,416.48356337084385,1
aa,2,445.6127328332914,1
aa,2,411.1261061947963,1
aa,2,462.14494843742176,1
aa,2,447.2537612619432,1
aa,2,457.4673508340238,1
aa,2,409.72869300964743,1
aa,2,415.26008871863513,1
aa,2,485.23889092886253,1
aa,2,363.9923174912838,1
aa,2,362.23742375929373,1
aa,2,360.04800398452085,1
aa,2,362.20447496610325,1
aa,2,363.7048768454061,1
aa,2,360.15633758233065,1
aa,2,342.56843820029536,1
aa,2,338.58300064068897,1
aa,2,285.2500457532305,1
aa,2,293.84044306577107,1
aa,2,293.36485593381974,1
aa,2,264.36337052432845,1
aa,2,61.182351097103634,1
aa,2,60.05576692484185,1
aa,2,44.2040225123893,1
aa,2,236.1568740325706,1
aa,2,210.97512804801448,1
aa,2,193.81400256153302,1
aa,2,246.3464453432017,1
aa,2,228.5055570812856,1
aa,2,231.2296302752142,1
aa,2,247.90298304044305,1
aa,2,236.72617530986403,1
aa,2,235.69808469177224,1
aa,2,164.6680962857073,1
aa,2,165.78318447429788,1
aa,2,237.74713092631325,1
aa,2,484.7074028757453,2
aa,2,481.7717996532012,2
aa,2,483.0436935572929,2
aa,2,484.9040726700041,2
aa,2,485.2040297869466,2
aa,2,484.41293514264333,2
aa,2,485.14725157411556,2
aa,2,484.0984779909926,2
aa,2,484.6883876680862,2
aa,2,446.62892014760376,2
aa,2,444.8360431183224,2
aa,2,447.732260696173,2
aa,2,429.6929684967606,2
aa,2,444.47009234596544,2
aa,2,447.38326315009454,2
aa,2,425.39300735273264,2
aa,2,446.0442978671557,2
aa,2,379.96676511147984,2
aa,2,383.11130095470037,2
aa,2,367.30994163554095,2
aa,2,379.17049731515124,2
aa,2,378.64640498756233,2
aa,2,281.36969834338373,2
aa,2,264.4585025295603,2
aa,2,293.6894556911679,2
aa,2,292.60664916208304,2
aa,2,292.8962651126047,2
aa,2,292.4958579251182,2
aa,2,191.40507058996516,3
aa,2,166.90929980758108,3
aa,2,172.25291401200536,3
aa,2,155.31914111675906,3
aa,2,156.75944263416102,3
aa,2,162.14019456997292,3
aa,2,164.93138011492465,3
aa,2,183.4552593432673,3
aa,2,128.6861420082707,3
aa,2,161.61796056308427,3
aa,2,243.2765692494159,3
aa,2,207.88899142848908,3
aa,2,200.6866181312743,3
aa,2,203.44272114742802,3
aa,2,240.2677548299328,3
aa,2,127.12452504024708,3
aa,2,91.19424006701095,3
aa,2,94.76580751442259,3
aa,2,116.0030604959884,3
aa,2,108.24366401120244,3
aa,2,127.29668610641212,3
aa,2,107.27689300459652,3
aa,2,113.81585734500747,3
aa,2,81.64005525665962,2
aa,2,83.93401737835322,2
aa,2,85.79507458225612,2
aa,2,124.56723174986746,2
aa,2,119.31958466367749,2
aa,2,116.72732595115119,2
aa,2,124.18996244180818,2
aa,2,125.74692613356947,2
aa,2,124.30740869448103,2
aa,2,118.55067939020927,2
aa,2,117.26587615695085,2
aa,2,127.54373848348911,2
aa,2,117.47768783319425,2
aa,2,125.13569887487238,2
aa,2,118.9607545241736,2
aa,2,117.08020462385677,2
aa,2,25.275627381258992,2
aa,2,24.516691166737335,2
aa,2,24.148389005028356,2
aa,2,26.035169898215045,2
aa,2,30.955695212557192,2
aa,2,25.53545428970915,2
aa,2,485.0921254859782,3
aa,2,492.676100808486,3
aa,2,494.2883538187967,3
aa,2,484.38528794072937,3
aa,2,485.35655714347854,3
aa,2,485.77403222733,3
aa,2,485.45075808256786,3
aa,2,485.2230591676389,3
aa,2,393.1645323699133,3
aa,2,399.5197486234424,3
aa,2,395.5932865360864,3
aa,2,399.25262625323603,3
aa,2,335.73794827584845,3
aa,2,333.6027924676015,3
aa,2,335.99892480190823,3
aa,2,334.5631854259709,3
aa,2,328.4993136552493,3
aa,2,341.3893716062717,3
aa,2,330.6121666388842,3
aa,2,332.4277902146714,3
aa,2,328.72187617395764,3
aa,2,339.1823065422203,3
aa,2,860.0234335028302,2
aa,2,879.676595724219,2
aa,2,865.8637465527717,2
aa,2,832.4009163803254,2
aa,2,839.9833829415151,2
aa,2,835.243389807482,2
aa,2,838.561147387484,2
