EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5
526,2,53,2,aa,61,5,4,4
605,2,87,2,aa,29,5,2,2
1044,2,24,2,aa,36,5,4,4
1700,2,24,2,aa,48,1,3,3
1815,2,87,2,aa,61,1,4,3
2041,1,85,2,aa,8,2,4,2
4701,1,20,2,aa,31,4,4,1
5443,2,20,2,aa,26,5,3,4
5541,1,84,2,aa,21,5,5,4
5649,1,84,2,aa,21,5,3,1
5834,1,84,1,aa,19,1,3,1
6516,2,29,2,aa,40,1,2,4
7795,2,20,1,aa,24,4,3,4
10243,1,54,2,aa,31,3,4,4
10480,1,47,1,aa,43,3,4,1
11089,1,47,1,aa,63,3,3,1
11421,2,30,2,aa,43,3,5,1
12020,2,83,2,aa,40,3,2,4
12048,2,86,1,aa,30,3,5,2
12167,2,41,1,aa,43,3,3,3
12351,2,84,1,aa,9,3,3,3
12387,2,84,2,aa,44,3,5,4
12445,1,20,1,aa,47,2,5,3
12684,2,84,2,aa,28,7,5,4
12751,2,47,2,aa,62,1,4,1
12878,2,30,1,aa,36,2,2,3
12982,2,30,2,aa,55,2,4,1
13079,2,80,1,aa,44,5,5,2
13217,2,52,2,aa,62,7,3,2
15589,2,47,2,aa,37,7,5,2
15652,2,17,1,aa,1,5,5,2
15663,1,57,2,aa,43,7,3,4
15792,2,16,1,aa,37,5,5,2
15797,1,69,1,aa,1,7,3,3
15825,1,17,2,aa,2,2,3,4
16392,1,17,2,aa,23,5,4,4
17121,1,83,1,aa,23,5,3,1
17164,1,42,1,aa,0,2,4,4
17584,2,42,1,aa,52,7,4,4
17729,2,82,2,aa,61,7,4,4
17741,2,63,1,aa,29,7,3,4
17872,1,43,2,aa,0,5,4,1
18064,2,30,1,aa,53,2,4,4
18201,2,83,2,aa,63,1,3,3
18234,1,62,2,aa,28,4,4,4
18266,1,16,1,aa,51,5,4,3
18266,2,62,1,aa,1,7,4,1
18298,1,40,2,aa,63,2,5,4
22725,1,49,1,aa,0,4,3,4
22852,1,49,2,aa,23,7,5,4
22929,1,41,1,aa,48,7,3,4
22934,2,52,2,aa,17,3,5,4
23233,1,62,1,aa,19,3,3,4
23537,1,70,1,aa,44,5,5,4
23872,1,71,1,aa,28,3,3,1
23930,1,70,1,aa,63,4,3,1
24117,1,82,1,aa,19,5,3,3
24323,1,82,2,aa,33,5,4,3
24667,1,86,1,aa,17,3,1,3
25093,1,26,1,aa,60,4,1,4
25116,2,70,2,aa,60,3,1,3
25156,2,70,2,aa,42,3,2,3
25505,1,40,1,aa,45,5,2,1
25873,1,71,1,aa,18,1,5,1
25930,1,71,2,aa,23,4,2,1
26200,1,31,2,aa,16,4,1,2
26364,1,70,2,aa,11,4,1,1
26403,1,63,2,aa,17,1,1,3
26541,1,87,2,aa,54,7,2,2
26590,1,87,2,aa,43,7,1,2
26775,1,70,2,aa,11,2,1,1
26928,1,54,2,aa,18,1,1,3
27004,2,28,2,aa,35,6,2,3
27036,2,30,2,aa,16,3,2,3
27045,2,30,2,aa,32,2,2,1
27677,2,48,1,aa,52,6,1,1
27872,1,30,2,aa,43,2,1,3
28405,1,82,2,aa,23,2,5,3
28517,1,29,2,aa,60,3,1,1
29401,2,22,2,aa,33,3,5,2
29407,1,22,2,aa,32,6,5,3
29528,2,82,2,aa,24,6,2,3
29528,1,49,2,aa,54,3,1,1
29620,1,83,1,aa,16,3,5,1
29742,2,83,1,aa,28,6,2,3
29819,1,62,2,aa,12,4,2,3
29845,1,17,2,aa,12,2,2,2
29907,1,83,1,aa,13,3,2,2
29949,1,17,1,aa,32,4,2,3
30766,2,81,1,aa,29,2,1,3
30869,2,68,1,aa,14,3,2,1
30886,1,30,1,aa,18,5,2,2
30924,1,68,1,aa,9,2,5,2
31027,2,68,1,aa,18,5,1,3
31084,2,68,1,aa,0,6,1,3
31088,2,62,1,aa,11,5,2,2
31141,2,62,1,aa,47,2,2,2
31206,2,46,1,aa,0,7,5,2
31225,2,42,1,aa,30,6,5,2
35942,1,73,2,aa,15,4,3,2
36196,1,82,2,aa,58,2,2,2
36204,2,36,2,aa,24,2,3,1
36291,2,73,2,aa,39,4,3,3
36314,1,38,2,aa,15,4,3,4
36517,2,50,2,aa,14,7,3,3
37049,2,47,2,aa,14,2,2,4
37839,1,50,2,aa,4,2,2,2
38324,2,64,1,aa,58,4,5,4
38421,1,19,1,aa,4,5,5,4
38514,2,44,1,aa,51,2,5,1
38681,1,50,2,aa,58,1,5,2
38708,1,59,2,aa,58,2,5,4
41062,1,57,1,aa,52,1,1,1
41109,1,48,2,aa,29,1,5,2
41304,1,50,1,aa,5,6,1,3
42350,2,21,1,aa,5,7,1,3
45720,1,64,1,aa,58,6,1,4
46288,1,64,1,aa,5,3,1,2
46736,1,63,1,aa,39,6,5,2
47238,1,42,1,aa,58,4,1,3
47249,1,51,2,aa,14,4,3,2
47376,1,51,2,aa,6,6,3,1
47908,2,21,1,aa,58,1,3,2
48111,2,66,1,aa,5,6,4,1
48275,1,66,2,aa,58,3,5,4
49268,2,83,2,aa,43,1,4,3
49375,2,39,2,aa,43,6,4,1
49635,1,75,2,aa,14,1,4,1
50254,2,56,2,aa,6,1,1,4
50386,1,66,2,aa,14,3,4,3
50608,1,47,2,aa,6,6,3,4
50989,1,70,2,aa,14,3,1,4
51266,2,70,2,aa,15,4,1,1
51848,2,42,1,aa,38,6,1,1
52014,1,66,1,aa,55,7,1,4
52084,1,46,1,aa,34,1,4,3
52578,1,77,1,aa,13,3,4,3
55525,2,35,1,aa,5,1,2,4
56328,1,17,1,aa,42,6,4,4
56330,1,35,1,aa,49,6,4,2
56358,2,59,1,aa,35,6,5,4
56429,2,41,1,aa,49,6,1,4
56533,1,40,2,aa,14,3,4,4
56712,1,60,2,aa,35,5,3,4
57110,2,32,2,aa,42,1,4,3
57308,1,71,1,aa,14,2,2,2
59938,2,71,2,aa,43,6,5,3
59985,1,32,1,aa,50,4,1,3
60137,1,45,2,aa,43,7,2,1
60286,1,40,1,aa,43,5,2,2
60507,2,87,2,aa,50,3,5,1
61068,1,37,1,aa,43,1,2,3
61990,2,19,2,aa,12,3,2,3
62861,1,74,1,aa,27,5,1,1
63124,1,20,2,aa,7,2,1,2
63280,1,66,2,aa,35,7,2,2
64374,1,47,1,aa,29,2,5,1
64416,2,74,2,aa,15,5,5,2
65075,1,35,2,aa,27,5,1,1
65786,2,21,2,aa,32,7,5,2
68161,2,46,2,aa,31,2,4,4
69225,1,31,1,aa,31,7,5,4
69420,2,40,1,aa,9,2,4,4
73974,2,20,1,aa,3,2,4,4
74122,1,17,1,aa,39,2,5,4
74335,2,67,2,aa,59,7,5,2
75307,2,35,2,aa,28,2,4,2
75354,2,52,1,aa,23,2,5,3
75473,1,17,2,aa,9,5,3,4
75584,2,52,1,aa,59,2,3,4
76534,1,30,1,aa,35,2,4,4
78408,2,73,2,aa,2,2,3,3
78866,2,78,2,aa,32,2,4,4
80137,1,35,2,aa,30,2,5,4
80178,1,53,1,aa,30,4,3,2
80819,2,66,1,aa,61,7,3,4
84993,1,43,2,aa,23,5,4,2
85001,1,33,2,aa,31,5,3,4
85016,1,90,2,aa,20,4,3,2
85190,1,36,2,aa,53,5,3,4
85346,2,21,2,aa,23,4,5,3
85373,1,42,2,aa,53,5,4,4
85463,1,70,2,aa,31,5,4,2
85499,2,70,1,aa,23,4,3,4
85508,1,41,2,aa,9,4,3,3
85900,2,31,2,aa,60,7,5,3
86227,2,31,2,aa,37,7,5,4
86460,2,64,1,aa,52,5,4,2
86624,2,90,1,aa,46,6,1,3
87040,2,65,1,aa,46,1,1,2
87253,2,30,1,aa,9,1,4,3
87502,2,67,1,aa,46,5,1,3
89348,1,35,1,aa,10,7,1,4
92269,2,20,1,aa,7,6,3,2
92335,2,34,1,aa,47,6,4,4
92377,1,35,1,aa,53,7,3,4
92599,1,41,1,aa,47,4,1,4
92965,1,51,1,aa,53,7,4,4
92990,2,66,1,aa,53,6,4,4
92998,1,78,1,aa,47,7,1,2
93086,1,57,1,aa,2,7,3,4
93412,1,35,2,aa,63,4,4,2
93513,2,57,1,aa,53,4,5,2
93539,1,52,2,aa,47,4,1,2
93679,2,49,2,aa,21,1,3,3
93725,2,90,1,aa,37,7,1,3
93761,2,32,2,aa,4,7,1,3
93884,1,90,2,aa,53,5,4,2
94184,1,67,2,aa,39,1,1,2
94197,2,68,2,aa,21,6,1,4
94229,2,88,2,aa,46,6,3,1
94260,1,56,2,aa,11,1,1,1
94276,2,69,1,aa,46,6,1,1
94312,2,90,1,aa,46,6,2,4
94315,2,56,1,aa,46,6,2,1
94346,1,54,1,aa,46,6,2,1
94527,1,90,1,aa,29,3,2,4
94527,1,37,1,aa,53,4,2,1
94601,1,68,1,aa,46,3,3,1
94853,1,37,2,aa,63,5,2,1
94861,2,19,1,aa,61,3,3,1
94963,1,57,2,aa,29,3,5,3
95025,1,34,2,aa,46,3,5,4
95099,1,40,2,aa,46,5,2,3
95244,1,44,2,aa,29,3,5,3
95369,2,76,1,aa,46,3,2,3
95518,2,57,2,aa,46,3,2,1
95591,2,57,2,aa,46,5,2,3
95650,2,19,2,aa,5,3,2,3
95806,2,57,2,aa,29,5,2,3
95822,1,57,2,aa,5,3,5,3
95855,1,57,1,aa,5,3,5,3
95863,2,42,2,aa,46,3,3,1
96043,2,40,1,aa,46,3,5,3
96216,1,55,2,aa,57,7,5,1
98359,2,63,2,aa,54,5,5,1
98436,2,46,1,aa,32,1,5,1
98594,2,71,1,aa,9,1,5,4
98667,2,62,2,aa,14,1,5,1
98815,2,15,1,aa,9,3,4,1
98914,2,41,2,aa,2,1,4,1
99237,2,73,2,aa,4,5,5,1
99297,2,18,2,aa,52,1,2,1
100090,2,79,2,aa,14,5,4,4
101806,2,32,1,aa,25,1,4,1
101814,2,32,1,aa,56,3,2,1
101828,2,77,1,aa,25,1,2,1
101851,2,78,1,aa,59,6,5,3
101898,2,71,1,aa,49,1,5,4
102073,1,62,1,aa,33,5,5,1
102280,1,22,1,aa,39,5,1,1
103313,1,70,1,aa,23,1,1,4
103371,1,62,2,aa,10,1,1,2
103715,1,55,2,aa,38,1,1,2
103743,1,61,2,aa,24,2,1,2
103902,1,80,2,aa,4,2,1,3
104124,1,67,2,aa,48,5,2,4
104628,1,78,2,aa,48,5,1,2
104838,1,78,2,aa,62,5,1,2
105229,1,87,2,aa,15,5,1,2
105906,1,51,2,aa,20,5,1,2
106219,1,70,2,aa,52,5,1,4
106253,1,64,2,aa,18,5,4,2
106444,1,64,2,aa,24,5,4,2
106490,1,61,2,aa,6,6,4,2
107570,1,61,2,aa,9,3,5,1
107588,1,83,1,aa,0,4,5,1
107629,2,32,2,aa,13,3,1,4
107646,1,32,2,aa,0,6,1,4
107713,1,52,1,aa,20,2,3,1
107751,1,35,2,aa,50,3,1,3
107829,1,35,2,aa,38,3,4,1
107845,2,44,1,aa,35,3,1,4
107873,1,32,2,aa,23,4,3,3
112744,1,32,1,aa,53,6,3,1
113025,1,82,1,aa,50,6,3,3
113073,2,32,1,aa,50,3,3,4
113147,1,51,1,aa,23,2,4,4
113254,1,63,1,aa,23,3,4,3
113900,1,63,1,aa,52,4,3,3
114145,2,47,1,aa,51,4,5,3
114214,2,47,1,aa,9,4,1,3
114250,2,81,1,aa,51,2,1,4
114728,2,50,2,aa,3,3,3,1
114783,2,46,1,aa,57,6,3,4
114881,2,37,2,aa,19,6,3,1
