EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
526,2,53,2,aa,61,5,4,101
605,2,87,2,aa,29,5,1,101
1044,2,24,2,aa,36,5,4,101
1700,2,24,2,aa,48,1,3,547
1815,2,87,2,aa,61,1,4,381
2041,1,85,2,aa,8,2,4,381
4701,1,20,2,aa,31,4,4,101
5443,2,20,2,aa,26,5,1,101
5541,1,84,2,aa,21,5,4,101
5649,1,84,2,aa,21,5,2,101
5834,1,84,1,aa,19,1,3,101
6516,2,29,2,aa,40,1,1,101
7795,2,20,1,aa,24,4,3,101
10243,1,54,2,aa,31,3,4,456
10480,1,47,1,aa,43,3,1,456
11089,1,47,1,aa,63,3,2,101
11421,2,30,2,aa,43,3,3,101
12020,2,83,2,aa,40,3,4,193
12048,2,86,1,aa,30,3,2,101
12167,2,41,1,aa,43,3,2,101
12351,2,84,1,aa,9,3,3,773
12387,2,84,2,aa,44,3,4,101
12445,1,20,1,aa,47,2,4,101
12684,2,84,2,aa,28,7,1,775
12751,2,47,2,aa,62,1,3,101
12878,2,30,1,aa,36,2,3,101
12982,2,30,2,aa,55,2,1,101
13079,2,80,1,aa,44,5,1,101
13217,2,52,2,aa,62,7,2,101
15589,2,47,2,aa,37,7,2,587
15652,2,17,1,aa,1,5,4,101
15663,1,57,2,aa,43,7,4,101
15792,2,16,1,aa,37,5,2,101
15797,1,69,1,aa,1,7,2,364
15825,1,17,2,aa,2,2,4,101
16392,1,17,2,aa,23,5,4,576
17121,1,83,1,aa,23,5,4,522
17164,1,42,1,aa,0,2,3,376
17584,2,42,1,aa,52,7,3,195
17729,2,82,2,aa,61,7,3,101
17741,2,63,1,aa,29,7,3,101
17872,1,43,2,aa,0,5,3,522
18064,2,30,1,aa,53,2,3,249
18201,2,83,2,aa,63,1,4,249
18234,1,62,2,aa,28,4,4,101
18266,2,62,1,aa,1,7,3,101
18266,1,16,1,aa,51,5,4,101
18298,1,40,2,aa,63,2,4,101
22725,1,49,1,aa,0,4,4,101
22852,1,49,2,aa,23,7,3,236
22929,1,41,1,aa,48,7,1,101
22934,2,52,2,aa,17,3,4,101
23233,1,62,1,aa,19,3,4,599
23537,1,70,1,aa,44,5,4,194
23872,1,71,1,aa,28,3,1,194
23930,1,70,1,aa,63,4,4,101
24117,1,82,1,aa,19,5,1,192
24323,1,82,2,aa,33,5,1,378
24667,1,86,1,aa,17,3,1,551
25093,1,26,1,aa,60,4,1,531
25116,2,70,2,aa,60,3,1,101
25156,2,70,2,aa,42,3,1,654
25505,1,40,1,aa,45,5,1,101
25873,1,71,1,aa,18,1,1,509
25930,1,71,2,aa,23,4,2,101
26200,1,31,2,aa,16,4,1,101
26364,1,70,2,aa,11,4,2,101
