EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5
526,2,53,2,aa,61,5,4
605,2,87,2,aa,29,5,1
1044,2,24,2,aa,36,5,4
1700,2,24,2,aa,48,1,3
1815,2,87,2,aa,61,1,4
2041,1,85,2,aa,8,2,4
4701,1,20,2,aa,31,4,4
5443,2,20,2,aa,26,5,1
5541,1,84,2,aa,21,5,4
5649,1,84,2,aa,21,5,2
5834,1,84,1,aa,19,1,3
6516,2,29,2,aa,40,1,1
7795,2,20,1,aa,24,4,3
10243,1,54,2,aa,31,3,4
10480,1,47,1,aa,43,3,1
11089,1,47,1,aa,63,3,2
11421,2,30,2,aa,43,3,3
12020,2,83,2,aa,40,3,4
12048,2,86,1,aa,30,3,2
12167,2,41,1,aa,43,3,2
12351,2,84,1,aa,9,3,3
12387,2,84,2,aa,44,3,4
12445,1,20,1,aa,47,2,4
12684,2,84,2,aa,28,7,1
12751,2,47,2,aa,62,1,3
12878,2,30,1,aa,36,2,3
12982,2,30,2,aa,55,2,1
13079,2,80,1,aa,44,5,1
13217,2,52,2,aa,62,7,2
15589,2,47,2,aa,37,7,2
15652,2,17,1,aa,1,5,4
15663,1,57,2,aa,43,7,4
15792,2,16,1,aa,37,5,2
15797,1,69,1,aa,1,7,2
15825,1,17,2,aa,2,2,4
16392,1,17,2,aa,23,5,4
17121,1,83,1,aa,23,5,4
17164,1,42,1,aa,0,2,3
17584,2,42,1,aa,52,7,3
17729,2,82,2,aa,61,7,3
17741,2,63,1,aa,29,7,3
17872,1,43,2,aa,0,5,3
18064,2,30,1,aa,53,2,3
18201,2,83,2,aa,63,1,4
18234,1,62,2,aa,28,4,4
18266,2,62,1,aa,1,7,3
18266,1,16,1,aa,51,5,4
18298,1,40,2,aa,63,2,4
22725,1,49,1,aa,0,4,4
22852,1,49,2,aa,23,7,3
22929,1,41,1,aa,48,7,1
22934,2,52,2,aa,17,3,4
23233,1,62,1,aa,19,3,4
23537,1,70,1,aa,44,5,4
23872,1,71,1,aa,28,3,1
23930,1,70,1,aa,63,4,4
24117,1,82,1,aa,19,5,1
24323,1,82,2,aa,33,5,1
24667,1,86,1,aa,17,3,1
25093,1,26,1,aa,60,4,1
25116,2,70,2,aa,60,3,1
25156,2,70,2,aa,42,3,1
25505,1,40,1,aa,45,5,1
25873,1,71,1,aa,18,1,1
25930,1,71,2,aa,23,4,2
26200,1,31,2,aa,16,4,1
26364,1,70,2,aa,11,4,2
26403,1,63,2,aa,17,1,2
26541,1,87,2,aa,54,7,3
26590,1,87,2,aa,43,7,2
26775,1,70,2,aa,11,2,1
26928,1,54,2,aa,18,1,1
27004,2,28,2,aa,35,6,3
27036,2,30,2,aa,16,3,3
27045,2,30,2,aa,32,2,3
27677,2,48,1,aa,52,6,3
27872,1,30,2,aa,43,2,3
28405,1,82,2,aa,23,2,3
28517,1,29,2,aa,60,3,3
29401,2,22,2,aa,33,3,1
29407,1,22,2,aa,32,6,1
29528,1,49,2,aa,54,3,3
29528,2,82,2,aa,24,6,3
29620,1,83,1,aa,16,3,3
29742,2,83,1,aa,28,6,3
29819,1,62,2,aa,12,4,3
29845,1,17,2,aa,12,2,3
29907,1,83,1,aa,13,3,2
29949,1,17,1,aa,32,4,1
30766,2,81,1,aa,29,2,1
30869,2,68,1,aa,14,3,3
30886,1,30,1,aa,18,5,3
30924,1,68,1,aa,9,2,3
31027,2,68,1,aa,18,5,3
31084,2,68,1,aa,0,6,2
