TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
1,41,2,28,4,4,aa,2,101
1,61,1,60,3,4,aa,1,101
1,24,2,37,2,1,aa,1,394
1,83,1,26,3,2,aa,2,101
1,82,2,9,6,5,aa,2,101
1,42,2,15,6,5,aa,1,101
1,82,1,33,4,3,aa,1,701
1,39,1,27,3,1,aa,1,101
1,83,2,10,2,4,aa,4,101
1,51,1,9,6,1,aa,1,101
1,86,2,33,7,1,aa,2,648
1,52,1,5,1,4,aa,1,101
1,33,2,27,4,5,aa,4,101
1,20,1,40,2,5,aa,4,101
1,20,1,53,2,5,aa,2,101
1,82,2,9,6,3,aa,3,101
1,53,1,37,2,4,aa,1,394
1,21,2,49,3,4,aa,4,543
1,41,1,29,5,2,aa,1,499
1,22,1,54,7,2,aa,2,101
1,81,2,24,1,3,aa,4,469
1,70,2,35,5,1,aa,2,284
1,20,2,37,1,1,aa,2,419
1,29,1,54,6,5,aa,2,576
1,53,1,22,3,5,aa,4,101
1,53,1,53,6,4,aa,2,568
1,21,2,42,7,5,aa,3,390
1,46,2,48,6,4,aa,3,101
1,70,2,41,6,5,aa,3,101
1,69,1,40,1,4,aa,2,101
1,64,2,25,5,5,aa,4,101
1,18,1,28,1,5,aa,1,101
1,34,2,27,7,4,aa,4,101
1,78,1,41,1,5,aa,4,330
1,82,1,27,3,4,aa,4,101
1,16,2,29,5,2,aa,1,532
1,20,2,1,7,1,aa,4,292
1,18,2,28,3,4,aa,4,101
1,76,1,54,5,5,aa,4,101
1,64,2,25,6,1,aa,4,101
1,21,2,54,6,2,aa,1,101
1,29,1,59,6,4,aa,3,101
1,20,1,29,1,3,aa,4,537
1,54,2,28,4,4,aa,2,587
1,41,1,28,5,1,aa,4,101
1,58,1,14,1,2,aa,3,101
1,83,1,56,1,5,aa,3,349
1,46,1,50,5,2,aa,4,101
1,87,2,53,1,4,aa,3,390
1,58,1,14,1,3,aa,3,101
1,41,2,0,1,2,aa,4,101
