TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27
1,68,2,35,5,2,aa
1,25,2,47,7,5,aa
1,41,2,28,6,4,aa
1,78,2,40,7,2,aa
1,41,1,5,7,5,aa
1,40,2,50,3,5,aa
1,20,1,54,3,1,aa
1,83,1,27,2,1,aa
1,37,2,50,7,3,aa
1,67,2,42,4,5,aa
1,81,1,53,3,1,aa
1,83,1,9,1,1,aa
1,67,1,30,3,4,aa
1,58,2,23,3,3,aa
1,45,2,49,6,2,aa
1,50,2,9,3,4,aa
1,55,1,34,7,1,aa
1,29,2,56,3,2,aa
1,21,2,34,7,5,aa
1,43,1,12,7,5,aa
1,50,1,22,3,2,aa
1,51,2,54,5,3,aa
1,75,1,9,1,1,aa
1,54,1,56,2,2,aa
1,55,2,12,7,1,aa
1,67,1,24,6,5,aa
1,81,1,31,2,5,aa
1,20,1,30,2,2,aa
1,35,2,2,2,2,aa
1,51,2,50,5,4,aa
1,68,1,40,3,5,aa
1,54,1,23,6,4,aa
1,33,2,44,4,5,aa
1,55,1,3,5,3,aa
1,75,1,9,5,5,aa
1,78,1,35,3,4,aa
1,63,2,34,2,1,aa
1,36,1,34,4,3,aa
1,40,2,50,3,5,aa
1,44,1,25,7,4,aa
1,87,1,9,1,1,aa
1,56,1,15,1,5,aa
1,43,2,14,5,2,aa
1,55,2,27,7,1,aa
1,82,2,51,4,5,aa
1,42,2,37,4,3,aa
1,87,2,45,6,3,aa
1,36,1,58,5,2,aa
1,44,1,48,1,2,aa
1,67,2,40,5,4,aa
1,78,2,35,3,4,aa
1,20,2,29,5,2,aa
1,73,2,36,3,4,aa
1,21,2,28,4,2,aa
1,73,1,36,3,4,aa
1,71,2,9,5,2,aa
1,81,1,20,3,4,aa
1,78,2,35,3,4,aa
1,19,1,28,5,2,aa
1,70,1,4,4,4,aa
1,36,1,34,4,3,aa
1,37,1,25,5,2,aa
1,60,1,53,3,4,aa
1,67,1,61,3,2,aa
1,41,2,27,6,4,aa
1,6,1,34,5,1,aa
1,40,2,46,7,4,aa
1,60,1,61,4,3,aa
1,36,2,25,5,4,aa
1,32,1,25,7,3,aa
1,80,2,29,6,2,aa
1,40,1,29,7,5,aa
1,76,1,46,3,2,aa
1,40,2,34,6,4,aa
1,82,1,47,2,2,aa
1,60,1,61,4,3,aa
1,42,1,23,3,3,aa
1,36,2,10,3,2,aa
1,81,1,57,3,3,aa
1,70,1,50,6,3,aa
1,79,1,38,6,3,aa
1,78,1,35,3,4,aa
1,54,1,5,3,4,aa
1,83,1,3,5,5,aa
1,40,2,24,6,4,aa
1,67,2,27,6,2,aa
1,59,2,43,5,5,aa
1,41,1,13,2,2,aa
1,82,2,47,6,2,aa
1,67,1,54,7,5,aa
1,83,1,8,4,2,aa
1,45,2,25,5,4,aa
1,52,2,14,7,4,aa
1,69,2,46,4,1,aa
1,40,1,5,2,2,aa
1,53,2,5,2,4,aa
1,50,1,9,3,4,aa
1,52,2,14,7,4,aa
1,67,1,27,6,5,aa
1,50,1,32,3,4,aa
1,18,2,54,4,4,aa
1,75,1,37,5,1,aa
1,21,2,54,6,4,aa
1,35,1,35,2,3,aa
1,14,1,40,5,1,aa
1,54,2,30,1,3,aa
1,52,2,14,7,4,aa
1,67,2,23,6,3,aa
1,30,2,60,2,2,aa
1,85,2,22,6,3,aa
1,75,2,38,3,4,aa
1,41,2,51,7,2,aa
1,67,2,12,5,2,aa
1,43,1,14,5,2,aa
1,69,2,22,7,3,aa
1,53,2,48,6,2,aa
1,67,2,12,5,4,aa
1,44,1,50,4,5,aa
1,55,2,23,3,3,aa
1,81,1,50,5,4,aa
1,63,2,32,2,1,aa
1,35,1,18,2,2,aa
1,87,1,37,3,1,aa
1,41,2,14,6,4,aa
1,67,2,37,6,4,aa
1,32,1,37,4,3,aa
1,70,2,13,4,5,aa
1,52,2,5,3,2,aa
1,81,2,31,2,5,aa
1,53,1,15,2,1,aa
1,70,1,56,2,2,aa
1,43,1,14,6,4,aa
1,52,2,50,6,2,aa
1,66,2,34,4,2,aa
1,70,2,50,4,1,aa
1,49,1,56,1,3,aa
1,30,1,61,3,2,aa
1,54,2,20,3,4,aa
1,83,1,58,5,3,aa
1,85,1,45,6,3,aa
1,43,2,12,6,1,aa
1,52,1,11,6,4,aa
1,86,2,53,3,2,aa
1,41,1,34,3,1,aa
1,44,2,33,7,1,aa
1,44,1,34,5,3,aa
1,45,2,58,1,1,aa
1,50,1,37,3,4,aa
1,87,2,61,3,1,aa
1,82,1,61,7,1,aa
1,82,2,50,7,2,aa
1,19,2,31,3,4,aa
1,66,1,54,7,5,aa
1,63,2,49,5,1,aa
1,35,1,31,2,5,aa
1,68,2,13,5,3,aa
1,60,2,58,5,3,aa
1,26,2,29,2,2,aa
1,55,2,12,6,1,aa
1,53,1,48,6,2,aa
1,21,1,26,5,3,aa
1,66,2,40,7,2,aa
1,55,2,5,7,2,aa
1,82,1,61,7,1,aa
1,60,1,52,5,2,aa
1,22,1,39,6,4,aa
1,49,1,7,1,4,aa
1,65,2,39,6,4,aa
1,87,1,9,4,2,aa
1,63,2,61,2,3,aa
1,20,1,28,4,2,aa
1,86,1,44,6,2,aa
1,50,1,15,3,2,aa
1,66,1,22,3,5,aa
1,55,2,6,1,3,aa
1,69,1,4,5,3,aa
1,47,1,2,1,4,aa
1,69,2,53,3,2,aa
1,70,1,29,6,2,aa
1,52,2,2,4,2,aa
1,71,1,9,5,5,aa
1,86,2,12,4,1,aa
1,30,1,60,3,2,aa
1,87,1,53,3,3,aa
1,43,1,14,4,2,aa
1,57,2,14,6,1,aa
1,20,2,28,2,3,aa
1,66,1,10,5,3,aa
1,66,2,8,4,2,aa
1,67,2,42,4,4,aa
1,57,1,25,4,1,aa
1,52,2,23,3,3,aa
1,44,1,27,5,2,aa
1,30,2,55,3,2,aa
1,52,1,53,4,2,aa
1,43,2,35,5,3,aa
1,67,1,7,6,4,aa
1,76,1,9,1,1,aa
1,44,2,57,1,2,aa
1,42,1,44,5,5,aa
1,87,2,53,5,3,aa
1,67,1,6,6,4,aa
1,57,1,14,6,1,aa
1,60,1,58,5,3,aa
1,44,1,43,4,5,aa
1,53,2,35,3,5,aa
1,18,1,29,6,2,aa
1,69,1,45,3,2,aa
1,44,2,33,2,3,aa
1,43,2,14,2,2,aa
1,44,2,25,7,4,aa
1,54,2,61,5,2,aa
1,76,1,29,6,3,aa
1,48,1,11,6,4,aa
1,71,2,9,5,2,aa
1,50,1,40,3,4,aa
1,67,1,28,7,4,aa
1,82,1,37,6,3,aa
1,21,1,28,2,3,aa
1,21,2,29,3,2,aa
1,20,1,34,5,4,aa
1,75,2,40,5,5,aa
1,53,1,50,5,3,aa
1,44,1,33,7,1,aa
1,53,2,50,5,3,aa
1,44,2,43,6,4,aa
1,67,1,52,3,3,aa
1,55,1,34,7,1,aa
1,79,1,37,3,2,aa
1,84,2,44,7,3,aa
1,37,1,51,4,3,aa
1,78,2,53,4,2,aa
1,56,1,36,3,3,aa
1,18,2,14,4,2,aa
1,78,1,39,6,2,aa
1,20,2,29,5,3,aa
1,44,2,14,3,4,aa
1,78,2,42,3,3,aa
1,52,1,53,4,2,aa
1,67,1,9,6,5,aa
1,43,2,14,6,4,aa
1,82,2,54,5,4,aa
1,78,1,37,3,2,aa
1,41,2,34,7,1,aa
1,54,1,15,3,2,aa
1,43,1,12,6,1,aa
1,67,1,48,5,2,aa
1,70,2,18,3,2,aa
1,44,1,50,3,5,aa
1,71,2,40,6,2,aa
1,78,2,57,3,2,aa
1,52,1,50,6,2,aa
1,50,1,34,3,4,aa
1,54,2,3,5,2,aa
1,42,1,2,5,2,aa
1,14,1,39,5,1,aa
1,16,1,50,5,4,aa
1,67,2,19,5,1,aa
1,41,2,44,6,4,aa
1,60,2,53,3,4,aa
1,67,1,54,6,5,aa
1,18,2,35,6,4,aa
1,41,2,34,7,1,aa
1,55,1,34,7,1,aa
1,48,2,34,3,4,aa
1,42,1,37,4,3,aa
1,36,2,51,3,4,aa
1,51,1,9,1,5,aa
1,68,1,40,3,5,aa
1,51,1,50,1,2,aa
1,83,2,30,2,2,aa
1,75,1,40,5,5,aa
1,68,1,4,5,4,aa
1,51,1,50,1,1,aa
1,72,2,24,6,1,aa
1,40,2,24,6,4,aa
1,52,1,59,4,3,aa
1,83,1,34,7,1,aa
1,52,1,27,6,2,aa
1,52,2,11,6,4,aa
1,41,1,56,2,1,aa
1,29,2,28,4,2,aa
1,28,2,30,7,3,aa
1,81,1,24,2,1,aa
1,62,2,37,3,1,aa
1,87,2,48,4,2,aa
1,53,2,35,3,5,aa
1,66,1,44,5,3,aa
1,54,2,29,3,2,aa
1,71,2,36,7,3,aa
1,71,1,44,3,4,aa
1,83,2,50,5,4,aa
1,53,2,41,2,5,aa
1,87,1,61,5,2,aa
1,67,2,19,3,1,aa
1,64,2,37,6,4,aa
1,50,2,34,3,3,aa
1,66,2,9,6,4,aa
1,64,2,24,6,5,aa
1,82,2,11,5,3,aa
1,7,2,54,5,5,aa
1,38,1,25,2,5,aa
1,75,2,46,7,1,aa
1,82,1,34,6,3,aa
1,45,1,25,5,4,aa
1,87,2,58,5,5,aa
1,35,2,5,2,4,aa
