EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,TAETIGKEITSSCHLUESSEL5
526,2,53,2,aa,61,4
605,2,87,2,aa,29,4
1044,2,24,2,aa,36,1
1700,2,24,2,aa,48,1
1815,2,87,2,aa,61,2
2041,1,85,2,aa,8,1
4701,1,20,2,aa,31,1
5443,2,20,2,aa,26,3
5541,1,84,2,aa,21,1
5649,1,84,2,aa,21,4
5834,1,84,1,aa,19,4
6516,2,29,2,aa,40,3
7795,2,20,1,aa,24,1
10243,1,54,2,aa,31,2
10480,1,47,1,aa,43,3
11089,1,47,1,aa,63,3
11421,2,30,2,aa,43,3
12020,2,83,2,aa,40,4
12048,2,86,1,aa,30,1
12167,2,41,1,aa,43,4
12351,2,84,1,aa,9,4
12387,2,84,2,aa,44,4
12445,1,20,1,aa,47,4
12684,2,84,2,aa,28,3
12751,2,47,2,aa,62,4
12878,2,30,1,aa,36,3
12982,2,30,2,aa,55,3
13079,2,80,1,aa,44,4
13217,2,52,2,aa,62,4
15589,2,47,2,aa,37,2
15652,2,17,1,aa,1,2
15663,1,57,2,aa,43,2
15792,2,16,1,aa,37,2
15797,1,69,1,aa,1,2
15825,1,17,2,aa,2,1
16392,1,17,2,aa,23,4
17121,1,83,1,aa,23,4
17164,1,42,1,aa,0,4
17584,2,42,1,aa,52,3
17729,2,82,2,aa,61,1
17741,2,63,1,aa,29,1
17872,1,43,2,aa,0,1
18064,2,30,1,aa,53,1
18201,2,83,2,aa,63,4
18234,1,62,2,aa,28,4
18266,1,16,1,aa,51,3
18266,2,62,1,aa,1,1
18298,1,40,2,aa,63,4
22725,1,49,1,aa,0,3
22852,1,49,2,aa,23,4
22929,1,41,1,aa,48,1
22934,2,52,2,aa,17,3
23233,1,62,1,aa,19,1
23537,1,70,1,aa,44,1
23872,1,71,1,aa,28,3
23930,1,70,1,aa,63,4
24117,1,82,1,aa,19,4
24323,1,82,2,aa,33,1
24667,1,86,1,aa,17,3
25093,1,26,1,aa,60,4
25116,2,70,2,aa,60,4
25156,2,70,2,aa,42,1
25505,1,40,1,aa,45,1
25873,1,71,1,aa,18,2
25930,1,71,2,aa,23,2
26200,1,31,2,aa,16,1
26364,1,70,2,aa,11,2
26403,1,63,2,aa,17,2
26541,1,87,2,aa,54,2
26590,1,87,2,aa,43,1
26775,1,70,2,aa,11,3
26928,1,54,2,aa,18,3
27004,2,28,2,aa,35,1
27036,2,30,2,aa,16,1
27045,2,30,2,aa,32,3
27677,2,48,1,aa,52,3
27872,1,30,2,aa,43,3
28405,1,82,2,aa,23,3
28517,1,29,2,aa,60,2
29401,2,22,2,aa,33,3
29407,1,22,2,aa,32,3
29528,1,49,2,aa,54,3
29528,2,82,2,aa,24,3
29620,1,83,1,aa,16,1
29742,2,83,1,aa,28,3
29819,1,62,2,aa,12,3
29845,1,17,2,aa,12,2
29907,1,83,1,aa,13,2
29949,1,17,1,aa,32,3
30766,2,81,1,aa,29,3
30869,2,68,1,aa,14,3
30886,1,30,1,aa,18,2
30924,1,68,1,aa,9,2
31027,2,68,1,aa,18,3
31084,2,68,1,aa,0,3
31088,2,62,1,aa,11,1
31141,2,62,1,aa,47,1
31206,2,46,1,aa,0,3
31225,2,42,1,aa,30,2
35942,1,73,2,aa,15,2
36196,1,82,2,aa,58,3
36204,2,36,2,aa,24,1
36291,2,73,2,aa,39,2
36314,1,38,2,aa,15,2
36517,2,50,2,aa,14,2
37049,2,47,2,aa,14,4
37839,1,50,2,aa,4,4
38324,2,64,1,aa,58,3
38421,1,19,1,aa,4,4
38514,2,44,1,aa,51,4
38681,1,50,2,aa,58,3
38708,1,59,2,aa,58,4
41062,1,57,1,aa,52,4
41109,1,48,2,aa,29,4
41304,1,50,1,aa,5,2
42350,2,21,1,aa,5,2
45720,1,64,1,aa,58,1
46288,1,64,1,aa,5,4
46736,1,63,1,aa,39,4
47238,1,42,1,aa,58,3
47249,1,51,2,aa,14,2
47376,1,51,2,aa,6,1
47908,2,21,1,aa,58,3
48111,2,66,1,aa,5,4
48275,1,66,2,aa,58,2
49268,2,83,2,aa,43,1
49375,2,39,2,aa,43,1
49635,1,75,2,aa,14,2
50254,2,56,2,aa,6,1
50386,1,66,2,aa,14,4
50608,1,47,2,aa,6,1
50989,1,70,2,aa,14,4
51266,2,70,2,aa,15,1
51848,2,42,1,aa,38,4
52014,1,66,1,aa,55,1
52084,1,46,1,aa,34,3
52578,1,77,1,aa,13,1
55525,2,35,1,aa,5,4
56328,1,17,1,aa,42,4
56330,1,35,1,aa,49,4
56358,2,59,1,aa,35,4
56429,2,41,1,aa,49,2
56533,1,40,2,aa,14,4
56712,1,60,2,aa,35,3
57110,2,32,2,aa,42,4
57308,1,71,1,aa,14,2
59938,2,71,2,aa,43,1
59985,1,32,1,aa,50,1
60137,1,45,2,aa,43,1
60286,1,40,1,aa,43,3
60507,2,87,2,aa,50,2
61068,1,37,1,aa,43,3
61990,2,19,2,aa,12,1
62861,1,74,1,aa,27,1
63124,1,20,2,aa,7,2
63280,1,66,2,aa,35,1
64374,1,47,1,aa,29,3
64416,2,74,2,aa,15,3
65075,1,35,2,aa,27,3
65786,2,21,2,aa,32,2
68161,2,46,2,aa,31,4
69225,1,31,1,aa,31,2
69420,2,40,1,aa,9,4
73974,2,20,1,aa,3,2
74122,1,17,1,aa,39,2
74335,2,67,2,aa,59,4
75307,2,35,2,aa,28,4
75354,2,52,1,aa,23,4
75473,1,17,2,aa,9,2
75584,2,52,1,aa,59,4
76534,1,30,1,aa,35,4
78408,2,73,2,aa,2,4
78866,2,78,2,aa,32,3
80137,1,35,2,aa,30,4
80178,1,53,1,aa,30,4
80819,2,66,1,aa,61,3
84993,1,43,2,aa,23,2
85001,1,33,2,aa,31,2
85016,1,90,2,aa,20,4
