EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40
526,2,53,2,aa,61
605,2,87,2,aa,29
1044,2,24,2,aa,36
1700,2,24,2,aa,48
1815,2,87,2,aa,61
2041,1,85,2,aa,8
4701,1,20,2,aa,31
5443,2,20,2,aa,26
5541,1,84,2,aa,21
5649,1,84,2,aa,21
5834,1,84,1,aa,19
6516,2,29,2,aa,40
7795,2,20,1,aa,24
10243,1,54,2,aa,31
10480,1,47,1,aa,43
11089,1,47,1,aa,63
11421,2,30,2,aa,43
12020,2,83,2,aa,40
12048,2,86,1,aa,30
12167,2,41,1,aa,43
12351,2,84,1,aa,9
12387,2,84,2,aa,44
12445,1,20,1,aa,47
12684,2,84,2,aa,28
12751,2,47,2,aa,62
12878,2,30,1,aa,36
12982,2,30,2,aa,55
13079,2,80,1,aa,44
13217,2,52,2,aa,62
15589,2,47,2,aa,37
15652,2,17,1,aa,1
15663,1,57,2,aa,43
15792,2,16,1,aa,37
15797,1,69,1,aa,1
15825,1,17,2,aa,2
16392,1,17,2,aa,23
17121,1,83,1,aa,23
17164,1,42,1,aa,0
17584,2,42,1,aa,52
17729,2,82,2,aa,61
17741,2,63,1,aa,29
17872,1,43,2,aa,0
18064,2,30,1,aa,53
18201,2,83,2,aa,63
18234,1,62,2,aa,28
18266,1,16,1,aa,51
18266,2,62,1,aa,1
18298,1,40,2,aa,63
22725,1,49,1,aa,0
22852,1,49,2,aa,23
22929,1,41,1,aa,48
22934,2,52,2,aa,17
23233,1,62,1,aa,19
23537,1,70,1,aa,44
23872,1,71,1,aa,28
23930,1,70,1,aa,63
24117,1,82,1,aa,19
24323,1,82,2,aa,33
24667,1,86,1,aa,17
25093,1,26,1,aa,60
25116,2,70,2,aa,60
25156,2,70,2,aa,42
25505,1,40,1,aa,45
25873,1,71,1,aa,18
25930,1,71,2,aa,23
26200,1,31,2,aa,16
26364,1,70,2,aa,11
26403,1,63,2,aa,17
26541,1,87,2,aa,54
26590,1,87,2,aa,43
26775,1,70,2,aa,11
26928,1,54,2,aa,18
27004,2,28,2,aa,35
27036,2,30,2,aa,16
27045,2,30,2,aa,32
27677,2,48,1,aa,52
27872,1,30,2,aa,43
28405,1,82,2,aa,23
28517,1,29,2,aa,60
29401,2,22,2,aa,33
29407,1,22,2,aa,32
29528,2,82,2,aa,24
29528,1,49,2,aa,54
29620,1,83,1,aa,16
29742,2,83,1,aa,28
29819,1,62,2,aa,12
29845,1,17,2,aa,12
29907,1,83,1,aa,13
29949,1,17,1,aa,32
30766,2,81,1,aa,29
30869,2,68,1,aa,14
30886,1,30,1,aa,18
30924,1,68,1,aa,9
31027,2,68,1,aa,18
31084,2,68,1,aa,0
31088,2,62,1,aa,11
31141,2,62,1,aa,47
31206,2,46,1,aa,0
31225,2,42,1,aa,30
35942,1,73,2,aa,15
36196,1,82,2,aa,58
36204,2,36,2,aa,24
36291,2,73,2,aa,39
36314,1,38,2,aa,15
36517,2,50,2,aa,14
37049,2,47,2,aa,14
37839,1,50,2,aa,4
38324,2,64,1,aa,58
38421,1,19,1,aa,4
38514,2,44,1,aa,51
38681,1,50,2,aa,58
38708,1,59,2,aa,58
41062,1,57,1,aa,52
41109,1,48,2,aa,29
41304,1,50,1,aa,5
42350,2,21,1,aa,5
45720,1,64,1,aa,58
46288,1,64,1,aa,5
46736,1,63,1,aa,39
47238,1,42,1,aa,58
47249,1,51,2,aa,14
47376,1,51,2,aa,6
47908,2,21,1,aa,58
48111,2,66,1,aa,5
48275,1,66,2,aa,58
49268,2,83,2,aa,43
49375,2,39,2,aa,43
49635,1,75,2,aa,14
50254,2,56,2,aa,6
50386,1,66,2,aa,14
50608,1,47,2,aa,6
50989,1,70,2,aa,14
51266,2,70,2,aa,15
51848,2,42,1,aa,38
52014,1,66,1,aa,55
52084,1,46,1,aa,34
52578,1,77,1,aa,13
55525,2,35,1,aa,5
56328,1,17,1,aa,42
56330,1,35,1,aa,49
56358,2,59,1,aa,35
56429,2,41,1,aa,49
56533,1,40,2,aa,14
56712,1,60,2,aa,35
57110,2,32,2,aa,42
57308,1,71,1,aa,14
59938,2,71,2,aa,43
