B27,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
aa,1,1,77,3,101
aa,1,1,69,2,19
aa,1,1,47,4,101
aa,1,5,37,4,26
aa,1,5,38,4,101
aa,1,1,89,2,35
aa,1,5,43,4,101
aa,1,5,41,4,56
aa,1,1,14,4,101
aa,1,6,65,1,77
aa,1,1,76,2,101
aa,1,1,82,2,81
aa,1,1,89,3,101
aa,1,1,50,4,96
aa,1,5,40,4,101
aa,1,1,65,2,100
aa,1,5,45,2,101
aa,1,5,62,2,101
aa,1,4,69,1,101
aa,1,5,67,4,101
aa,1,4,18,3,101
aa,1,2,44,1,101
aa,1,7,42,1,101
aa,1,1,11,3,101
aa,1,7,53,4,101
aa,1,7,18,2,101
aa,1,2,41,3,101
aa,1,6,64,4,101
aa,1,2,20,1,101
aa,1,4,20,1,101
aa,1,2,75,3,101
aa,1,2,20,2,101
aa,1,6,64,4,101
aa,1,3,79,4,101
aa,1,7,41,1,101
aa,1,4,41,2,101
aa,1,2,18,3,101
aa,1,5,41,3,101
aa,1,7,30,2,101
aa,1,3,83,4,101
aa,1,3,67,4,101
aa,1,5,36,3,101
aa,1,6,83,2,101
aa,1,6,53,4,101
aa,1,3,40,4,101
aa,1,3,54,1,101
aa,1,5,79,4,101
aa,1,7,70,2,101
aa,1,7,59,2,101
aa,1,3,49,4,101
aa,1,3,49,4,101
aa,1,2,41,3,101
aa,1,3,39,3,101
aa,1,5,66,1,101
aa,1,4,70,1,101
aa,1,5,67,4,101
aa,1,5,66,4,101
aa,1,7,30,2,101
aa,1,7,44,1,101
aa,1,3,21,3,101
aa,1,3,39,2,101
aa,1,1,31,2,101
aa,1,3,43,4,101
aa,1,5,62,1,101
aa,1,4,18,1,101
aa,1,1,44,3,101
aa,1,3,37,4,101
aa,1,4,42,4,101
aa,1,3,87,4,101
aa,1,7,18,3,101
aa,1,2,82,4,101
aa,1,5,55,1,101
aa,1,5,18,4,101
aa,1,1,51,3,101
aa,1,5,79,1,101
aa,1,7,49,2,101
aa,1,7,30,3,101
aa,1,3,77,2,101
aa,1,5,44,4,101
aa,1,4,70,2,101
aa,1,6,75,4,101
aa,1,6,66,4,101
aa,1,3,36,3,101
aa,1,5,60,2,101
aa,1,3,67,3,101
aa,1,7,30,2,101
aa,1,3,38,1,101
aa,1,5,55,1,101
aa,1,6,41,2,101
aa,1,6,70,2,101
aa,1,3,39,1,101
aa,1,5,66,1,101
aa,1,7,18,3,101
aa,1,7,41,3,101
aa,1,3,21,3,101
aa,1,5,67,4,101
aa,1,5,44,4,101
aa,1,5,62,2,101
aa,1,2,18,3,101
aa,1,7,30,3,101
aa,1,5,45,2,101
aa,1,5,62,2,101
aa,1,1,50,3,101
aa,1,3,36,1,101
aa,1,3,20,1,101
aa,1,7,18,3,101
aa,1,5,45,1,101
aa,1,6,41,3,101
aa,1,5,67,4,101
aa,1,6,66,4,101
aa,1,7,48,4,101
aa,1,5,66,4,101
aa,1,2,35,3,101
aa,1,5,70,2,101
aa,1,7,42,1,101
aa,1,7,44,1,101
aa,1,7,49,4,101
aa,1,7,42,2,101
aa,1,2,20,2,101
aa,1,1,8,2,101
aa,1,3,93,4,101
aa,1,5,79,4,101
aa,1,4,70,1,101
aa,1,3,39,3,101
aa,1,5,69,4,101
aa,1,3,79,4,101
aa,1,4,70,2,101
aa,1,4,18,3,101
aa,1,2,54,1,101
aa,1,1,51,2,101
aa,1,3,54,3,101
aa,1,4,75,4,101
aa,1,4,18,3,101
aa,1,6,67,4,101
aa,1,5,49,3,101
aa,1,2,94,2,101
aa,1,4,20,1,101
aa,1,2,49,4,101
aa,1,5,55,1,101
aa,1,6,67,4,101
aa,1,3,37,4,101
aa,1,6,86,2,101
aa,1,6,49,4,101
aa,1,3,87,2,101
aa,1,5,55,1,101
aa,1,7,30,3,101
aa,1,5,44,1,101
aa,1,5,80,1,101
aa,1,7,82,2,101
aa,1,5,44,2,101
aa,1,4,18,1,101
aa,1,6,41,2,101
aa,1,2,65,2,101
aa,1,3,20,1,101
aa,1,5,20,1,101
aa,1,7,44,1,101
aa,1,7,80,3,101
aa,1,3,93,4,101
aa,1,7,23,2,101
aa,1,3,94,3,101
aa,1,4,18,1,101
aa,1,5,67,4,101
aa,1,7,70,2,101
aa,1,6,48,4,101
aa,1,2,58,3,101
aa,1,4,18,3,101
aa,1,5,55,1,101
aa,1,2,20,2,101
aa,1,6,44,2,101
aa,1,5,45,1,101
aa,1,7,42,2,101
aa,1,3,36,1,101
aa,1,4,70,2,101
aa,1,1,14,2,101
aa,1,5,18,1,101
aa,1,1,47,2,101
aa,1,6,64,4,101
aa,1,1,10,2,101
aa,1,2,47,2,101
aa,1,7,42,2,101
aa,1,3,18,3,101
aa,1,7,42,1,101
aa,1,3,17,1,101
aa,1,2,76,2,101
aa,1,5,47,2,101
aa,1,7,45,1,101
aa,1,5,66,4,101
aa,1,5,49,4,101
aa,1,7,45,1,101
aa,1,1,31,3,101
aa,1,5,44,4,101
aa,1,4,18,1,101
aa,1,3,36,3,101
aa,1,3,39,3,101
aa,1,5,71,3,101
aa,1,4,18,3,101
aa,1,3,35,4,101
aa,1,7,29,3,101
aa,1,3,18,1,101
aa,1,6,74,2,101
aa,1,6,64,4,101
aa,1,7,42,1,101
aa,1,5,41,2,101
aa,1,6,83,3,101
aa,1,4,75,4,101
aa,1,2,36,1,101
aa,1,4,70,2,101
aa,1,6,86,2,101
aa,1,3,41,2,101
aa,1,1,47,3,101
aa,1,5,66,4,101
aa,1,2,29,3,101
aa,1,2,16,1,101
aa,1,5,80,1,101
aa,1,2,41,1,101
aa,1,4,36,3,101
aa,1,5,66,4,101
aa,1,7,82,3,101
aa,1,2,41,4,101
aa,1,7,30,3,101
aa,1,4,18,1,101
aa,1,4,62,3,101
aa,1,5,37,3,101
aa,1,6,70,2,101
aa,1,3,68,3,101
aa,1,3,41,2,101
aa,1,2,35,3,101
aa,1,7,42,1,101
aa,1,7,27,3,101
aa,1,3,44,1,101
aa,1,3,43,4,101
aa,1,4,18,1,101
aa,1,3,78,2,101
aa,1,6,62,4,101
aa,1,7,44,1,101
aa,1,7,42,2,101
aa,1,5,62,1,101
aa,1,3,36,3,101
aa,1,2,46,1,101
aa,1,3,18,3,101
aa,1,5,21,4,101
aa,1,7,49,2,101
aa,1,3,18,3,101
aa,1,5,66,1,101
aa,1,4,69,2,101
aa,1,4,69,4,101
aa,1,7,82,2,101
aa,1,7,49,4,101
aa,1,4,27,4,101
aa,1,3,36,2,101
aa,1,6,53,4,101
aa,1,2,35,3,101
aa,1,1,49,3,118
aa,1,5,45,2,101
aa,1,5,45,2,118
aa,1,3,37,4,101
aa,1,7,41,1,120
aa,1,5,57,3,101
aa,1,5,44,1,122
aa,1,6,83,3,101
aa,1,7,54,4,124
aa,1,5,70,1,101
aa,1,5,70,1,127
aa,1,3,39,1,101
aa,1,7,41,1,136
aa,1,5,66,4,101
aa,1,3,43,2,139
aa,1,4,62,3,101
aa,1,5,70,4,140
aa,1,7,40,4,101
aa,1,6,83,3,158
aa,1,3,37,4,101
aa,1,7,42,1,158
aa,1,3,49,4,101
aa,1,6,76,4,158
aa,1,5,48,4,101
aa,1,6,52,4,158
aa,1,3,39,4,101
aa,1,3,44,1,159
aa,1,5,27,4,101
aa,1,2,41,2,159
aa,1,3,90,2,101
aa,1,5,45,2,159
