B27,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,2
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,2,4
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
aa,1,2
