EF10,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
2,2,655.7353230177644,3,27,4,72
2,2,1159.0501243705778,6,17,4,101
2,2,878.7577595674487,3,28,4,100
2,2,1128.5939774268202,6,17,1,101
2,2,363.2686200205511,2,14,4,101
2,1,1101.2779836750747,1,18,4,101
2,2,879.7273856987734,3,14,1,101
2,2,360.8601565543354,5,18,2,101
2,1,878.6945904176151,5,14,2,101
2,2,360.97002953589634,6,18,1,101
2,1,653.0829526618343,4,14,2,101
2,1,264.87304211366893,4,18,1,101
2,2,360.85856747191445,4,14,1,101
2,2,987.1552445370568,4,18,1,101
2,1,868.2215480038204,6,14,4,101
2,1,1158.5596002299562,7,18,1,101
2,1,998.6288634883496,4,15,1,101
1,2,1101.0275826157592,1,18,1,101
2,1,177.88204784607413,2,16,1,101
2,2,1328.41096535017,5,18,2,101
1,2,1131.727268290084,4,16,1,101
2,1,728.7012091909725,4,19,1,101
1,1,127.07196701247716,4,17,1,101
2,1,124.03455816537536,1,20,1,101
1,1,331.32734336457264,4,17,1,101
1,1,989.7092335607733,4,20,1,101
2,1,671.1902810734916,2,17,1,101
2,2,653.8305614216458,2,20,1,101
2,1,756.4351685577067,2,17,1,101
2,1,226.92483598695833,5,20,1,101
2,2,90.0919357285211,6,17,1,101
2,1,226.24015091167453,5,20,1,101
1,1,1135.2180238487224,7,18,1,101
1,1,670.4879723450304,4,20,4,101
1,2,893.7236864405303,5,18,3,101
1,2,878.3171621420229,2,20,1,101
2,1,331.34757369366577,6,18,3,101
1,1,246.84646063113618,7,20,1,101
1,2,1122.216447430226,6,18,4,101
2,2,1157.359504506071,7,20,3,101
1,1,145.85957339801294,6,18,3,101
1,2,893.624891963202,2,20,1,101
1,2,231.70392713532075,5,18,3,101
1,1,987.5259688634128,4,20,3,101
1,2,652.6452780726589,2,18,1,101
2,1,217.5328893002745,3,20,3,101
1,2,605.5840034884551,3,18,3,101
1,2,58.61519120681185,6,20,3,101
1,1,147.5804109645102,6,18,3,101
2,1,1132.5425449832344,5,20,1,101
2,1,1343.770060841599,4,18,3,101
2,1,864.3688056170716,7,20,1,101
2,2,755.1972661903135,3,18,3,101
1,2,225.62490339181824,5,20,1,101
2,1,23.527150214050643,5,18,3,101
1,1,990.6718153353097,4,20,3,101
1,1,687.0981387049405,5,18,1,101
2,1,174.2935223547239,6,20,3,101
1,1,586.5587652121683,3,19,1,101
1,2,1053.1353739715187,5,21,4,101
1,2,1159.890928563372,2,20,3,101
2,1,591.8676634955151,3,21,2,101
1,1,147.01855669132968,1,20,4,101
2,1,1156.5031852529578,2,21,2,101
1,2,1131.654850249123,3,20,3,101
1,1,1132.5193987955622,1,21,4,101
2,2,1147.870840012077,2,20,2,101
1,2,1052.6322190281298,1,21,3,101
1,2,125.27871166060145,3,20,2,101
1,1,61.394851607848146,3,21,3,101
2,2,1054.381282101382,6,20,3,101
2,1,1158.5201659887707,3,21,3,101
2,2,1218.8412826257081,2,20,3,101
2,1,1145.8653936423827,2,21,3,101
1,1,1053.6749177417012,3,20,3,101
1,1,216.94675935374747,3,21,4,101
1,2,1121.610820547642,3,20,2,101
1,2,671.8268955493965,2,21,3,101
1,2,1052.071302241566,6,20,3,101
1,2,128.6849722603639,3,21,3,101
1,2,1141.7669909433,5,20,3,101
2,2,127.05183725833705,2,21,3,101
1,2,126.68781291171176,3,20,4,101
1,2,217.1715316082797,3,21,3,101
1,2,133.44460277484865,3,21,3,101
2,2,879.0624794372724,3,21,2,101
1,2,613.7945531083756,6,21,4,101
1,2,360.31024587061444,4,22,2,101
2,2,645.2950474300354,5,21,2,101
1,2,800.3470720025625,7,22,2,101
1,2,681.3458249397233,7,21,4,101
1,1,429.38802242140304,6,22,4,101
2,1,429.0704757399863,7,24,3,101
2,2,892.3729211759506,3,22,2,101
1,1,1157.2397929919866,7,24,3,101
2,2,124.6998639293294,3,24,3,101
1,2,144.33223965581138,4,24,4,101
1,2,1283.1864841230977,4,24,4,101
1,2,1292.5680712514177,5,25,3,101
1,1,744.5266549179701,4,24,4,101
1,2,333.3644241204155,6,25,4,101
1,2,20.899977402072576,4,24,2,101
1,1,1219.2723068529224,2,27,4,101
1,1,256.30335282608337,2,24,2,101
1,2,893.1453766528045,3,29,2,101
1,1,1263.0201604423428,1,24,2,101
1,2,340.86056257578747,6,29,4,101
2,2,124.4842196445041,6,24,3,101
2,1,932.765839302798,6,29,3,101
2,1,107.48526579731246,6,25,3,101
1,1,1159.7600500182016,5,30,2,101
2,2,1156.798254335505,1,25,1,101
1,1,1156.1814258908362,1,30,2,101
2,2,224.41434336940458,3,25,3,101
1,1,1219.2673739975726,1,30,2,101
2,1,847.8976257108654,4,26,3,101
1,2,1195.635262717995,4,30,2,101
1,1,1130.4406608341565,7,27,2,101
2,2,228.72894217757107,5,30,1,101
2,2,104.60382861897168,1,27,1,101
2,1,243.9945817081568,7,30,3,101
1,1,84.1176897768992,6,27,2,101
1,2,1089.7630754678821,1,30,2,101
1,1,743.7211146897463,4,28,2,101
2,1,160.76595723590071,6,30,3,101
1,2,1227.870044281431,6,28,2,101
1,2,735.3394016310637,4,30,2,101
2,2,389.02897300635544,4,29,1,101
2,1,1294.491067996835,5,26,4,110
2,1,380.567645508046,3,29,4,101
2,1,361.37303147215755,6,27,4,121
2,2,734.011278003403,4,29,3,101
2,2,305.92265453200827,2,30,3,131
2,1,861.6003729949083,7,30,3,101
2,2,1159.2339890765495,7,16,4,146
2,1,759.7860518055595,4,30,4,101
2,1,1158.7643392578796,2,29,4,158
2,2,862.3422320260395,2,30,3,101
2,1,723.7461521101416,7,27,4,159
2,2,672.0959151482515,5,30,3,101
2,2,1340.6320978343358,5,29,3,227
2,2,1207.6080980203433,6,30,3,101
2,2,224.35316432727709,3,16,3,239
2,2,292.6948335388628,2,31,3,101
2,2,1140.6528940926978,5,32,4,101
2,1,1094.7802319072512,6,32,4,101
2,2,1091.4901200276151,6,32,2,101
2,1,988.2874947704348,2,33,2,101
2,2,276.3191540373831,6,32,2,101
2,1,273.601694373624,6,34,1,101
2,1,1109.9757971151644,6,32,4,101
1,2,1202.3625021359555,5,35,1,101
2,2,1219.594012735405,1,32,2,101
2,2,837.9173207031472,2,35,2,101
2,2,45.85557339144661,2,32,2,101
2,2,46.33860969361949,2,35,4,101
2,1,431.69675892027163,6,33,2,101
2,1,177.66076324419734,2,35,2,101
1,1,133.33969594869228,2,33,2,101
2,1,46.502545643611455,3,35,4,101
2,1,1089.3445423118756,3,33,2,101
2,2,1193.0568045670216,4,36,2,101
1,2,395.67905308018027,5,34,2,101
1,2,1119.923365870034,3,36,2,101
2,2,47.98034868063588,5,34,2,101
2,1,1229.3532888355162,5,36,2,101
2,1,386.6363306568719,6,35,4,101
2,1,60.8297575076242,5,37,3,101
2,2,1192.640449750395,5,35,4,101
2,2,1143.7073075345909,5,37,1,101
2,2,776.5831770826273,2,35,2,101
2,1,1157.5778929804744,3,38,4,101
2,2,625.7278147380166,3,35,4,101
2,1,826.3590996917725,2,39,1,101
2,1,1157.101838210507,3,35,4,101
1,2,1140.3006745737969,5,39,2,101
1,1,1077.5865028254468,3,36,2,101
1,1,1143.4257253510068,5,39,3,101
1,2,1132.1941512374467,3,36,3,101
2,1,1141.736202900896,1,39,4,101
1,2,126.66837494050547,1,36,3,101
1,2,821.6116071279388,2,40,3,101
1,1,947.0621567631603,7,36,3,101
1,2,1156.2120566701883,3,40,1,101
1,1,86.70138470169802,2,36,3,101
1,2,797.2962933708875,4,40,2,101
2,1,86.53311335806453,5,37,4,101
2,2,80.31540135038811,3,40,3,101
1,1,730.1268956586047,2,39,3,101
2,1,1245.1991050361453,5,40,3,101
2,2,149.8925563119114,2,39,3,101
1,2,445.999731883676,6,40,3,101
1,1,128.18426169695962,7,39,3,101
1,2,462.2641578444834,6,40,1,101
1,1,731.4118256573312,2,39,3,101
2,2,704.5033669612161,1,41,4,101
1,2,827.9856408086641,6,39,1,101
1,1,412.123232576696,6,41,2,101
2,1,110.07119545858377,4,40,2,101
2,2,177.44093116441783,4,41,2,101
2,1,716.5999530864947,1,40,2,101
2,1,722.129107960965,2,41,2,101
2,2,717.0900315978687,2,40,2,101
2,2,1156.8269921356832,3,41,1,101
1,1,364.91384957528743,2,40,2,101
1,2,717.6114994999436,6,41,2,101
2,1,411.24644378889354,2,41,2,101
1,2,1074.2671686820306,2,41,2,101
2,1,553.9656522011404,7,41,1,101
1,1,1075.076629027636,2,41,2,101
1,1,174.9571594515312,1,41,2,101
2,1,179.4738202362084,1,41,2,101
2,1,530.8042666919561,7,41,2,101
1,1,1194.2628493060515,3,41,2,101
1,1,1142.1713008076233,5,41,2,101
1,1,819.0090972526981,3,42,2,101
1,2,487.35157326983034,7,41,2,101
1,1,723.3304657411212,3,42,2,101
2,1,778.5295468983052,2,41,1,101
2,1,674.4271054263612,7,42,2,101
1,2,655.7927244487527,2,42,4,101
1,1,293.34056278514095,7,42,4,101
1,1,670.6480812091368,3,42,4,101
1,2,988.9252252162336,5,42,4,101
2,1,408.29549032398785,3,43,1,101
2,1,1228.1781632305324,4,42,1,101
1,1,68.9316150428493,6,43,4,101
1,1,727.401228463982,5,42,4,101
1,1,654.2597242262771,2,43,4,101
1,1,1229.4489055859951,4,42,4,101
1,2,681.001944916197,5,43,4,101
2,1,1194.4609252118164,5,43,1,101
1,1,1140.1130980852886,5,43,4,101
1,1,176.20123918804057,7,43,4,101
2,1,179.26132437772657,5,43,1,101
1,2,1128.177693338803,1,43,4,101
2,1,176.20798675762097,2,44,3,101
1,2,124.03995670476058,3,44,3,101
2,2,204.88178586264263,1,44,2,101
1,1,61.68430992788601,3,44,3,101
2,1,172.008095693716,1,44,3,101
2,1,1043.2158709439775,5,44,3,101
1,1,78.74917072322512,7,44,3,101
2,1,63.13904608605536,3,44,3,101
2,1,70.9703955071869,7,44,1,101
2,2,724.6176046219774,1,44,2,101
2,2,724.5355105441593,1,44,3,101
2,2,178.9644755482073,7,44,3,101
2,2,718.7018537278547,7,45,3,101
2,2,716.3067295117953,1,44,2,101
2,2,906.4560669677061,6,45,2,101
2,1,386.20686628024066,2,45,3,101
2,2,591.3065921408331,7,45,2,101
2,1,710.3378332212163,2,45,3,101
2,1,1143.53034657574,1,45,1,101
2,1,44.21822284760008,7,45,3,101
1,1,1217.4557270382693,3,46,1,101
1,1,670.1588714637701,2,45,1,101
2,1,293.46905673097,5,46,2,101
1,1,1128.0589384762002,5,46,1,101
2,1,678.8521637990032,2,46,2,101
1,1,46.76051549694422,2,46,1,101
1,1,818.931321862238,2,46,1,101
1,1,562.789978027344,5,46,1,101
1,1,470.8954141729522,5,47,3,101
1,2,243.75203089806092,4,46,3,101
1,2,179.56798644931763,5,47,3,101
1,2,540.9511727896228,5,46,1,101
1,2,1021.8634564574777,2,47,1,101
1,1,292.1953670117571,5,46,1,101
1,1,1078.4396882219867,3,47,1,101
1,1,1159.2620563679154,1,46,1,101
1,1,919.8216718609947,1,47,1,101
1,2,47.392085413885766,2,46,3,101
1,1,687.0389457331239,5,34,1,139
1,1,1195.494245268414,5,46,1,101
1,2,862.8735859665807,5,37,3,148
1,2,878.3475857209448,2,47,3,101
1,2,1140.771590385911,5,47,3,158
2,1,839.5025658747697,2,47,3,101
2,2,671.88604807446,5,44,1,188
2,1,554.7295003243113,5,47,3,101
1,1,258.5137497826224,6,48,4,101
1,1,849.3557045795865,1,49,4,101
2,2,877.6401648160382,7,49,4,101
1,1,293.80009214909717,6,49,4,101
2,2,731.7405892224034,3,49,4,101
2,2,1195.333484227726,7,49,1,101
1,1,670.1643465045493,2,49,4,101
2,1,986.747585501413,7,49,4,101
2,2,705.8590566109059,1,49,1,101
2,1,558.0056315562645,5,50,4,101
2,2,46.76679575327174,4,49,2,101
2,1,849.9394920579401,5,50,2,101
2,2,1128.442152508878,3,49,4,101
1,1,338.9912288516904,5,50,4,101
1,1,851.9522612639536,5,49,4,101
2,2,823.4985161929494,3,51,1,101
1,1,1156.4805436755905,3,49,4,101
2,2,332.66394246912154,1,51,2,101
2,1,349.8432223138038,7,49,2,101
2,1,346.70886954094544,2,51,2,101
2,1,718.9117453834147,1,50,2,101
2,1,717.3447431764025,5,51,1,101
2,1,293.62656183916596,3,50,1,101
1,1,831.9245311782079,7,52,4,101
1,1,216.69554212828157,3,50,4,101
2,2,822.3412111522351,6,52,2,101
2,2,135.5873193543437,4,50,2,101
2,2,1243.5212573039505,2,52,2,101
2,2,1192.652294273089,2,51,4,101
1,2,151.84026810140293,1,52,2,101
2,2,845.5395427818612,6,51,2,101
1,2,1232.9751041610257,2,52,2,101
2,2,844.9033733704063,3,51,1,101
1,2,108.58378999899051,6,52,2,101
1,2,1159.8208591353625,3,51,4,101
2,2,308.4029045457342,6,53,2,101
2,2,459.8846375915184,6,51,4,101
2,1,105.34263588418919,4,53,1,101
1,2,332.8122018209847,1,51,4,101
1,1,485.6168677372851,6,53,1,101
2,2,374.5927607923133,1,52,4,101
1,1,337.5429002000081,5,53,2,101
1,2,1144.3127782560193,5,52,1,101
1,2,272.57809885519146,6,53,1,101
1,1,105.21479844261135,3,52,2,101
1,1,1141.0314877188857,5,53,1,101
1,1,343.9928377795949,4,52,1,101
1,1,487.81076426661514,5,53,1,101
2,1,44.6033694006664,2,53,4,101
1,2,367.67061706078795,1,54,1,101
1,1,364.60638193396073,1,53,1,101
2,2,292.6497491996086,6,54,2,101
1,2,461.1283791991211,4,53,2,101
1,2,284.279271298852,6,54,1,101
1,2,1075.4762862065797,3,53,2,101
1,1,80.49675058936425,4,54,1,101
1,2,366.9577755999912,1,53,1,101
1,2,367.628743367878,1,54,1,101
1,2,151.87701506456511,6,53,1,101
2,1,1118.3767313951523,3,54,3,101
2,1,1141.19582049274,3,54,4,101
2,1,966.1155715933966,6,54,4,101
1,1,282.53997709513715,6,54,1,101
2,2,87.82101629111456,3,54,4,101
2,1,585.9392334554434,7,54,4,101
1,1,529.320407598613,7,55,1,101
2,2,531.9933544904052,7,55,3,101
1,2,568.5609769893719,5,55,1,101
2,2,551.1386960013535,7,53,4,192
2,1,550.3318380647644,6,55,4,101
2,2,1039.51791421084,4,56,1,101
2,1,1038.7305147887557,4,56,4,101
2,1,1039.985518160632,4,57,1,101
1,1,670.6513376012831,1,57,2,101
2,2,670.9163712630719,1,57,4,101
1,1,585.2647429548977,4,57,2,101
2,1,71.63322164356552,7,58,1,101
2,2,767.9665750237061,1,58,3,101
2,2,63.0892333180678,7,58,1,101
2,1,910.8741737551201,1,58,4,101
2,2,46.63027542764096,7,58,3,101
2,2,47.57425282555851,7,58,4,101
1,2,887.1635560953442,3,58,2,212
1,2,1192.176233705218,4,58,2,101
1,2,531.6201068952009,7,59,4,101
2,2,588.4467211935377,3,59,1,101
1,2,988.1584932353911,5,59,4,101
2,1,72.3920024643386,7,59,4,101
1,2,1149.5642594025283,3,59,1,101
2,1,45.451377751054366,7,59,1,101
1,2,61.06197946694899,3,59,1,101
2,2,47.56149138452823,7,59,3,101
2,2,967.5742384076015,6,59,4,101
1,2,73.06772131260365,7,59,4,101
1,1,216.18635600848395,3,59,3,101
2,2,216.18635600848395,3,59,3,101
1,1,779.6375519363935,1,63,2,98
1,2,671.6919174956647,1,60,2,101
1,2,910.4567222782197,1,60,1,101
2,2,332.1285758979591,1,60,4,101
1,2,1057.072941636766,1,60,3,101
2,2,1045.1177314320648,1,60,3,101
2,2,1063.7447796089816,1,60,4,101
1,2,1129.5790600889186,7,60,1,101
1,2,909.8767198585169,1,60,1,101
1,1,909.5754642296065,1,60,1,101
2,2,367.7508186792305,1,60,3,101
2,2,547.2976937833295,6,60,1,101
1,2,362.3493904710274,1,60,3,101
2,2,1039.363404185475,2,60,2,101
2,2,587.5574929806405,2,60,3,101
1,2,1059.8743517819717,1,60,1,101
1,1,723.1873490042879,2,62,3,101
2,1,1040.024472924303,1,60,4,101
1,1,1043.4429022068368,1,62,4,101
2,2,1042.588301965057,1,60,2,101
2,2,1260.6325569806506,1,62,2,101
2,2,1047.6182401910528,1,60,2,101
1,1,1074.3483688232827,2,62,3,101
2,1,173.07234101517173,1,60,2,101
2,2,1045.4461936733678,1,62,4,101
2,2,553.1816403567783,5,60,2,101
1,2,201.42112516191978,4,62,3,101
2,1,966.0872664930074,4,62,2,101
2,2,1215.7868962082719,2,62,2,101
2,1,1192.3912330676212,2,62,2,101
1,1,502.2882348446422,5,63,4,101
1,1,988.0982251876186,6,62,4,101
1,2,362.04556128398144,5,63,3,101
1,1,707.2173811615502,6,62,4,101
1,2,854.9539709347508,2,63,3,101
1,1,1043.2814165935363,1,62,4,101
1,1,856.2578750792143,4,63,3,101
1,2,1215.7868962082719,2,62,2,101
1,2,45.55433908230063,5,63,2,101
