LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
3,2,204.4610030080337,6,14,3,101
3,2,45.4715676816451,5,14,3,101
3,1,1073.3261587200643,6,14,1,101
3,1,1104.4218963464996,7,14,1,101
3,2,217.21339500850084,6,14,3,101
3,2,562.789978027344,7,14,1,101
3,2,81.74297374611633,2,14,1,101
4,2,259.6135296981539,6,14,1,101
4,2,161.94255458679902,6,14,1,101
3,2,1109.8838030810905,4,14,1,101
3,2,110.70762168201185,6,14,3,101
4,2,293.8747009202065,2,14,1,101
3,1,292.87089189505497,4,15,3,101
4,1,1270.2320027923486,1,14,2,101
2,1,341.2742595083313,5,16,1,101
3,1,716.2227730870037,4,14,1,101
1,2,1132.6072034742174,1,17,1,101
2,1,216.30812803524051,3,14,3,101
4,2,850.5828083913804,3,17,1,101
1,1,1315.4608508985611,5,15,1,101
3,1,1126.0485157746614,6,17,1,101
3,1,497.5145927507936,5,15,1,101
1,2,585.0896479412465,6,17,2,101
4,2,411.2160639941295,4,16,1,101
5,2,160.35373988650264,6,17,1,101
1,1,1314.8474939521252,4,17,1,101
1,1,688.6308400957273,5,17,4,101
1,2,866.3469516809179,2,17,2,101
1,1,1330.373250133462,1,17,4,101
5,1,1038.3842548012806,2,17,2,101
5,1,590.0884188159791,4,18,3,101
5,2,384.02471277999183,4,18,1,101
1,2,892.7102798545578,7,18,4,101
2,2,893.6522849792586,7,18,3,101
5,1,1051.1688475472233,5,18,3,101
4,1,115.69869781648087,2,18,3,101
2,1,104.15539546511843,3,18,1,101
1,2,833.8501087644804,5,18,3,101
4,1,80.4253014790483,6,18,3,101
5,1,124.15416477841845,1,18,3,101
5,1,45.34544493290386,5,18,3,101
5,2,853.8993691883306,2,18,1,101
2,1,1038.5375783413883,2,18,3,101
1,1,1156.7118937423943,7,18,4,101
1,2,692.677040061154,4,18,2,101
4,1,892.7913132264403,3,18,4,101
5,1,855.4091279772031,2,19,2,101
4,1,1039.9672889815718,2,18,3,101
1,2,135.9311301121989,4,20,3,101
3,2,156.37016646647268,1,19,3,101
3,2,1077.427341512141,2,20,1,101
5,2,819.6700628176845,4,19,2,101
1,1,893.9647199737572,4,20,4,101
2,1,868.8480607400064,5,20,3,101
3,1,877.0059274328594,3,20,3,101
2,2,1037.4893691631094,2,20,3,101
1,1,1279.0364483219373,1,20,2,101
1,2,307.3052025889841,6,20,3,101
3,2,1341.7287066079343,5,20,4,101
3,1,216.3575028128308,5,20,1,101
1,2,823.4041322305518,7,20,4,101
3,1,1255.655373965744,7,20,4,101
1,1,132.60258969839285,6,20,2,101
3,1,964.4061106555869,5,20,1,101
3,1,723.5690056452291,4,20,3,101
3,2,384.01888136243485,2,20,4,101
1,1,1076.161691045068,2,20,2,101
1,1,171.3756882191306,7,20,1,101
1,1,1073.0758824018483,2,20,3,101
1,1,134.2489974853208,4,20,3,101
3,2,1329.1832061740158,4,20,4,101
5,2,292.6853623280702,5,20,3,101
4,2,125.53215355952608,2,20,1,101
3,2,1340.7001435664176,5,20,3,101
3,2,1132.5934913050144,3,20,2,101
3,2,717.1921641117776,2,21,3,101
4,2,217.87443155460826,3,21,1,101
4,2,57.079947091476825,5,21,4,101
2,2,1273.754983243379,1,21,4,101
1,2,758.3011173836593,6,21,2,101
4,2,832.7951728555914,2,21,2,101
4,2,1129.2571579595087,5,21,2,101
3,2,217.48360124590647,3,21,1,101
1,2,485.7183806268106,5,21,4,101
3,2,80.88969088062635,6,21,3,101
1,2,680.1345918508622,3,21,3,101
2,1,134.34744164548553,6,22,3,101
4,2,864.8880072783667,5,24,1,101
4,2,892.4424233940704,3,24,1,101
4,2,292.15544877642884,3,24,4,101
4,1,235.8287275674472,3,24,4,101
4,1,822.7407408975272,3,24,3,101
4,1,1061.5485856523433,4,24,4,101
4,2,336.1142556388527,2,24,4,101
4,2,216.42921912700996,3,24,4,101
4,1,1123.6120757787385,1,25,4,101
4,2,216.4172687349919,3,25,4,101
4,2,239.68290078447302,3,25,4,101
2,1,1120.5439241485053,1,26,4,101
2,1,1058.4924738852255,7,26,4,101
2,1,967.7863915016637,5,26,2,101
2,2,265.77837086353907,6,28,4,101
2,2,1192.7564343727108,4,26,4,101
2,2,200.48872315833174,3,28,4,101
2,2,562.789978027344,4,27,2,101
2,2,1133.357657878017,5,29,3,101
3,2,878.0736855113638,5,27,2,101
2,2,1140.272499468114,5,29,4,101
4,2,641.7242330413168,3,29,3,101
3,2,259.3470008318208,6,29,3,101
2,1,1157.9749899393848,6,29,2,101
3,2,670.812024997266,2,30,4,101
2,1,1140.5750209809048,3,29,2,101
3,1,278.1226106318231,6,30,3,101
3,1,1135.7558023351828,1,30,3,101
4,1,838.8112460995083,4,30,3,101
3,2,1057.0641230805875,2,30,3,101
3,1,201.20068059922303,5,30,3,101
3,1,562.789978027344,5,30,1,101
3,1,256.45749826510536,6,30,3,101
3,1,717.1291153973073,2,30,1,101
4,1,823.1442442127533,6,30,3,101
4,2,1060.4270345910886,2,30,2,101
4,1,1225.4347745508192,6,30,3,101
4,1,653.9728597366549,6,30,3,101
4,1,640.4456537767489,4,25,3,143
3,2,283.7686439614762,2,30,3,101
3,2,177.79244275335014,1,20,2,149
3,1,127.04937219083938,3,30,2,101
4,2,390.11964703396825,4,25,3,159
5,1,108.17599049347696,3,30,3,129
5,1,1210.6217102803614,7,29,3,159
5,1,201.1104663450218,7,17,3,158
5,1,1141.4712074596325,1,29,2,169
4,2,1157.9665156941555,7,24,3,159
5,2,764.0215314316483,4,30,1,187
5,1,1225.849283069958,6,26,3,184
5,2,735.4329881001042,3,20,3,190
4,2,229.4275279065451,3,30,3,191
4,2,671.2430669648284,3,24,3,233
4,2,292.78079437307434,6,28,1,213
4,2,562.789978027344,5,20,1,249
3,1,241.2058895897491,2,32,4,101
5,2,1128.2452389336452,1,32,1,101
5,2,411.0799854759957,6,32,2,101
3,1,671.7849643224748,2,32,1,101
3,2,1277.525921113926,3,32,2,101
5,1,1277.525921113926,3,32,2,101
5,1,116.05703021432359,1,32,3,101
5,1,413.65920336017723,6,32,2,101
5,1,245.74465990539917,2,33,3,101
1,1,411.4440401600683,6,32,2,101
1,1,1159.3821950089489,3,34,3,101
1,1,484.77341220142705,7,32,1,101
1,2,484.5977908616569,6,34,3,101
1,2,1159.3821950089489,3,32,3,101
3,2,685.913597675876,2,35,2,101
3,2,1226.9070820286106,5,32,4,101
1,1,1141.7583695309002,5,35,3,101
3,1,731.2950933792556,1,33,1,101
5,2,1141.4774171982333,1,35,2,101
1,2,1193.4240230223397,4,35,1,101
1,2,346.8232328073162,1,35,4,101
3,2,391.7334463661477,7,35,4,101
3,2,484.23774975713656,7,35,4,101
2,2,653.0959471151234,2,35,2,101
