EF41,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
14,1,822.2969419605369,7,1,101
14,1,238.46008071160043,4,1,101
14,2,765.5409667660538,7,1,101
14,2,217.0495805383174,3,1,101
14,1,1135.0406184525093,6,1,101
14,2,371.5679255082519,2,1,101
14,2,893.1898399620072,2,1,101
14,2,892.8043640545311,3,1,101
14,1,1132.6162895805417,6,1,101
14,1,838.1297018444791,4,1,101
16,2,796.6416959196998,3,3,101
14,2,1283.3382741176872,5,1,101
17,1,893.3620646807668,3,3,101
15,1,148.67832838487655,5,3,101
17,2,412.2199930487366,3,3,101
15,2,1128.6720030758233,5,3,101
17,2,869.795484100985,6,3,101
16,2,967.9152772365361,7,1,101
17,1,1049.7240880617317,6,1,101
16,1,692.1793016659743,2,1,101
18,2,892.6228025020071,3,1,101
17,1,587.8477625030055,2,2,101
18,2,672.7113823429465,3,1,101
17,1,87.38227169841676,5,1,101
18,1,893.2473997881366,4,1,101
17,1,228.8750839450566,2,1,101
18,1,68.35653972629865,4,2,101
18,2,1117.9521165131248,1,3,101
18,2,147.47344191747072,1,4,101
18,1,893.162063713375,4,4,101
18,1,1295.093650205408,5,2,101
18,1,1275.4531430061954,7,3,101
18,1,46.56602658008794,6,3,101
18,2,1103.996782907882,4,2,101
18,2,864.4501001580363,2,3,101
18,1,217.11261180082772,2,4,101
19,1,45.03546996253887,5,3,101
18,2,86.38208870972619,3,3,101
19,2,156.6599347520443,6,4,101
18,2,1128.411647364825,1,3,101
20,1,68.2269336941895,6,4,101
18,2,149.30430727075165,3,3,101
20,1,44.91028656422353,4,2,101
18,2,671.9564269117756,3,2,101
20,2,70.4087408855593,3,4,101
18,2,152.5847877921981,1,3,101
20,1,858.6009521400047,2,2,101
18,1,292.6298677345697,2,4,101
20,1,147.71288795196253,4,3,101
19,1,150.58685387457177,1,2,101
20,2,1118.194188819071,1,3,101
20,2,655.0079422235093,4,3,101
20,1,1157.4210716892278,6,3,101
20,1,1158.3091840086186,4,2,101
20,2,242.47701628826985,5,3,101
20,1,1275.3105544964315,5,1,101
20,1,108.58299882984687,3,3,101
20,2,1134.9808262282313,1,3,101
