EF16U2,TAETIGKEITSSCHLUESSEL4,B52
6,2,1059.191997228311
6,2,1072.9006139421147
6,2,1038.8825394837847
6,2,1076.709672732255
6,2,1079.179472364311
6,2,1036.1432547945756
6,2,1038.4179316875147
6,2,1037.4341317662067
6,2,1256.7259044643733
6,2,1263.9663446237619
6,2,1157.851828795334
6,2,1157.227082105535
6,2,1276.8228877591746
6,2,1272.60538113037
7,2,1150.6081917523338
7,2,1149.0262315619373
7,2,1128.8961996129456
7,2,1134.2183372167317
7,2,1124.532528393279
7,2,1127.8083452723122
7,2,1122.4074509190757
7,2,1125.4318116164786
7,2,1126.0854503034411
7,2,1122.266683549852
7,2,1126.8319300135609
4,2,1267.776965577223
4,2,1271.6070610415427
4,2,1269.5689697500568
4,2,1269.815207459064
4,2,1265.8222342633437
4,2,1270.9778827997902
4,2,1268.192721946255
4,2,1156.8536457700957
4,2,1210.11081966001
4,2,1211.0522468082966
4,2,1259.8266436312406
4,2,1159.586662886299
4,2,1266.4753374804457
4,2,1038.0316558753188
4,2,1037.4759880220067
4,2,1063.1609117561418
5,2,1037.4538472911995
5,2,1129.9974052494863
5,2,1132.4338114107818
5,2,1129.1461567936115
5,2,1149.5331127895608
5,2,1302.846148669863
5,2,1341.2054186501005
5,2,1340.5353033211013
5,2,1342.6934857660117
5,2,1292.2136831725254
4,2,345.2550739356322
4,2,349.6359204226642
4,2,345.50837859707445
4,2,335.9890474627945
4,2,329.8422197057048
4,2,409.14156793289004
4,2,398.888914823006
4,2,415.0840501748211
4,2,397.2879562196417
4,2,384.53960225155936
4,2,393.5727628863352
4,2,410.7107613723181
4,2,398.69582932113866
5,2,202.8889214939889
5,2,144.5699688106436
5,2,145.6506130573726
5,2,244.42955479367106
5,2,246.86738950213498
5,2,245.1796037648414
5,2,245.64112383015703
5,2,247.53950538637665
5,2,168.5506063475407
5,2,168.71198802042272
5,2,200.79705032762175
4,2,59.33714771117588
4,2,45.61133715805841
4,2,61.45585043969824
4,2,62.406362152579746
4,2,60.59306819481222
4,2,108.58050714038379
4,2,109.8746451163362
4,2,80.78519353516099
4,2,127.46924854433662
4,2,127.94381996007155
4,2,81.37732556821875
4,2,88.60359634302534
5,2,502.1198272495355
5,2,460.11224192502607
5,2,460.18396790683596
5,2,500.0762991619958
5,2,499.3107550199274
5,2,350.599060355935
5,2,379.0885296120239
5,2,381.2254700397802
5,2,337.4958664150636
5,2,336.50765922623737
5,2,334.6985093200929
5,2,283.08967055960824
5,2,287.6065552089525
5,2,360.55372621989005
5,2,363.95241135535997
6,2,171.38841678858344
6,2,207.61653086935775
6,2,205.25146142427263
6,2,173.65025406917962
6,2,173.2078509980269
6,2,171.0681200313862
6,2,31.59792546560081
6,2,116.41447709979357
6,2,104.52013941240617
6,2,105.60221250738384
6,2,25.514111141706667
6,2,58.54830852377259
6,2,382.92351807992674
6,2,381.0775570496363
6,2,370.7671225780603
6,2,376.24617129439554
6,2,372.798497711709
6,2,379.87346610666026
6,2,379.041177215857
6,2,375.5447099818443
6,2,383.91537201828777
6,2,372.1843956298013
6,2,373.5368432822794
6,2,382.8035219701274
6,2,484.0024369392364
6,2,485.8043772115418
6,2,485.8074068733122
6,2,486.8323167637357
6,2,486.36548282058715
6,2,487.8023902368194
6,2,486.59159519628986
6,2,487.7987261258343
7,2,63.10054215571241
7,2,62.38389894467631
7,2,61.380713116461536
7,2,58.71655467512737
7,2,56.725012950152234
7,2,47.47195861642526
7,2,148.59481879760196
7,2,56.585991130656105
7,2,114.59976506298942
7,2,216.10369924991963
7,2,45.58643023449063
7,2,146.78335736321537
7,2,200.17890642567824
7,2,502.4506567358949
7,2,498.87915225110794
7,2,502.374633588051
7,2,498.8226468354015
7,2,503.7344823912608
7,2,497.2658006957106
7,2,501.9506541921326
7,2,498.95147750194667
7,2,501.9996135347872
7,2,500.04812741316
7,2,340.6187011924953
7,2,276.51336358090373
7,2,280.2474642799557
7,2,287.312700649952
7,2,340.50696280742125
7,2,339.53746578734865
7,2,342.9630766207214
4,2,741.6538447739244
4,2,711.9820255892065
4,2,756.0977716734386
4,2,765.0861188995531
4,2,766.9310557295132
4,2,723.2290084986826
4,2,731.3933789111335
5,2,892.0766009599478
5,2,876.0129406273628
5,2,776.6522813815378
5,2,787.730588924011
5,2,777.5150904412233
5,2,779.1208112623902
5,2,796.9360859928835
5,2,782.6306853572062
5,2,787.4364237075691
5,2,926.5920173972434
5,2,933.4970268907622
5,2,986.1864253288529
5,2,967.441766890756
5,2,966.5678266418964
