EF16U2,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
6,2,1075.191997228311,3
6,2,1079.9763533184343,3
6,2,1075.4935699365697,3
6,2,1055.179472364311,3
6,2,1053.8141709045933,3
7,2,1135.8594424169708,2
7,2,1156.3629522321867,3
7,2,1256.8016511969488,2
6,2,1133.289586654428,3
6,2,1194.4114438795873,3
7,2,1157.9244656253363,3
6,2,1038.3297972651771,2
6,2,1201.7923992258911,3
6,2,1253.6913982252015,3
7,2,1251.2894599681106,2
6,2,1130.4074509190757,3
6,2,1207.6238679034254,3
7,2,1135.277973137692,3
7,2,1054.8319300135609,3
4,2,1192.3853947846167,2
4,2,1158.850784724105,2
4,2,1038.907603729532,2
5,2,1036.710770316475,3
5,2,1040.2174800356102,2
4,2,1129.7072915401916,2
4,2,1332.3757542789372,3
5,2,1268.8322119356044,3
5,2,1047.173325772598,2
5,2,1158.0186427789506,3
5,2,1156.3927381111596,2
5,2,1135.1609117561418,3
4,2,1098.2717134785485,1
4,2,1036.9488864141513,1
5,2,1140.5730783968056,1
4,2,1251.56312080716,1
4,2,1228.472618413166,1
4,2,1129.0706066422026,1
4,2,1143.1275615890008,1
4,2,1046.4360509448509,1
4,2,1038.817960211332,1
5,2,1157.7033681029102,1
6,2,1193.46771843842,1
6,2,1249.14156793289,1
6,2,1256.9623339042896,1
6,2,1261.7809870027756,1
4,2,392.53960225155936,4
4,2,331.7104977514851,4
4,2,333.9477598745356,4
4,2,338.8889214939889,4
4,2,339.73566690951316,4
4,2,341.43923561913283,4
4,2,398.867389502135,4
5,2,381.93780780838784,4
5,2,368.6079623599427,4
5,2,264.8097015606513,4
5,2,368.38192756640893,4
5,2,348.21987491292475,4
5,2,307.5627890578693,4
5,2,258.78988248855086,4
5,2,273.7289523952743,4
5,2,329.28811424614054,4
5,2,305.1581464673045,4
6,2,69.39793858893361,4
6,2,207.8876399201431,4
6,2,167.13965740648564,4
6,2,201.38373771285333,4
7,2,46.05612096251305,4
6,2,82.47540928599028,4
7,2,257.9628551313087,4
7,2,206.599060355935,4
7,2,126.70769343219501,4
7,2,336.55546573599776,4
7,2,176.25382961311868,4
6,2,336.76135001498744,4
7,2,293.4555738153274,4
7,2,57.10745243978007,4
6,2,339.2487976502881,4
6,2,202.91807978210974,4
6,2,626.6257307121363,4
6,2,627.9511374730288,4
6,2,624.7113383989242,4
6,2,627.7989627328004,4
6,2,626.2482292155712,4
6,2,625.6957902896747,4
6,2,624.7570555708534,4
6,2,935.527178252905,4
6,2,678.0400493643771,4
6,2,913.3835612890301,4
6,2,705.8549368708489,4
6,2,624.9921728700901,4
6,2,878.7602943039642,4
6,2,627.424567909297,4
6,2,683.8712115910071,4
6,2,818.7684216411396,4
6,2,625.9808721443812,4
6,2,625.5478431927581,4
4,2,759.2296274932488,4
4,2,716.591756014057,4
4,2,709.3039025490308,4
4,2,706.3663807851594,4
4,2,741.2642884619524,4
4,2,706.7754433065622,4
5,2,798.6903565582307,4
5,2,983.612889002608,4
