EF21,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
60491,2,1193.5959986141556,3
55422,2,1135.9763533184343,3
64391,2,1157.7467849682848,3
16867,2,1039.5897361821555,3
16450,2,1077.8141709045933,3
17621,2,1079.8594424169708,3
22803,2,1201.4518089287467,3
17762,2,1256.8016511969488,3
30957,2,1277.289586654428,3
89362,2,1038.4114438795873,2
46250,2,1147.8489312506729,2
48439,2,1148.6595945303543,2
52590,2,1048.8961996129456,3
107795,2,1133.6913982252015,2
89378,2,1251.2894599681106,2
48111,2,1037.203725459538,2
89174,2,1259.8119339517127,3
89477,2,1263.277973137692,3
107990,2,1134.8319300135609,3
95376,2,1201.5415791384667,3
96155,2,1133.7015694482102,3
12678,2,1194.907603729532,3
30843,2,1273.42154063295,2
31166,2,1272.2174800356102,2
60004,2,1192.8536457700957,2
211688,2,1132.3757542789372,2
223939,2,1076.8322119356044,2
224104,2,1079.173325772598,2
213096,2,1118.0186427789506,2
215072,2,1116.3927381111596,2
224224,2,1135.1609117561418,2
223377,2,1133.1358567392742,2
214014,2,1091.795545656605,2
224019,2,1129.1461567936115,2
223537,2,1131.56312080716,2
223670,2,1132.472618413166,2
223272,2,1105.0706066422026,2
229883,2,1039.1275615890008,2
229485,2,1039.2180254724253,2
224039,2,1038.817960211332,2
232126,2,1206.8134724116405,3
232446,2,1205.8708737536797,3
231890,2,1202.2831358657802,3
240871,2,1224.9623339042896,3
259861,2,1261.7809870027756,3
260089,2,1256.5396022515595,3
216959,2,1107.710497751485,3
214379,2,1109.9477598745357,3
251138,2,1157.4444607469945,3
251776,2,1157.8678334547567,3
165075,2,1109.439235619133,3
165181,2,1150.867389502135,3
165192,2,1151.8711129880242,3
165586,2,1151.0379976474965,3
148544,2,1056.5506063475407,3
98930,2,1135.0238704729006,1
94412,2,1099.5274843641157,1
95659,2,1094.4453486322336,1
101471,2,1200.3487353110688,1
102196,2,1202.2161190494094,1
101919,2,1142.290253570192,1
102085,2,1141.5361920771034,1
94409,2,1093.5917543557343,1
94913,2,1103.7752798402862,1
94337,2,1102.2793148129713,1
127053,2,329.3837377128533,4
127260,2,332.11224192502607,4
127989,2,330.4754092859903,4
23571,2,486.9814275656543,4
113706,2,62.599060355935,4
80253,2,397.41538686439003,4
38556,2,200.55546573599773,4
49825,2,160.5076592262374,4
112676,2,224.76135001498744,4
80662,2,397.82229526130965,4
35906,2,201.10745243978008,4
23269,2,486.81219941257206,4
127409,2,365.4590398910549,4
93813,2,265.31286535606813,4
113576,2,335.9022749460575,4
119450,2,364.7113383989242,4
127000,2,343.59792546560084,4
165047,2,164.4964584311424,4
159877,2,163.39158057934944,4
161175,2,161.51411114170668,4
180992,2,31.527178252904967,4
184044,2,27.020024682188527,4
155227,2,57.383561289030155,4
165092,2,161.85493687084886,4
165171,2,409.98434574018034,4
165377,2,413.52058860792846,4
165427,2,334.8491358185941,4
165882,2,333.93560579550353,4
153649,2,394.7684216411397,4
155226,2,395.9617442887624,4
148480,2,347.09568638551616,4
245766,2,543.2296274932488,4
230720,2,652.591756014057,4
153974,2,626.6519512745155,4
179984,2,676.7327615703189,4
148846,2,677.2642884619524,4
232332,2,649.3877216532811,4
153749,2,893.3451782791154,4
231398,2,871.225778005216,4
176313,2,653.4233663612737,4
183712,2,732.594818797602,4
250504,2,530.4037475867744,4
240806,2,707.3950883028185,4
179406,2,755.1728604689813,4
251445,2,625.3781167519079,4
99036,2,825.0997179804517,4
104807,2,814.0664360177271,4
124936,2,877.5167820848446,4
127337,2,893.8699776108249,4
125605,2,929.2658006957106,4
113582,2,876.0387804033932,4
107708,2,910.2423769350148,4
29263,2,572.0481274131599,4
56875,2,671.6030488387128,4
41537,2,562.789978027344,4
52377,2,531.828175162488,4
55967,2,711.8990812799885,4
56201,2,625.6810718886662,4
26712,2,625.4134611934811,4
101354,2,763.8740285360262,4
106696,2,757.7231255167086,4
109917,2,750.8968916722107,4
107240,2,749.719410368736,4
105253,2,761.8446479173086,4
340958,2,486.0064703136814,1
358289,2,497.64189866210904,1
358365,2,503.5834019529339,1
357958,2,413.5604056311951,1
358119,2,415.1792160014658,1
358356,2,408.1470364176804,1
358344,2,342.5920173972433,1
358021,2,336.89637556288386,1
