LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
4,2,1275.191997228311,3
4,2,1135.9763533184343,3
4,2,1131.4935699365697,3
4,2,1159.5897361821555,3
4,2,1277.8141709045933,3
4,2,1279.8594424169708,3
5,2,1291.6144714299733,3
5,2,1292.8264191511805,3
5,2,1364.6333864708477,3
5,2,1357.1662041467928,3
5,2,1131.8489312506729,2
5,2,1132.6595945303543,2
5,2,1128.8961996129456,2
5,2,1133.6913982252015,2
5,2,1131.2894599681106,2
5,2,1130.4074509190757,2
5,2,1131.8119339517127,2
5,2,1111.277973137692,2
5,2,1134.8319300135609,2
5,2,1128.7707895692333,2
5,2,1133.7015694482102,3
5,2,1099.630414918128,3
5,2,1041.42154063295,3
5,2,1128.2174800356102,3
5,2,1129.7072915401916,3
5,2,1132.3757542789372,3
5,2,1132.8322119356044,3
5,2,1135.173325772598,3
4,2,1076.0372855579012,2
4,2,1128.7854762223192,2
4,2,1135.1609117561418,2
4,2,1133.1358567392742,2
5,2,1057.8977728283025,1
5,2,1140.5730783968056,1
5,2,1037.78156040358,1
5,2,1158.236309206583,1
4,2,1057.0706066422026,1
5,2,1039.1275615890008,1
5,2,1046.4360509448509,1
4,2,1038.817960211332,1
4,2,1107.4067362058202,1
5,2,1258.93543687684,1
5,2,1156.570783966445,1
1,2,328.96233390428966,4
1,2,349.7809870027756,4
1,2,336.53960225155936,4
1,2,499.7104977514851,4
1,2,494.97387993726784,4
1,2,484.7222303734972,4
1,2,331.73566690951316,4
1,2,485.3598089047832,4
1,2,502.867389502135,4
1,2,31.87111298802424,4
1,2,151.0379976474964,4
1,2,80.55060634754071,4
1,2,167.02387047290057,4
1,2,29.763742182057797,4
1,2,987.2226743161168,4
1,2,984.1743676555344,4
1,2,985.1080595247047,4
1,2,988.5805071403838,4
1,2,987.0723841542065,4
1,2,986.7958771778672,4
1,2,991.8876399201431,4
1,2,991.1396574064856,4
1,2,985.3837377128533,4
1,2,988.1122419250261,4
1,2,986.4754092859903,4
3,2,27.92571026261735,4
3,2,30.599060355935002,4
3,2,29.415386864390037,4
3,2,24.555465735997736,4
3,2,24.507659226237383,4
3,2,24.761350014987443,4
3,2,22.911147630654817,4
3,2,274.21490487956015,4
3,2,278.4975953005762,4
3,2,277.8361595642195,4
3,2,282.50292284854527,4
3,2,287.80454989211495,4
3,2,274.845353595697,4
3,2,287.1958509312016,4
3,2,280.9929168622848,4
3,2,278.7831611586989,4
3,2,275.02822228341336,4
3,2,287.05435650580995,4
3,2,278.04004936437707,4
3,2,274.7671225780603,4
2,2,59.357979867163124,4
2,2,63.499063685771716,4
2,2,176.6588354537112,4
2,2,219.1723461950111,4
2,2,189.93938545611385,4
2,2,88.5894925164699,4
2,2,126.77581724039675,4
2,2,99.06196433651786,4
2,2,231.34807978396088,4
2,2,37.87238489964449,4
2,2,654.6519512745155,4
2,2,706.3663807851594,4
2,2,706.6321442309762,4
2,2,706.7754433065622,4
2,2,709.3807131164615,4
2,2,711.225778005216,4
2,2,706.8467327225472,4
2,2,708.594818797602,4
2,2,708.8074951735489,4
2,2,670.8487720757046,4
2,2,670.7932151172453,4
2,2,670.689058375954,4
2,2,679.1374647475565,4
2,2,677.7583045022159,4
2,2,931.0335641696894,4
2,2,935.4799104432994,4
2,2,840.6329003478553,4
2,2,840.0387804033932,4
2,2,870.2423769350148,4
4,2,204.04812741316,4
4,2,206.41219535485104,4
4,2,204.518849421954,4
4,2,207.656350324976,4
4,2,207.8990812799885,4
4,2,163.36214377733248,4
4,2,162.8269223869622,4
4,2,167.48425356700326,4
4,2,174.7153906895886,4
4,2,173.86211145902632,4
4,2,475.43882073747204,4
4,2,499.68929583461727,4
4,2,384.41410007560916,4
4,2,410.2703785937447,4
4,2,505.33443124694236,4
4,2,472.96649009912176,4
4,2,727.1792160014658,4
4,2,652.0735182088403,4
4,2,655.2960086986217,4
4,2,670.224093890721,4
4,2,670.5642344840952,4
4,2,671.2839133209483,4
4,2,720.075269695553,4
4,2,726.9785399607581,4
4,2,671.764171053655,4
4,2,670.8122294401782,4
4,2,920.719959669964,4
4,2,926.770581307212,4
4,2,877.8249204912458,4
4,2,929.5261622590417,4
4,2,935.8046371541844,4
4,2,878.9400091233333,4
4,2,876.5626376649876,4
4,2,893.8355211462576,4
4,2,893.9085765908362,4
4,2,414.1122537543894,1
4,2,408.0311261788567,1
4,2,411.33140636374424,1
4,2,415.7188770568197,1
4,2,410.17060724842355,1
4,2,409.46494701238976,1
4,2,413.6350167502693,1
4,2,410.63834451175785,1
4,2,410.59257463145923,1
4,2,387.1261061947963,1
4,2,391.2532730325673,1
4,2,387.11138000960506,1
4,2,385.72869300964743,1
4,2,952.4386855926575,2
4,2,987.2023134950634,2
4,2,982.2374237592937,2
4,2,982.7192716457055,2
4,2,990.4370558276281,2
5,2,984.3126751646613,2
5,2,986.4511845012031,2
5,2,986.584279810645,2
5,2,991.3617722630842,2
5,2,989.9228767261505,2
5,2,991.0523450351175,2
5,2,916.0557669248418,2
5,2,819.2031552978348,3
5,2,811.7151453182944,3
5,2,808.2267503201916,3
5,2,848.5098250016115,3
5,2,810.8508077475478,3
5,2,815.902983040443,3
5,2,815.0849198394617,3
5,2,811.6414757036184,3
5,2,853.7831844742979,3
5,2,848.8346278573464,3
4,2,671.7548862311154,2
4,2,684.1747742291716,2
4,2,682.2654627589372,2
4,2,626.2193108581546,2
4,2,681.1780125929247,2
4,2,542.4694708803835,2
4,2,539.351679337527,2
4,2,670.4180215591612,2
4,2,529.8742878730208,2
4,2,528.4682661122366,2
4,2,590.7665263001891,2
4,2,625.5038148368848,2
5,2,706.2256703562624,1
5,2,767.7778252386751,1
5,2,740.3068631485976,1
5,2,767.0880768598652,1
5,2,745.3696983433837,1
5,2,745.4851655783287,1
5,2,741.06683214136,1
5,2,743.1701209008377,1
5,2,765.7269821481183,1
5,2,765.6955178927738,1
4,2,893.3829035628752,1
4,2,877.747873754935,1
4,2,823.0123888607037,1
4,2,878.3082112571828,1
4,2,878.702378837934,1
4,2,892.1050290810255,1
4,2,877.6382846247079,1
4,2,821.3888170537915,1
4,2,540.5377352782891,1
4,2,584.2677548299328,1
4,2,562.789978027344,1
4,2,528.768480043503,1
4,2,540.0030604959884,1
4,2,586.3763470221025,1
4,2,585.2312675456035,1
4,2,528.9079286725038,1
4,2,384.779366741713,2
4,2,293.1869050972037,2
4,2,292.28361587493373,2
4,2,292.23472002229795,2
4,2,293.6094974333312,2
4,2,387.49385226713895,2
4,2,386.91043049844984,2
4,2,408.4565656440363,2
4,2,415.0874769669782,2
5,2,202.61967720510918,3
5,2,205.45155542181547,3
5,2,205.0802046238568,3
5,2,206.0183567488476,3
5,2,242.9625446723191,3
5,2,202.03516989821503,3
5,2,200.28161991059395,3
5,2,90.56950772433675,3
4,2,81.35220161697201,2
4,2,80.82605095908872,2
4,2,110.1138035124255,2
4,2,111.09612890931994,2
4,2,26.52038569320588,2
4,2,27.42894067782388,2
4,2,207.51974862344238,3
4,2,226.37409877115854,3
4,2,228.7620475703717,3
4,2,172.82233974081194,3
4,2,203.24357433025133,3
4,2,244.69043229526906,3
4,2,245.3893716062717,3
4,2,146.55726157187874,3
5,2,487.6113598719664,3
5,2,486.7955766355551,3
5,2,347.8397776900393,3
5,2,332.3559474747175,3
3,1,1192.2004581901626,2
3,1,1192.8687265021972,2
3,1,1193.5734757187863,2
3,1,1194.64380848417,2
3,1,1192.7769499292076,2
2,1,1254.9424907991138,3
2,1,1260.7049270180298,3
2,1,1261.8792082379684,3
2,1,1131.3686171514398,3
3,1,1129.5064290123923,3
2,1,1252.352666952215,2
3,1,1159.9001686155445,3
2,1,1275.879267370419,3
3,1,1047.1375246172788,2
3,1,1043.4279245051912,2
3,1,1135.2121090157902,2
2,1,1132.2604977850508,2
3,1,1272.7303323413119,3
