MONTHS_OF_SERVICE,TAETIGKEITSSCHLUESSEL4,B52
58,2,1193.5959986141556
59,2,1192.4503069710572
58,2,1194.8825394837847
58,2,1158.3548363661275
58,2,1159.5897361821555
59,2,1192.1432547945756
63,2,1158.4179316875147
63,2,1237.7365270648272
63,2,1233.4518089287467
62,2,1263.9663446237619
62,2,1267.703657590668
63,2,1218.4541642110698
63,2,1220.8228877591746
57,2,1048.60538113037
58,2,1101.2163835046676
60,2,1261.0262315619373
60,2,1256.8961996129456
61,2,1222.2183372167317
60,2,1097.065056786558
60,2,1263.8083452723122
54,2,1050.4074509190757
54,2,1053.4318116164786
54,2,1054.0854503034411
54,2,1092.5333670997038
54,2,1101.6638600271217
54,2,1059.776965577223
54,2,1063.6070610415427
54,2,1118.7844848750285
54,2,1118.907603729532
54,2,1049.8222342633437
54,2,1054.9778827997902
55,2,1076.192721946255
55,2,1073.7072915401916
55,2,1098.11081966001
55,2,1099.0522468082966
45,2,1059.8266436312406
45,2,1063.173325772598
45,2,1058.4753374804457
45,2,1060.0633117506377
45,2,1058.9519760440132
45,2,1063.1609117561418
47,2,1130.9076945823992
47,2,1129.9974052494863
47,2,1132.4338114107818
45,2,1057.1461567936115
45,2,1061.5331127895608
45,2,1059.4230743349315
46,2,1130.4108373002011
45,2,1073.0706066422026
45,2,1077.3869715320234
46,2,1072.4273663450508
46,2,1073.2550739356323
46,2,1077.6359204226642
45,2,1073.5083785970744
45,2,1079.9890474627946
44,2,1073.8422197057048
44,2,1073.14156793289
44,2,1078.888914823006
36,2,1079.0840501748212
36,2,1109.2879562196417
36,2,1128.5396022515595
36,2,1129.572762886335
33,2,1193.355380686159
35,2,1159.3479146605694
33,2,1130.8889214939888
33,2,1128.5699688106436
45,2,337.6506130573726
46,2,280.8591095873421
46,2,285.73477900426997
45,2,341.1796037648414
45,2,341.641123830157
44,2,293.8848763465942
44,2,292.13765158688517
47,2,292.1779970051057
47,2,292.19926258190543
46,2,339.3371477111759
46,2,339.2226743161168
45,2,282.9117008793965
45,2,284.81272430515946
46,2,332.5930681948122
46,2,332.58050714038376
47,2,341.8746451163362
47,2,336.785193535161
39,2,118.93849708867326
39,2,119.8876399201431
39,2,81.37732556821875
39,2,112.60359634302534
39,2,71.05991362476776
38,2,84.1122419250261
38,2,108.18396790683596
37,2,116.07629916199578
32,2,203.3107550199274
32,2,158.599060355935
35,2,149.54426480601194
38,2,174.6127350198901
33,2,81.49586641506356
33,2,88.50765922623738
33,2,246.69850932009288
33,2,245.54483527980412
47,2,31.80327760447625
43,2,68.55372621989004
45,2,19.952411355359995
37,2,310.2146686173351
39,2,377.86449390972376
39,2,340.02338278836197
37,2,346.4040651068739
36,2,389.2078509980269
36,2,481.5340600156931
33,2,487.8994813664002
37,2,280.82895419958714
39,2,304.5201394124062
36,2,329.60221250738385
33,2,497.5141111417067
63,2,69.2741542618863
60,2,31.46175903996336
59,2,62.53877852481817
58,2,241.38356128903015
60,2,164.12308564719777
59,2,242.3992488558545
58,2,245.93673305333013
61,2,173.5205886079285
59,2,171.77235499092214
56,2,179.97884300457193
61,2,170.09219781490066
62,2,202.7684216411397
57,2,23.700880492531844
61,2,392.0097477569457
58,2,487.8043772115418
61,2,487.8074068733122
61,2,292.8323167637357
58,2,425.46193128234864
56,2,367.60478047363887
58,2,346.36638078515944
58,2,431.1949045033373
63,2,367.5502710778562
56,2,502.38389894467633
50,2,501.38071311646155
51,2,469.43310935025477
51,2,465.45002590030447
50,2,447.47195861642524
50,2,446.297409398801
50,2,444.29299556532806
51,2,469.1995301259788
50,2,444.20739849983926
50,2,445.58643023449065
49,2,498.7833573632154
49,2,496.17890642567824
51,2,476.90131347178976
50,2,445.43957612555397
50,2,342.374633588051
49,2,373.6452936708029
49,2,383.46896478252165
50,2,337.2658006957106
51,2,61.9506541921326
54,2,130.95147750194664
50,2,93.99961353478722
52,2,60.04812741315998
52,2,60.6187011924953
53,2,242.25668179045186
52,2,28.123732139977847
50,2,247.656350324976
53,2,116.50696280742126
50,2,155.53746578734862
50,2,246.96307662072138
50,2,154.8269223869622
63,2,823.9820255892065
62,2,846.0488858367193
62,2,845.0861188995531
62,2,846.9310557295132
62,2,845.6145042493413
62,2,845.6966894555667
62,2,808.3064038397908
63,2,848.0258812547256
63,2,852.326140690769
58,2,839.4611778480221
