MONTHS_OF_SERVICE,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
59,2,1259.191997228311,3
59,2,1215.9527066368685,3
57,2,1193.7467849682848,3
59,2,1195.5897361821555,3
52,2,1133.8141709045933,3
53,2,1223.8594424169708,3
59,2,1201.4518089287467,2
58,2,1248.8016511969488,3
53,2,1149.289586654428,3
54,2,1118.4114438795873,3
56,2,1173.9244656253363,3
50,2,1158.3297972651771,3
54,2,1128.8961996129456,2
53,2,1261.6913982252015,3
59,2,1173.6447299840552,2
50,2,1092.8149018381516,3
55,2,1141.9059669758565,3
35,2,1151.277973137692,3
36,2,1101.6638600271217,3
46,2,1104.7707895692333,2
43,2,1158.850784724105,2
45,2,1038.907603729532,2
41,2,1090.8430812659,2
46,2,1048.2174800356102,2
41,2,1156.8536457700957,3
46,2,1052.3757542789372,2
39,2,1044.8322119356044,2
39,2,1135.173325772598,2
46,2,1038.0186427789506,3
39,2,1128.7854762223192,3
41,2,1159.5804558780708,2
41,2,1188.3474156567738,1
41,2,1084.7287305056834,1
46,2,1060.6770173955665,1
42,2,1138.0198658291201,1
43,2,1167.123789221307,1
40,2,1058.2594125504831,1
41,2,1224.16394169606,1
40,2,1229.9536302352258,1
46,2,1204.3494535252541,1
45,2,1133.0155585862476,1
47,2,1117.9339800588764,1
43,2,1060.5301738524818,1
63,2,1216.9623339042896,1
52,2,1133.7809870027756,1
63,2,1120.5396022515595,1
60,2,1259.710497751485,1
58,2,1194.9738799372678,1
63,2,1130.8889214939888,1
63,2,1123.7356669095132,1
36,2,87.02776990612486,4
37,2,109.87823203415972,4
37,2,125.93780780838786,4
38,2,112.60796235994269,4
36,2,8.80970156065132,4
37,2,112.38192756640892,4
36,2,92.21987491292478,4
38,2,51.56278905786927,4
36,2,2.789882488550873,4
39,2,17.72895239527432,4
37,2,258.2902535701919,4
36,2,331.07238415420653,4
36,2,361.3979385889336,4
32,2,287.7752798402862,4
32,2,293.7849143516214,4
32,2,292.34593442821335,4
35,2,332.11224192502607,4
33,2,361.23770464299514,4
39,2,331.9257102626174,4
50,2,489.58496569496003,4
50,2,470.6461898302406,4
51,2,392.88745177596377,4
49,2,392.1225476197981,4
48,2,396.1816002397991,4
50,2,477.1567241809541,4
48,2,401.7192390364811,4
49,2,435.98076240460995,4
49,2,430.6892765137558,4
51,2,468.02338278836197,4
49,2,510.4363991369198,4
50,2,406.762828765576,4
48,2,505.56680744961295,4
48,2,455.9433348982784,4
63,2,707.3915805793495,4
60,2,705.5141111417066,4
60,2,711.527178252905,4
61,2,653.5100123410942,4
59,2,624.6917806445151,4
59,2,624.9274684354244,4
60,2,652.9921728700901,4
60,2,654.7602943039642,4
55,2,694.849135818594,4
52,2,725.9356057955035,4
52,2,722.7684216411396,4
52,2,611.9617442887624,4
55,2,717.5478431927581,4
55,2,719.6148137466243,4
55,2,624.591756014057,4
55,2,626.6519512745155,4
55,2,625.1831903925797,4
44,2,810.6321442309762,4
36,2,754.7754433065622,4
42,2,650.6903565582307,4
39,2,879.612889002608,4
37,2,877.4233663612737,4
36,2,878.2974093988009,4
39,2,572.8074951735489,4
39,2,867.3950883028185,4
37,2,877.5864302344906,4
36,2,625.3781167519079,4
41,2,775.1374647475565,4
44,2,706.8791522511079,4
45,2,678.0671283393787,4
45,2,686.9598208865988,4
44,2,292.31645017392765,1
44,2,292.0193902016966,1
44,2,265.5605942337537,1
44,2,265.01203185329,1
45,2,310.412195354851,1
45,2,308.518849421954,1
46,2,363.828175162488,1
46,2,363.94954063999427,1
47,2,292.8405359443331,1
47,2,292.70673059674056,1
54,2,119.48425356700328,3
54,2,118.71539068958857,3
53,2,117.86211145902634,3
53,2,117.714926296092,3
53,2,111.23058098966358,3
53,2,104.02588125472558,3
52,2,81.64189866210904,3
52,2,87.5834019529339,3
52,2,85.56040563119511,3
55,2,135.1792160014658,3
55,2,128.14703641768043,3
54,2,30.592017397243318,2
54,2,24.89637556288384,2
55,2,106.25693793638075,2
55,2,109.13565328379296,2
52,2,24.07526969555293,2
52,2,30.9785399607581,2
55,2,127.52834210730994,2
55,2,125.62445888035626,2
52,2,24.719959669964084,2
52,2,30.770581307211906,2
58,2,116.79491143973459,2
59,2,48.83719228933654,2
60,2,249.7483889339003,2
62,2,188.16058389333006,2
56,2,36.008810559207035,2
61,2,234.94670672097888,2
62,2,244.29780362703113,2
60,2,195.59212014046255,2
56,2,0.9960377234141617,2
61,2,106.60500363981626,2
54,2,627.8594385284098,3
50,2,546.1706072484236,3
53,2,624.7324735061949,3
50,2,709.6350167502693,3
52,2,610.6383445117579,3
53,2,602.5925746314592,3
55,2,691.1261061947963,3
59,2,551.2532730325673,3
59,2,835.111380009605,2
55,2,675.4573860192949,2
63,2,868.2193427963288,3
62,2,785.6011567475317,2
59,2,836.4748475185875,2
63,2,530.7192716457055,2
62,2,684.8741116552563,2
62,2,672.6253503293227,2
62,2,554.4511845012031,3
61,2,818.584279810645,2
56,2,863.3617722630842,2
52,2,530.9614383630753,3
50,2,711.0523450351175,3
53,2,708.0557669248418,3
61,2,547.2031552978348,3
47,2,292.9287863295736,2
44,2,360.1133751600958,2
46,2,273.0196500032229,2
46,2,373.7016154950957,2
47,2,293.9757457601108,2
45,2,382.1698396789234,2
46,2,279.2829514072369,2
46,2,362.8915922371489,2
38,2,112.83462785734636,2
44,2,159.01954492446154,2
44,2,158.0873871145858,2
46,2,282.2654627589373,2
39,2,126.21931085815457,2
46,2,258.2945031482312,3
43,2,380.93894176076685,3
39,2,131.351679337527,2
33,2,292.4180215591612,2
38,2,107.7485757460416,2
34,2,369.8730644489465,2
32,2,606.7665263001891,1
32,2,611.0076296737695,1
32,2,610.2256703562624,1
33,2,607.5556504773501,1
33,2,602.1534315742988,1
33,2,671.5440384299326,1
33,2,612.6848491716919,1
33,2,612.7425827891643,1
32,2,649.26670803534,1
32,2,649.7925302252094,1
32,2,649.7269821481183,1
32,2,562.789978027344,1
38,2,917.5316142515006,3
36,2,907.49574750987,3
37,2,839.0123888607037,3
36,2,916.6164225143656,2
47,2,813.404757675868,3
35,2,670.1050290810255,2
38,2,555.276569249416,3
33,2,613.3888170537915,3
43,2,966.2688676391446,3
45,2,876.1338774149664,2
38,2,655.2326499494344,2
33,2,528.768480043503,3
39,2,908.0030604959884,2
41,2,858.3763470221025,3
36,2,528.6156337728017,2
33,2,528.9079286725038,3
33,2,528.3896833708565,3
47,2,654.3738101944074,3
37,2,840.5672317498675,3
36,2,552.9388800891919,3
42,2,748.8759794666496,3
43,2,529.7469261335694,3
43,2,529.4552152492249,3
45,2,876.2282828220182,2
37,2,686.1749539339564,2
36,2,906.6196772051092,2
44,2,530.7257777109078,2
50,2,909.0802046238567,1
50,2,862.0183567488476,1
52,2,866.9625446723192,1
55,2,906.035169898215,1
54,2,840.140809955297,1
54,2,841.2847538621684,1
54,2,817.352201616972,1
50,2,856.8260509590888,1
50,2,843.0569017562127,1
50,2,843.54806445466,1
52,2,602.5203856932059,1
54,2,641.714470338912,1
54,2,643.7598743117212,1
51,2,610.3740987711585,1
52,2,654.3810237851859,1
52,2,613.6027924676015,1
53,2,562.789978027344,1
57,2,377.3808645905381,1
60,2,487.3473429015679,1
52,2,125.15982884824243,1
56,2,363.22271974393277,1
56,2,445.59115327111016,1
55,2,59.83977769003928,1
59,2,428.3559474747175,1
52,2,486.1002290950814,1
50,2,275.4749060087887,1
50,2,484.78673785939316,1
50,2,485.321904242085,1
59,1,1129.553899858415,3
53,1,1195.471245399557,2
59,1,1194.352463509015,2
59,1,1194.9396041189843,2
52,1,1131.3686171514398,2
58,1,1140.7532145061962,3
56,1,1174.1763334761074,3
56,1,1175.9001686155445,3
59,1,1207.758534740838,2
59,1,1263.1375246172788,3
37,1,1193.7139622525956,3
37,1,1195.6060545078951,3
38,1,1276.2604977850508,3
35,1,1120.7303323413119,2
35,1,1121.010619220407,2
36,1,1119.5457206689623,3
36,1,1051.6249511067597,3
34,1,1342.7392074587408,3
34,1,1343.7401960401946,3
34,1,1257.0550217227392,2
39,1,1117.3935737296458,2
39,1,1174.8515912826645,2
39,1,1174.1315282871456,2
37,1,1109.5713632706136,3
42,1,1193.694862344722,1
42,1,1194.0085964445655,1
41,1,1217.3095207625622,1
41,1,1221.6291316267361,1
42,1,1279.3371808432814,1
42,1,1273.3613170149745,1
42,1,1277.1033287290336,1
41,1,1194.6328272763992,1
27,1,624.7061097071515,4
27,1,687.6169535431596,4
29,1,569.8273144462388,4
28,1,651.1437715443698,4
28,1,716.4112147470453,4
28,1,625.4477875173346,4
27,1,627.9724735828589,4
27,1,966.2532639408824,4
27,1,915.8502389579637,4
27,1,687.0865602965158,4
27,1,879.2782830403198,4
27,1,907.2597003021472,4
27,1,911.9658999057692,4
28,1,671.0035091314568,4
20,1,541.3563384747115,4
28,1,711.1017715961198,4
18,1,562.789978027344,4
20,1,967.5849334397843,4
20,1,538.072083287658,4
27,1,867.4837266928461,4
27,1,908.8265593104339,4
18,1,991.1504916111135,4
27,1,744.6216800273703,4
12,1,408.64852698889865,4
8,1,411.1292159577661,4
7,1,410.41270362333023,4
11,1,58.69716194474358,4
8,1,44.6544104577487,4
6,1,31.345059144902134,4
4,1,167.28767862479174,4
7,1,286.49459202807196,4
2,1,871.8720077529726,4
0,1,801.3519544841107,4
2,1,872.2730221821582,4
1,1,890.6747220380944,4
0,1,885.1746146302161,4
0,1,784.6056116869947,4
0,1,769.8497855966781,4
0,1,845.203966377777,4
14,1,966.06912054102,4
14,1,966.2797343711562,4
8,1,892.8448752348219,4
