EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
526,2,53,2,61,5,5,4,101
605,2,87,2,29,4,5,1,101
1044,2,24,2,36,4,5,2,101
1700,2,24,2,48,5,3,3,547
1815,2,87,2,61,5,2,1,381
2041,1,85,2,8,5,2,3,381
4701,1,20,2,31,5,2,4,101
5443,2,20,2,26,5,3,4,101
5541,1,84,2,21,5,4,3,101
5649,1,84,2,21,1,5,3,101
5834,1,84,1,19,1,5,3,101
6516,2,29,2,40,1,2,4,101
7795,2,20,1,24,1,3,1,101
10243,1,54,2,31,4,3,4,456
10480,1,47,1,43,3,3,4,456
11089,1,47,1,63,2,3,4,101
11421,2,30,2,43,3,3,3,101
12020,2,83,2,40,3,3,3,193
12048,2,86,1,30,3,5,3,101
12167,2,41,1,43,2,4,4,101
12351,2,84,1,9,3,4,4,773
12387,2,84,2,44,3,4,1,101
12445,1,20,1,47,3,4,4,101
12684,2,84,2,28,3,4,2,775
12751,2,47,2,62,4,5,2,101
12878,2,30,1,36,5,5,4,101
12982,2,30,2,55,2,4,1,101
13079,2,80,1,44,7,2,2,101
13217,2,52,2,62,7,3,4,101
15589,2,47,2,37,7,3,2,587
15652,2,17,1,1,7,3,2,101
15663,1,57,2,43,5,3,1,101
15792,2,16,1,37,7,4,2,101
15797,1,69,1,1,7,5,2,364
15825,1,17,2,2,4,4,1,101
16392,1,17,2,23,5,4,3,576
17121,1,83,1,23,7,5,4,522
17164,1,42,1,0,7,3,4,376
17584,2,42,1,52,1,4,4,195
17729,2,82,2,61,7,4,4,101
17741,2,63,1,29,5,3,3,101
17872,1,43,2,0,1,4,3,522
18064,2,30,1,53,5,5,3,249
18201,2,83,2,63,5,3,3,249
18234,1,62,2,28,2,4,4,101
18266,1,16,1,51,1,4,3,101
18266,2,62,1,1,5,5,4,101
18298,1,40,2,63,2,3,4,101
22725,1,49,1,0,2,3,4,101
22852,1,49,2,23,2,3,1,236
22929,1,41,1,48,2,5,1,101
22934,2,52,2,17,5,3,4,101
23233,1,62,1,19,3,4,4,599
23537,1,70,1,44,3,3,1,194
23872,1,71,1,28,7,3,3,194
23930,1,70,1,63,4,4,1,101
24117,1,82,1,19,3,3,3,192
24323,1,82,2,33,3,3,4,378
24667,1,86,1,17,7,1,4,551
25093,1,26,1,60,5,1,4,531
25116,2,70,2,60,5,1,4,101
25156,2,70,2,42,4,1,1,654
25505,1,40,1,45,5,2,1,101
25873,1,71,1,18,3,2,4,509
25930,1,71,2,23,2,1,1,101
26200,1,31,2,16,7,1,2,101
26364,1,70,2,11,7,1,2,101
26403,1,63,2,17,3,1,2,496
26541,1,87,2,54,1,2,3,101
26590,1,87,2,43,1,1,3,481
26775,1,70,2,11,4,2,2,769
26928,1,54,2,18,2,2,2,726
27004,2,28,2,35,2,2,1,771
27036,2,30,2,16,2,1,2,101
27045,2,30,2,32,4,1,1,101
27677,2,48,1,52,3,2,1,101
27872,1,30,2,43,3,2,2,101
28405,1,82,2,23,7,1,2,101
28517,1,29,2,60,4,2,2,481
29401,2,22,2,33,3,1,2,101
29407,1,22,2,32,5,1,3,101
29528,1,49,2,54,6,5,3,101
29528,2,82,2,24,2,5,1,101
29620,1,83,1,16,3,5,3,101
29742,2,83,1,28,6,1,3,769
29819,1,62,2,12,5,1,3,769
29845,1,17,2,12,7,2,1,101
29907,1,83,1,13,2,2,3,101
29949,1,17,1,32,2,1,3,101
30766,2,81,1,29,5,5,3,101
30869,2,68,1,14,2,2,3,101
30886,1,30,1,18,2,5,2,779
30924,1,68,1,9,6,2,3,634
31027,2,68,1,18,2,5,3,634
31084,2,68,1,0,3,2,3,780
31088,2,62,1,11,2,2,3,249
31141,2,62,1,47,5,2,3,249
31206,2,46,1,0,3,1,1,249
31225,2,42,1,30,7,1,1,577
35942,1,73,2,15,6,3,2,101
36196,1,82,2,58,5,3,2,101
36204,2,36,2,24,2,5,1,101
36291,2,73,2,39,6,3,2,101
