EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5
526,2,53,2,61,5,5,4
605,2,87,2,29,4,5,1
1044,2,24,2,36,4,5,2
1700,2,24,2,48,5,3,3
1815,2,87,2,61,5,2,1
2041,1,85,2,8,5,2,3
4701,1,20,2,31,5,2,4
5443,2,20,2,26,5,3,4
5541,1,84,2,21,5,4,3
5649,1,84,2,21,1,5,3
5834,1,84,1,19,1,5,3
6516,2,29,2,40,1,2,4
7795,2,20,1,24,1,3,1
10243,1,54,2,31,4,3,4
10480,1,47,1,43,3,3,4
11089,1,47,1,63,2,3,4
11421,2,30,2,43,3,3,3
12020,2,83,2,40,3,3,3
12048,2,86,1,30,3,5,3
12167,2,41,1,43,2,4,4
12351,2,84,1,9,3,4,4
12387,2,84,2,44,3,4,1
12445,1,20,1,47,3,4,4
12684,2,84,2,28,3,4,2
12751,2,47,2,62,4,5,2
12878,2,30,1,36,5,5,4
12982,2,30,2,55,2,4,1
13079,2,80,1,44,7,2,2
13217,2,52,2,62,7,3,4
15589,2,47,2,37,7,3,2
15652,2,17,1,1,7,3,2
15663,1,57,2,43,5,3,1
15792,2,16,1,37,7,4,2
15797,1,69,1,1,7,5,2
15825,1,17,2,2,4,4,1
16392,1,17,2,23,5,4,3
17121,1,83,1,23,7,5,4
17164,1,42,1,0,7,3,4
17584,2,42,1,52,1,4,4
17729,2,82,2,61,7,4,4
17741,2,63,1,29,5,3,3
17872,1,43,2,0,1,4,3
18064,2,30,1,53,5,5,3
18201,2,83,2,63,5,3,3
18234,1,62,2,28,2,4,4
18266,1,16,1,51,1,4,3
18266,2,62,1,1,5,5,4
18298,1,40,2,63,2,3,4
22725,1,49,1,0,2,3,4
22852,1,49,2,23,2,3,1
22929,1,41,1,48,2,5,1
22934,2,52,2,17,5,3,4
23233,1,62,1,19,3,4,4
23537,1,70,1,44,3,3,1
23872,1,71,1,28,7,3,3
23930,1,70,1,63,4,4,1
24117,1,82,1,19,3,3,3
24323,1,82,2,33,3,3,4
24667,1,86,1,17,7,1,4
25093,1,26,1,60,5,1,4
25116,2,70,2,60,5,1,4
25156,2,70,2,42,4,1,1
25505,1,40,1,45,5,2,1
25873,1,71,1,18,3,2,4
25930,1,71,2,23,2,1,1
26200,1,31,2,16,7,1,2
26364,1,70,2,11,7,1,2
26403,1,63,2,17,3,1,2
26541,1,87,2,54,1,2,3
26590,1,87,2,43,1,1,3
26775,1,70,2,11,4,2,2
26928,1,54,2,18,2,2,2
27004,2,28,2,35,2,2,1
27036,2,30,2,16,2,1,2
27045,2,30,2,32,4,1,1
27677,2,48,1,52,3,2,1
27872,1,30,2,43,3,2,2
28405,1,82,2,23,7,1,2
28517,1,29,2,60,4,2,2
29401,2,22,2,33,3,1,2
29407,1,22,2,32,5,1,3
29528,2,82,2,24,2,5,1
29528,1,49,2,54,6,5,3
29620,1,83,1,16,3,5,3
29742,2,83,1,28,6,1,3
29819,1,62,2,12,5,1,3
29845,1,17,2,12,7,2,1
29907,1,83,1,13,2,2,3
29949,1,17,1,32,2,1,3
30766,2,81,1,29,5,5,3
30869,2,68,1,14,2,2,3
30886,1,30,1,18,2,5,2
30924,1,68,1,9,6,2,3
31027,2,68,1,18,2,5,3
31084,2,68,1,0,3,2,3
31088,2,62,1,11,2,2,3
31141,2,62,1,47,5,2,3
31206,2,46,1,0,3,1,1
31225,2,42,1,30,7,1,1
35942,1,73,2,15,6,3,2
36196,1,82,2,58,5,3,2
36204,2,36,2,24,2,5,1
36291,2,73,2,39,6,3,2
36314,1,38,2,15,6,5,3
36517,2,50,2,14,5,3,1
37049,2,47,2,14,2,3,3
37839,1,50,2,4,5,3,4
38324,2,64,1,58,6,2,4
38421,1,19,1,4,6,5,2
38514,2,44,1,51,6,3,4
38681,1,50,2,58,6,2,1
38708,1,59,2,58,3,5,4
41062,1,57,1,52,1,1,4
41109,1,48,2,29,6,1,4
41304,1,50,1,5,4,1,1
42350,2,21,1,5,2,5,3
45720,1,64,1,58,1,1,1
46288,1,64,1,5,6,1,2
46736,1,63,1,39,4,5,2
47238,1,42,1,58,1,5,2
47249,1,51,2,14,6,1,4
47376,1,51,2,6,1,1,4
47908,2,21,1,58,4,5,1
48111,2,66,1,5,7,5,1
48275,1,66,2,58,1,3,4
49268,2,83,2,43,6,2,1
49375,2,39,2,43,6,3,3
49635,1,75,2,14,3,2,4
50254,2,56,2,6,6,3,1
50386,1,66,2,14,5,1,3
50608,1,47,2,6,3,5,1
50989,1,70,2,14,4,4,4
51266,2,70,2,15,1,1,1
51848,2,42,1,38,7,1,1
52014,1,66,1,55,3,3,2
52084,1,46,1,34,1,3,1
52578,1,77,1,13,2,5,3
55525,2,35,1,5,4,2,4
56328,1,17,1,42,6,4,4
56330,1,35,1,49,6,4,4
56358,2,59,1,35,3,1,4
56429,2,41,1,49,3,4,4
56533,1,40,2,14,3,4,3
56712,1,60,2,35,5,4,2
57110,2,32,2,42,1,4,4
57308,1,71,1,14,4,4,4
59938,2,71,2,43,1,4,4
59985,1,32,1,50,4,4,2
60137,1,45,2,43,1,2,3
60286,1,40,1,43,3,1,2
60507,2,87,2,50,1,2,1
61068,1,37,1,43,7,1,1
61990,2,19,2,12,4,2,2
62861,1,74,1,27,2,5,3
63124,1,20,2,7,2,5,1
63280,1,66,2,35,1,1,3
64374,1,47,1,29,1,1,1
64416,2,74,2,15,4,1,2
65075,1,35,2,27,2,2,1
65786,2,21,2,32,2,5,4
68161,2,46,2,31,2,4,2
69225,1,31,1,31,4,4,4
69420,2,40,1,9,2,4,4
73974,2,20,1,3,2,5,4
74122,1,17,1,39,2,4,4
74335,2,67,2,59,2,5,2
75307,2,35,2,28,2,3,4
75354,2,52,1,23,2,4,4
75473,1,17,2,9,2,3,4
75584,2,52,1,59,4,3,3
76534,1,30,1,35,7,5,4
78408,2,73,2,2,2,4,4
78866,2,78,2,32,5,3,3
80137,1,35,2,30,2,4,4
80178,1,53,1,30,5,3,2
80819,2,66,1,61,5,3,3
84993,1,43,2,23,5,4,4
85001,1,33,2,31,7,5,2
