EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE
526,2,53,2,61,5,5
605,2,87,2,29,4,5
1044,2,24,2,36,4,5
1700,2,24,2,48,5,3
1815,2,87,2,61,5,2
2041,1,85,2,8,5,2
4701,1,20,2,31,5,2
5443,2,20,2,26,5,3
5541,1,84,2,21,5,4
5649,1,84,2,21,1,5
5834,1,84,1,19,1,5
6516,2,29,2,40,1,2
7795,2,20,1,24,1,3
10243,1,54,2,31,4,3
10480,1,47,1,43,3,3
11089,1,47,1,63,2,3
11421,2,30,2,43,3,3
12020,2,83,2,40,3,3
12048,2,86,1,30,3,5
12167,2,41,1,43,2,4
12351,2,84,1,9,3,4
12387,2,84,2,44,3,4
12445,1,20,1,47,3,4
12684,2,84,2,28,3,4
12751,2,47,2,62,4,5
12878,2,30,1,36,5,5
12982,2,30,2,55,2,4
13079,2,80,1,44,7,2
13217,2,52,2,62,7,3
15589,2,47,2,37,7,3
15652,2,17,1,1,7,3
15663,1,57,2,43,5,3
15792,2,16,1,37,7,4
15797,1,69,1,1,7,5
15825,1,17,2,2,4,4
16392,1,17,2,23,5,4
17121,1,83,1,23,7,5
17164,1,42,1,0,7,3
17584,2,42,1,52,1,4
17729,2,82,2,61,7,4
17741,2,63,1,29,5,3
17872,1,43,2,0,1,4
18064,2,30,1,53,5,5
18201,2,83,2,63,5,3
18234,1,62,2,28,2,4
18266,2,62,1,1,5,5
18266,1,16,1,51,1,4
18298,1,40,2,63,2,3
22725,1,49,1,0,2,3
22852,1,49,2,23,2,3
22929,1,41,1,48,2,5
22934,2,52,2,17,5,3
23233,1,62,1,19,3,4
23537,1,70,1,44,3,3
23872,1,71,1,28,7,3
23930,1,70,1,63,4,4
24117,1,82,1,19,3,3
24323,1,82,2,33,3,3
24667,1,86,1,17,7,1
25093,1,26,1,60,5,1
25116,2,70,2,60,5,1
25156,2,70,2,42,4,1
25505,1,40,1,45,5,2
25873,1,71,1,18,3,2
25930,1,71,2,23,2,1
26200,1,31,2,16,7,1
26364,1,70,2,11,7,1
26403,1,63,2,17,3,1
26541,1,87,2,54,1,2
26590,1,87,2,43,1,1
26775,1,70,2,11,4,2
26928,1,54,2,18,2,2
27004,2,28,2,35,2,2
27036,2,30,2,16,2,1
27045,2,30,2,32,4,1
27677,2,48,1,52,3,2
27872,1,30,2,43,3,2
28405,1,82,2,23,7,1
28517,1,29,2,60,4,2
29401,2,22,2,33,3,1
29407,1,22,2,32,5,1
29528,1,49,2,54,6,5
