TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
1,18,1,28,7,4,4,598
1,26,2,28,1,3,1,593
1,51,2,48,2,3,1,101
1,69,1,40,7,1,1,354
1,57,1,61,5,4,2,101
1,24,2,57,5,4,1,101
1,54,2,28,4,4,2,587
1,42,1,15,2,1,4,101
1,57,1,2,3,3,4,101
1,58,1,14,1,3,2,101
1,18,1,28,2,4,2,101
1,58,1,60,2,5,4,101
1,46,2,50,5,2,3,101
1,72,1,42,7,3,1,464
1,50,1,3,3,1,2,101
1,42,2,47,7,4,4,101
1,70,2,40,4,3,4,101
1,18,2,28,5,4,1,101
1,58,1,23,2,4,2,101
1,47,1,45,5,1,1,101
1,43,1,49,1,5,1,510
1,46,2,13,7,1,4,101
1,69,1,62,1,3,1,101
1,41,2,5,2,3,3,101
1,59,1,9,7,3,1,101
1,72,2,2,4,1,4,294
1,49,2,48,4,5,3,101
1,69,2,62,2,5,3,101
1,72,2,18,4,5,2,292
1,22,2,54,1,2,2,540
1,33,1,27,3,3,1,101
1,72,2,0,6,1,1,101
1,44,1,28,7,1,4,101
1,22,1,54,7,2,4,101
1,43,2,37,5,3,2,101
1,45,2,6,1,3,4,101
1,20,2,54,5,1,4,101
1,69,2,37,6,1,3,101
1,30,1,29,5,1,3,101
1,53,2,61,5,5,2,455
1,20,1,1,3,5,3,101
1,49,2,3,5,1,4,335
1,44,1,45,6,1,4,101
1,53,1,15,6,1,1,290
1,68,2,25,4,4,1,101
1,54,1,32,5,1,2,101
1,69,1,0,4,3,1,101
1,84,1,61,7,1,1,506
1,18,1,1,7,1,2,101
1,39,2,61,6,2,3,101
1,36,1,27,7,3,4,101
1,36,2,0,6,2,4,101
1,62,1,25,2,5,2,544
1,44,1,50,4,1,2,101
1,82,1,27,3,4,4,101
1,52,2,23,2,3,4,101
1,45,2,6,4,2,3,101
1,67,2,27,6,3,4,101
1,41,1,28,4,2,1,101
1,65,2,54,1,4,4,101
1,26,2,28,5,5,1,285
1,69,2,37,6,3,1,101
1,26,2,59,5,5,1,101
1,41,1,29,5,2,4,499
1,18,2,9,4,5,3,101
1,58,2,8,4,1,4,101
1,77,1,37,6,1,3,458
1,55,2,42,5,2,3,101
1,20,2,1,7,1,4,292
1,44,2,54,2,1,1,333
1,64,2,5,4,2,1,101
1,53,1,53,3,3,1,575
