EF10,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
2,1,3,30,4,70
2,1,3,14,4,101
2,2,3,25,4,83
2,1,3,15,4,101
2,2,3,31,4,95
2,2,6,16,1,101
2,2,5,14,1,101
2,2,6,16,1,101
2,2,6,14,1,101
2,2,6,16,4,101
2,2,6,14,1,101
2,1,3,17,1,101
2,2,3,14,4,101
2,2,5,17,4,101
2,1,5,14,4,101
2,1,6,17,1,101
2,1,6,14,1,101
2,1,3,17,1,101
2,1,5,16,2,101
2,2,3,17,1,101
2,1,3,16,1,101
2,2,6,17,1,101
1,2,3,16,1,101
1,1,1,18,4,101
2,1,1,17,1,101
1,2,1,18,2,101
1,2,4,17,1,101
2,1,6,18,1,101
1,1,1,17,1,101
2,2,1,18,1,101
1,2,1,17,2,101
2,2,6,18,2,101
2,1,4,17,1,101
2,2,6,18,2,101
1,2,5,17,4,101
2,1,1,18,3,101
2,1,4,18,1,101
1,1,2,20,3,101
1,1,2,18,3,101
1,1,4,20,3,101
1,1,2,18,2,101
1,1,2,20,3,101
1,1,2,18,4,101
1,2,2,20,3,101
1,1,4,18,3,101
1,1,2,20,1,101
1,2,7,18,3,101
2,1,5,20,3,101
1,2,2,18,1,101
2,1,2,20,3,101
1,1,4,18,4,101
1,2,2,20,3,101
2,2,2,18,1,101
2,2,5,20,3,101
1,1,2,18,1,101
1,1,2,20,1,101
2,1,4,18,1,101
2,1,4,20,1,101
1,1,4,19,1,101
1,2,2,20,3,101
1,1,4,19,4,101
1,1,7,20,1,101
1,2,2,20,2,101
1,1,2,20,1,101
1,2,5,20,3,101
2,2,2,20,3,101
1,1,2,20,3,101
2,1,4,20,3,101
1,2,4,20,3,101
2,2,5,21,3,101
1,2,5,20,1,101
2,1,7,21,2,101
1,2,5,20,3,101
1,2,3,21,3,101
1,2,3,20,1,101
1,1,7,21,4,101
1,2,3,20,3,101
2,1,3,21,3,101
1,2,5,20,1,101
2,1,7,21,2,101
2,2,7,20,2,101
1,1,3,21,3,101
1,2,3,20,3,101
1,2,7,21,3,101
2,2,3,20,3,101
1,1,3,21,3,101
2,2,3,21,2,101
1,2,5,21,4,101
2,2,3,21,2,101
1,2,5,21,4,101
2,2,3,21,3,101
2,2,7,22,2,101
1,1,7,22,2,101
2,1,7,22,3,101
2,2,3,24,1,101
2,2,4,25,2,101
1,2,3,24,4,101
1,2,3,25,2,101
1,2,3,24,4,101
2,2,4,25,3,101
2,2,6,25,3,101
1,2,1,26,4,101
1,1,1,27,3,101
2,1,1,26,3,101
1,2,1,27,4,101
1,2,1,27,4,101
1,2,1,28,2,101
2,2,1,27,4,101
1,2,1,28,4,101
2,2,1,27,1,101
1,2,6,29,4,101
1,1,7,29,4,101
2,1,6,30,3,101
2,1,7,29,3,101
1,1,7,30,2,101
1,1,5,29,2,101
1,1,5,30,2,101
1,2,4,29,2,101
1,1,6,30,2,101
1,1,6,29,2,101
1,1,6,30,2,101
2,2,5,29,3,101
1,1,7,30,2,101
1,1,5,29,2,101
2,1,7,30,3,101
2,1,7,29,1,101
2,2,5,31,1,101
2,1,6,30,4,101
2,1,3,25,3,146
2,1,5,30,3,101
2,2,3,19,3,151
1,2,4,30,2,101
2,1,3,27,4,159
2,1,7,30,4,101
2,2,5,30,3,185
2,1,4,31,3,101
2,2,5,24,3,187
2,2,5,24,3,151
2,2,5,29,3,189
2,2,5,21,3,159
2,2,5,30,3,249
2,2,1,32,2,101
2,2,1,32,2,101
2,2,1,32,2,101
2,2,1,32,2,101
2,1,1,32,2,101
1,2,1,33,2,101
2,1,6,32,3,101
2,1,1,33,4,101
2,1,6,32,2,101
2,2,2,35,2,101
2,2,2,32,2,101
2,1,2,35,2,101
2,1,2,33,2,101
2,1,2,35,4,101
2,2,2,33,4,101
2,2,2,35,4,101
2,2,6,33,2,101
2,1,2,35,4,101
2,1,2,33,2,101
2,2,2,35,4,101
2,2,2,35,4,101
1,2,2,35,1,101
2,2,2,35,4,101
2,1,3,36,3,101
2,2,3,35,3,101
2,1,3,36,4,101
1,1,5,35,1,101
2,1,5,36,3,101
1,1,5,36,3,101
1,2,3,36,3,101
1,1,5,36,3,101
2,1,3,36,1,101
2,1,5,36,4,101
1,1,5,37,1,101
1,1,5,36,3,101
2,1,5,37,1,101
1,1,5,37,3,101
2,2,5,37,4,101
2,2,5,39,3,101
2,2,3,39,3,101
2,1,3,39,3,101
1,1,3,39,3,101
2,1,3,39,3,101
2,2,3,39,1,101
2,1,6,40,1,101
1,1,2,40,2,101
2,2,2,40,2,101
2,2,2,40,2,101
