EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
2018,2012,1,3,14,3,70
2018,2014,1,3,14,3,101
2018,2010,2,3,25,3,81
2018,2013,2,3,15,3,101
2018,2014,2,3,25,3,89
2018,2003,1,3,16,3,101
2018,1980,2,3,14,3,101
2018,2000,1,3,16,1,101
2018,2001,1,3,14,1,101
2018,2002,2,7,16,1,101
2018,1960,2,7,15,1,101
2018,1967,2,3,16,2,101
2018,1970,1,3,15,3,101
2018,2010,1,7,16,4,101
2018,1962,2,5,15,2,101
2018,1961,2,5,17,1,101
2018,1962,2,6,16,3,101
2018,2008,2,6,17,3,101
2018,2006,1,6,17,4,101
2018,1977,1,7,17,3,101
2018,1988,2,4,17,1,101
2018,1991,2,5,18,3,101
2018,1991,2,6,17,1,101
2018,2009,2,1,18,4,101
2018,1967,2,4,17,4,101
2018,2004,1,4,18,1,101
2018,2009,2,6,18,4,101
2018,1966,1,6,18,4,101
2018,1960,2,6,18,2,101
2018,1965,2,4,18,2,101
2018,2011,2,4,18,3,101
2018,1961,2,1,18,3,101
2018,1963,2,5,18,4,101
2018,2003,1,5,18,3,101
2018,1961,2,4,18,3,101
2018,2010,1,1,18,4,101
2018,1981,2,1,18,4,101
2018,1979,2,4,18,3,101
2018,1980,2,6,18,4,101
2018,1982,2,1,18,4,101
2018,1988,2,1,19,1,101
2018,1964,1,4,18,4,101
2018,1981,2,7,19,1,101
2018,1967,1,6,18,4,101
2018,1957,2,1,19,1,101
2018,1995,2,6,18,3,101
2018,1986,1,6,19,2,101
2018,1991,1,2,20,3,101
2018,1982,2,2,20,1,101
2018,1972,1,4,20,3,101
2018,1991,2,7,20,1,101
2018,1960,1,5,20,4,101
2018,2006,1,7,20,3,101
2018,1986,1,2,20,1,101
2018,1964,1,2,20,3,101
2018,1990,2,5,20,3,101
2018,1988,1,7,20,3,101
2018,1994,2,5,20,3,101
2018,1973,1,7,20,1,101
2018,1997,2,4,20,1,101
2018,1982,2,7,20,2,101
