EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4
2018,1958,2
2018,1958,2
2018,1958,2
2018,1958,2
2018,1958,2
2018,1958,2
2018,1959,2
2018,1959,2
2018,1959,2
2018,1959,2
2018,1959,2
2018,1959,2
2018,1959,2
2018,1959,2
2018,1956,2
2018,1956,2
2018,1956,2
2018,1956,2
2018,1956,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1957,2
2018,1955,2
2018,1955,2
2018,1955,2
2018,1955,2
2018,1955,2
2018,1955,2
2018,1955,2
2018,1955,2
2018,1955,2
2018,1955,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1960,2
2018,1961,2
2018,1961,2
2018,1961,2
2018,1963,2
2018,1963,2
2018,1963,2
2018,1963,2
2018,1963,2
2018,1963,2
2018,1963,2
2018,1963,2
2018,1963,2
2018,1963,2
2018,1962,2
2018,1962,2
2018,1962,2
2018,1962,2
2018,1962,2
2018,1962,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1964,2
2018,1965,2
2018,1965,2
2018,1965,2
2018,1965,2
2018,1965,2
2018,1965,2
2018,1965,2
2018,1965,2
2018,1965,2
2018,1965,2
2018,1966,2
2018,1966,2
2018,1966,2
2018,1966,2
2018,1966,2
2018,1966,2
2018,1966,2
2018,1966,2
2018,1967,2
2018,1967,2
2018,1967,2
2018,1967,2
2018,1967,2
2018,1967,2
2018,1967,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1974,2
2018,1975,2
2018,1975,2
2018,1975,2
2018,1975,2
2018,1975,2
2018,1975,2
2018,1975,2
2018,1975,2
2018,1975,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1972,2
2018,1973,2
2018,1973,2
2018,1973,2
2018,1973,2
2018,1973,2
2018,1973,2
2018,1973,2
2018,1973,2
2018,1973,2
2018,1971,2
2018,1971,2
2018,1971,2
2018,1971,2
2018,1971,2
2018,1971,2
2018,1971,2
2018,1971,2
2018,1970,2
2018,1970,2
2018,1970,2
2018,1970,2
2018,1970,2
2018,1970,2
2018,1970,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1968,2
2018,1969,2
2018,1969,2
2018,1969,2
2018,1969,2
2018,1969,2
2018,1969,2
2018,1969,2
2018,1969,2
2018,1979,2
2018,1979,2
2018,1979,2
2018,1979,2
2018,1979,2
2018,1978,2
2018,1979,2
2018,1979,2
2018,1978,2
2018,1979,2
2018,1979,2
2018,1977,2
2018,1977,2
2018,1977,2
2018,1977,2
2018,1977,2
2018,1977,2
2018,1977,2
2018,1976,2
2018,1976,2
2018,1976,2
2018,1976,2
2018,1976,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1982,2
2018,1983,2
2018,1983,2
2018,1983,2
2018,1983,2
2018,1983,2
2018,1983,2
2018,1980,2
2018,1980,2
2018,1980,2
2018,1980,2
2018,1980,2
2018,1980,2
2018,1980,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1981,2
2018,1959,1
2018,1959,1
2018,1959,1
2018,1959,1
2018,1959,1
2018,1959,1
2018,1959,1
2018,1959,1
2018,1959,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1958,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1956,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1962,1
2018,1961,1
2018,1961,1
2018,1961,1
2018,1961,1
2018,1961,1
2018,1960,1
2018,1960,1
2018,1960,1
2018,1960,1
2018,1960,1
2018,1960,1
2018,1960,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1965,1
2018,1964,1
2018,1964,1
2018,1965,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1966,1
2018,1972,1
2018,1972,1
2018,1972,1
2018,1972,1
2018,1972,1
2018,1972,1
2018,1972,1
2018,1972,1
2018,1972,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1975,1
2018,1975,1
2018,1975,1
2018,1975,1
2018,1975,1
2018,1975,1
2018,1975,1
2018,1975,1
2018,1975,1
2018,1974,1
2018,1974,1
2018,1974,1
2018,1974,1
2018,1974,1
2018,1968,1
2018,1968,1
2018,1968,1
2018,1968,1
2018,1968,1
2018,1968,1
2018,1968,1
2018,1970,1
2018,1970,1
2018,1970,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1971,1
2018,1981,1
2018,1981,1
2018,1981,1
2018,1981,1
2018,1981,1
2018,1981,1
2018,1981,1
2018,1981,1
2018,1981,1
2018,1981,1
2018,1980,1
2018,1980,1
2018,1980,1
2018,1980,1
2018,1980,1
2018,1980,1
2018,1980,1
2018,1982,1
2018,1983,1
2018,1982,1
2018,1982,1
2018,1982,1
2018,1982,1
2018,1982,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1977,1
2018,1976,1
2018,1976,1
2018,1976,1
2018,1976,1
2018,1976,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1979,1
2018,1999,1
2018,1999,1
2018,1999,1
2018,1999,1
2018,1999,1
2018,1999,1
2018,1999,1
2018,1998,1
2018,1998,1
2018,1998,1
2018,1998,1
2018,1998,1
2018,1998,1
2018,1998,1
2018,1998,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1997,1
2018,1996,1
2018,1996,1
2018,1996,1
2018,1996,1
2018,1996,1
2018,1996,1
2018,1996,1
2018,1996,1
2018,1996,1
