EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
2018,1956,2,3
2018,1956,2,3
2018,1956,2,3
2018,1957,2,3
2018,1957,2,3
2018,1957,2,3
2018,1957,2,3
2018,1957,2,3
2018,1960,2,3
2018,1960,2,3
2018,1961,2,3
2018,1960,2,3
2018,1960,2,3
2018,1960,2,3
2018,1960,2,3
2018,1960,2,3
2018,1967,2,3
2018,1966,2,3
2018,1966,2,3
2018,1966,2,3
2018,1966,2,3
2018,1966,2,3
2018,1966,2,3
2018,1967,2,3
2018,1967,2,3
2018,1967,2,3
2018,1966,2,3
2018,1966,2,3
2018,1966,2,3
2018,1966,2,3
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1957,2,2
2018,1963,2,2
2018,1963,2,2
2018,1963,2,2
2018,1963,2,2
2018,1963,2,2
2018,1963,2,2
2018,1962,2,2
2018,1962,2,2
2018,1962,2,2
2018,1963,2,2
2018,1963,2,2
2018,1963,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1968,2,2
2018,1973,2,2
2018,1973,2,2
2018,1972,2,2
2018,1972,2,2
2018,1972,2,2
2018,1972,2,2
2018,1973,2,2
2018,1973,2,2
2018,1972,2,2
2018,1972,2,2
2018,1972,2,2
2018,1982,2,2
2018,1980,2,2
2018,1980,2,2
2018,1981,2,2
2018,1977,2,2
2018,1977,2,2
2018,1977,2,2
2018,1979,2,2
2018,1979,2,2
2018,1979,2,2
2018,1977,2,2
2018,1979,2,2
2018,1977,2,2
2018,1977,2,2
2018,1982,2,3
2018,1982,2,3
2018,1983,2,3
2018,1982,2,3
2018,1981,2,3
2018,1981,2,3
2018,1981,2,3
2018,1983,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1969,2,3
2018,1968,2,3
2018,1968,2,3
2018,1968,2,3
2018,1968,2,3
2018,1968,2,3
2018,1969,2,3
2018,1969,2,3
2018,1975,2,3
2018,1975,2,3
2018,1972,2,1
2018,1972,2,1
2018,1972,2,1
2018,1972,2,1
2018,1972,2,1
2018,1972,2,1
2018,1972,2,1
2018,1974,2,1
2018,1975,2,1
2018,1975,2,1
2018,1974,2,1
2018,1974,2,1
2018,1975,2,1
2018,1974,2,1
2018,1968,2,1
2018,1968,2,1
2018,1968,2,1
2018,1968,2,1
2018,1968,2,1
2018,1968,2,1
2018,1968,2,1
2018,1968,2,1
2018,1968,2,1
2018,1968,2,1
2018,1983,2,1
2018,1983,2,1
2018,1983,2,1
2018,1983,2,1
2018,1983,2,1
2018,1983,2,1
2018,1983,2,1
2018,1981,2,1
2018,1981,2,1
2018,1981,2,1
2018,1981,2,1
2018,1981,2,1
2018,1981,2,1
2018,1964,2,1
2018,1964,2,1
2018,1964,2,1
2018,1964,2,1
2018,1964,2,1
2018,1965,2,1
2018,1967,2,1
2018,1966,2,1
2018,1966,2,1
2018,1966,2,1
2018,1966,2,1
2018,1966,2,1
2018,1962,2,1
2018,1962,2,1
2018,1962,2,1
2018,1962,2,1
2018,1963,2,1
2018,1963,2,1
2018,1962,2,1
2018,1962,2,1
2018,1962,2,1
2018,1958,2,1
2018,1958,2,1
2018,1958,2,1
2018,1957,2,1
2018,1957,2,1
2018,1975,2,4
2018,1975,2,4
2018,1975,2,4
2018,1974,2,4
2018,1974,2,4
2018,1974,2,4
2018,1974,2,4
2018,1974,2,4
2018,1972,2,4
2018,1972,2,4
2018,1972,2,4
2018,1972,2,4
2018,1968,2,4
2018,1968,2,4
2018,1968,2,4
2018,1968,2,4
2018,1968,2,4
2018,1970,2,4
2018,1970,2,4
2018,1970,2,4
2018,1971,2,4
2018,1971,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1982,2,4
2018,1983,2,4
2018,1983,2,4
2018,1983,2,4
2018,1983,2,4
2018,1983,2,4
2018,1960,2,4
2018,1960,2,4
2018,1960,2,4
2018,1960,2,4
2018,1960,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1965,2,4
2018,1957,2,4
2018,1957,2,4
2018,1957,2,4
2018,1957,2,4
2018,1957,2,4
2018,1958,2,4
2018,1957,2,4
2018,1957,2,4
2018,1957,2,4
2018,1957,2,4
2018,1957,2,4
2018,1957,2,4
2018,1957,2,4
2018,1959,1,2
2018,1959,1,2
2018,1959,1,2
2018,1959,1,2
2018,1959,1,2
2018,1959,1,2
2018,1959,1,2
2018,1962,1,2
2018,1962,1,2
2018,1963,1,2
2018,1963,1,2
2018,1963,1,2
2018,1963,1,2
2018,1962,1,2
2018,1962,1,2
2018,1962,1,2
2018,1962,1,2
2018,1962,1,2
2018,1972,1,2
2018,1972,1,2
2018,1972,1,2
