EF21H,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
62799.33662539473,2,3,14,1,101
790.2637253024395,1,3,14,1,101
576.2305964550139,1,3,14,1,101
489.4226135025964,2,3,15,3,101
791.441399122068,1,3,14,1,101
488.79848437382856,2,5,16,1,101
679.6230108422803,1,3,14,1,101
559.4047957506989,2,3,16,1,101
588.6535755489114,2,5,14,1,101
577.2878702815653,2,3,16,1,101
679.6230108422803,2,3,14,1,101
868.5786775878097,1,3,16,3,101
814.7684387784601,2,6,14,1,101
1225.755100497037,1,6,16,3,101
489.6662556518821,1,6,15,3,101
1219.967879616252,1,3,16,3,101
489.6662556518821,1,6,15,3,101
1219.967879616252,2,6,18,3,101
167.10576665366173,2,1,16,1,101
376.2446298405031,2,1,18,1,101
230.76393128391544,2,1,16,1,101
868.2327440824382,2,1,18,1,101
327.42156470711586,1,1,17,1,101
376.2446298405031,1,6,18,1,101
238.20308769159976,1,5,17,1,101
64618.27481500672,1,1,18,2,101
678.7840623327062,1,6,18,4,101
866.9523115791383,1,6,18,3,101
431.4461314151937,1,4,18,2,101
64598.12726521031,2,6,18,2,101
919.7734085187816,1,6,18,4,101
62290.2729880703,1,1,18,2,101
645.075609353231,1,6,18,3,101
345.91010616383375,2,4,19,4,101
63041.479992903354,1,5,18,2,101
278.5035669422753,1,2,20,2,101
743.6310087532651,1,4,18,4,101
277.48306216196096,1,5,20,2,101
347.4920857472788,2,7,18,3,101
68.74328037864669,2,2,20,3,101
810.1079033261897,2,2,18,3,101
277.6097791481705,1,5,20,3,101
734.8158595354115,1,4,18,1,101
71.43663443963277,2,2,20,3,101
645.2387665347966,2,7,19,4,101
350.39382140312097,2,4,20,4,101
63781.615681636555,2,2,19,1,101
345.3108208709364,2,2,20,4,101
650.4703952137423,2,2,19,4,101
1168.5323398184696,1,4,20,3,101
469.0814325271787,2,5,20,1,101
862.4288363909557,1,7,20,1,101
1082.7840003303502,1,5,20,1,101
1283.3181495364938,2,2,20,3,101
860.4130768941812,2,4,20,3,101
857.6778739994104,2,2,20,3,101
1979.3271397202045,2,5,20,3,101
464.3388269157,1,2,20,1,101
860.7950052500989,2,5,20,3,101
863.808229390589,2,2,20,3,101
871.4885576200402,1,2,20,3,101
1168.2157567588856,2,4,20,3,101
438.9619244055419,1,2,20,4,101
864.0985762269454,2,5,20,4,101
1979.7648751243344,1,2,20,2,101
861.0632273069506,2,5,20,3,101
436.1205071679265,1,4,20,4,101
870.4787607579913,1,2,20,3,101
1468.8908367651234,1,4,20,1,101
1456.0470978897526,1,4,20,2,101
858.1092147220655,1,4,20,3,101
1503.5417701588622,2,7,20,3,101
1502.6630596834245,2,2,21,2,101
868.5568124718741,2,2,20,2,101
1270.5019400600988,2,7,21,2,101
54.452696129961154,2,2,20,4,101
863.8384178600685,2,7,21,3,101
1268.4257390083696,2,7,21,2,101
1497.2696476090414,2,7,21,3,101
1489.5897673859415,2,3,21,3,101
1268.7958225426996,2,3,21,2,101
51.61351031350719,2,5,21,4,101
1269.069492481279,2,3,21,2,101
1271.7390286475002,2,7,21,1,101
652.1428312667009,2,3,24,4,101
46.76604971423872,2,3,21,4,101
1259.5512491961654,1,3,24,1,101
45.31519186932084,2,3,21,4,101
649.8711072325253,1,7,24,4,101
46.940079241616374,2,7,21,4,101
43.78952333436162,2,3,24,4,101
641.5335368538603,1,5,21,4,101
678.9782398353018,2,3,25,4,101
311.2032696978506,1,5,21,4,101
4070.993054082924,1,3,25,1,101
678.5174849134168,1,7,21,4,101
54.165311472904115,1,3,26,4,101
678.347487653895,2,7,22,4,101
309.15877781926054,1,4,27,4,101
309.9864486612634,1,5,24,4,101
146.67570428655932,2,5,28,3,101
722.6202015645928,2,5,24,3,101
380.934118156413,2,4,28,3,101
318.9680942768181,2,5,24,2,101
489.20851334782856,2,7,29,3,101
626.6483949817342,2,4,24,3,101
687.7560410706321,2,3,29,3,101
679.4796870153614,2,3,25,3,101
676.052549514802,2,1,29,3,101
220.27861644471724,1,5,26,2,101
677.787990887166,1,6,30,3,101
162.19778492247,1,5,26,2,101
279.9394497548503,1,6,30,2,101
312.8938048820633,1,1,27,3,101
2988.5659422888193,1,6,30,1,101
312.0203402946012,2,7,27,2,101
677.0836484989701,1,1,30,3,101
687.1103683063762,1,1,27,3,101
315.37863802594745,2,1,30,2,101
198.04061477848018,2,1,27,2,101
568.663960067072,1,6,30,3,101
678.3801140301184,1,1,27,3,101
312.0522042567535,1,1,30,2,101
3723.3120485135632,2,1,27,1,101
5907.27534545706,1,4,29,1,130
847.2017370996928,1,7,28,1,101
690.7307015632159,1,7,25,3,146
862.2110789776017,1,3,29,3,101
789.535074405955,1,6,24,3,158
180.69407016900072,2,3,29,3,101
815.6418692601154,1,3,25,3,158
159.17779229138793,1,6,30,3,101
785.8558343780209,1,4,29,3,158
812.3482154327825,2,6,30,3,101
808.1193340512882,2,5,25,3,159
813.5727806207144,1,3,30,3,101
791.6710897451269,2,3,20,3,187
6600.930193004623,2,5,21,1,136
6341.79572107461,2,5,26,1,196
3988.038898431005,2,5,20,1,191
421.63241942856166,2,5,31,1,215
7334.34152146985,2,5,20,1,249
619.6999255047183,2,6,32,2,101
274.68666109360674,1,1,32,2,101
213.81236236074918,2,1,32,2,101
469.0005171448328,1,1,33,2,101
102.27845347800755,2,6,32,2,101
205.57022890740083,2,1,33,3,101
195.12153144113546,2,1,32,3,101
646.2195181456835,2,2,35,3,101
654.0397043493523,2,1,32,4,101
183.23744232137972,1,2,35,4,101
679.3851022113282,2,2,32,4,101
180.1120363297883,1,2,35,4,101
182.4543881601133,1,2,32,4,101
467.47292704542707,1,2,35,2,101
194.02761716290007,1,2,32,3,101
69.36209264199351,1,2,35,3,101
279.62566961511624,1,2,32,2,101
70.29836688107538,1,6,35,3,101
376.5741905354614,2,2,33,2,101
380.2454295116828,2,2,35,2,101
528.4982835681116,2,5,33,2,101
535.9902874201533,2,5,36,2,101
609.0822026254106,1,5,33,2,101
731.6567283808434,1,3,36,1,101
178.5516782775018,2,5,34,2,101
621.070625455212,2,5,36,2,101
731.9349425189494,2,3,35,1,101
430.9729036087716,1,3,36,3,101
396.14679129649636,2,3,35,1,101
630.1155125670142,2,3,36,4,101
624.9464786071524,1,3,35,4,101
647.959713149258,2,5,37,2,101
322.0419259077151,1,5,35,1,101
381.1993079121374,2,5,37,2,101
534.9249470255575,2,5,35,2,101
626.6569315868339,2,3,39,4,101
905.0727661077265,2,3,36,4,101
324.94387222663954,1,3,39,1,101
1117.891213726154,1,6,36,3,101
533.2009383315897,1,6,40,3,101
