EF21,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
179191,1,3,18,3,77
168234,1,3,14,3,101
5129,2,3,14,2,101
56373,2,3,15,1,101
56178,2,3,14,1,101
324161,1,5,16,2,101
107563,1,6,14,3,101
167747,2,5,16,3,101
286797,2,5,14,4,101
381687,1,3,16,1,101
163274,2,5,14,1,101
354630,1,3,16,3,101
283992,2,3,16,1,101
314647,1,6,16,1,101
352410,1,6,17,4,101
315408,1,6,16,3,101
283736,1,6,17,1,101
285101,2,6,17,4,101
316174,2,6,17,3,101
199224,2,3,17,2,101
287517,2,6,18,3,101
37215,2,6,17,4,101
147017,2,6,18,3,101
287342,1,3,17,1,101
172671,1,6,18,2,101
107802,1,3,17,3,101
163771,1,1,18,4,101
311459,2,4,18,3,101
259115,2,1,18,3,101
340317,1,1,18,4,101
145603,2,1,18,3,101
311673,2,4,18,2,101
311240,1,4,18,3,101
51587,1,1,18,4,101
38405,1,7,18,4,101
205668,2,7,19,2,101
316948,2,1,18,3,101
7229,2,1,19,2,101
119548,2,4,18,3,101
89400,1,7,20,2,101
113888,1,5,18,3,101
354180,2,2,20,3,101
353929,2,2,19,3,101
311619,1,4,20,2,101
23053,2,5,19,4,101
311459,1,2,20,2,101
159895,2,2,19,2,101
107530,1,4,20,3,101
37600,1,5,19,4,101
5352,2,5,20,3,101
59606,1,2,20,1,101
114808,2,2,20,1,101
52055,2,2,20,2,101
198147,1,2,20,2,101
179379,2,7,20,2,101
66254,2,2,20,2,101
302470,2,2,20,1,101
53182,2,5,20,4,101
160717,2,5,20,2,101
310468,1,2,20,3,101
115423,2,5,20,3,101
223806,1,7,20,2,101
53229,1,4,20,4,101
364646,1,4,20,1,101
160011,2,4,20,2,101
50752,1,2,20,1,101
317911,2,4,20,3,101
323926,2,2,20,1,101
107882,1,5,20,3,101
153734,2,2,20,1,101
324141,2,2,20,1,101
15529,1,5,20,2,101
223803,2,7,20,2,101
198917,1,4,20,2,101
341338,1,4,20,1,101
351405,1,3,21,1,101
341660,1,7,20,4,101
22538,1,3,21,4,101
17375,1,3,20,3,101
301856,2,7,21,1,101
1120,2,3,21,3,101
198285,2,3,21,2,101
197325,2,7,21,2,101
342,2,5,21,3,101
311534,1,7,21,3,101
42846,1,3,21,4,101
311497,2,3,21,3,101
185132,2,3,21,4,101
17722,2,2,21,1,101
148580,2,3,21,1,101
101942,1,2,21,2,101
168479,2,7,21,1,101
198194,1,3,22,2,101
61299,2,5,21,1,101
198576,2,2,24,2,101
390830,2,3,21,4,101
199468,2,7,24,3,101
41523,2,7,22,4,101
148651,2,5,24,1,101
1707,2,3,24,4,101
323274,2,5,25,3,101
198433,1,5,24,1,101
17064,1,5,26,3,101
1939,1,3,24,4,101
165063,2,3,26,3,101
93881,1,3,24,1,101
113197,2,6,26,3,101
306807,1,5,24,4,101
224088,1,3,26,1,101
255296,1,3,25,3,101
205885,1,1,27,2,101
390967,2,1,26,4,101
205183,1,4,27,4,101
153993,2,1,26,1,101
581,2,1,28,4,101
390042,2,1,26,4,101
360567,2,1,28,1,101
199167,2,1,26,2,101
1664,2,1,29,4,101
223873,1,1,27,1,101
165837,2,1,30,3,101
160345,2,4,29,3,101
18210,1,4,30,1,101
202766,1,4,29,3,101
161294,1,6,30,1,101
197876,1,5,29,2,101
197413,2,6,30,2,101
231298,1,6,29,3,101
390200,1,5,30,4,101
231319,1,4,30,3,101
