LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL4,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
3,2,2,14,3,101
3,2,3,14,1,101
3,1,4,14,3,101
3,2,3,14,3,101
3,1,4,14,3,101
3,2,6,14,1,101
4,1,4,15,1,101
4,2,7,14,3,101
3,2,3,16,1,101
5,2,7,14,3,101
4,2,3,16,1,101
3,2,6,14,1,101
1,2,6,16,1,101
5,1,5,14,1,101
3,2,3,16,1,101
3,2,6,14,1,101
3,1,4,17,3,101
1,2,5,16,2,101
5,1,5,17,1,101
2,1,5,16,2,101
1,1,7,17,1,101
5,2,2,17,2,101
3,1,4,17,1,101
4,1,2,17,1,101
5,2,1,17,1,101
1,2,1,17,1,101
5,2,7,17,1,101
1,2,1,17,1,101
1,1,5,18,3,101
2,1,7,18,3,101
2,2,5,18,2,101
1,1,4,18,3,101
5,2,7,18,3,101
1,1,5,18,4,101
4,2,1,18,3,101
2,2,6,18,4,101
1,1,2,18,4,101
5,2,3,18,3,101
1,2,5,18,3,101
1,2,6,18,2,101
4,1,4,18,4,101
2,2,5,18,4,101
1,2,6,19,3,101
4,1,7,18,2,101
3,1,2,20,3,101
2,1,3,18,2,101
4,2,5,20,2,101
1,1,5,18,4,101
1,1,7,20,3,101
3,1,2,19,4,101
3,2,1,20,3,101
3,2,7,20,3,101
3,1,2,20,3,101
3,1,2,20,3,101
4,2,7,20,3,101
4,1,5,20,1,101
3,2,2,20,3,101
2,1,2,20,3,101
3,1,3,20,3,101
3,1,2,20,2,101
3,2,3,20,4,101
1,1,2,20,1,101
5,2,3,20,3,101
4,1,5,20,3,101
1,2,3,20,3,101
3,2,5,20,2,101
1,2,7,20,3,101
1,2,3,20,4,101
3,1,3,20,3,101
3,1,2,20,2,101
1,2,1,20,4,101
1,2,5,20,3,101
1,1,5,20,2,101
4,1,2,20,4,101
3,2,7,20,4,101
2,1,5,20,3,101
4,2,5,21,3,101
4,2,3,20,1,101
4,2,3,21,1,101
4,2,5,21,1,101
2,2,3,21,1,101
4,1,7,21,4,101
1,2,3,21,1,101
1,2,5,21,1,101
3,2,3,21,1,101
4,2,3,21,1,101
1,2,5,21,4,101
4,1,7,22,2,101
4,2,1,24,2,101
4,2,3,24,4,101
4,2,3,24,4,101
4,1,7,24,4,101
2,2,5,24,4,101
4,1,2,25,4,101
4,2,3,24,4,101
4,1,3,25,4,101
2,2,1,25,4,101
2,1,1,26,4,101
2,1,7,26,4,101
3,1,1,26,4,101
2,1,1,26,4,101
3,1,1,27,4,101
2,1,3,26,4,101
4,1,1,27,4,101
4,2,6,27,3,101
3,2,4,28,3,101
3,1,2,28,2,101
3,2,1,28,2,101
3,2,5,28,2,101
5,1,7,29,3,101
2,1,7,29,2,101
5,2,4,30,2,101
4,1,7,29,3,101
4,1,7,30,2,101
5,1,3,29,3,101
3,1,3,30,2,101
2,2,6,29,3,101
2,1,1,30,3,101
3,2,6,29,3,101
3,1,7,30,2,101
2,2,1,29,3,101
3,2,4,30,3,101
4,2,4,30,3,101
4,1,7,30,2,101
4,2,6,30,3,101
5,2,4,24,3,130
3,2,4,30,3,101
4,1,1,26,3,145
3,2,4,30,3,101
3,1,1,26,3,146
4,2,4,18,3,151
5,1,7,26,3,148
5,2,4,20,3,160
4,1,3,24,3,158
4,2,2,28,1,190
4,1,3,20,1,194
5,2,4,30,1,239
4,2,2,24,1,249
3,2,6,32,1,101
3,2,1,32,2,101
5,1,2,32,1,101
3,2,1,32,4,101
5,1,2,32,4,101
3,1,2,32,2,101
3,2,6,32,2,101
5,2,6,32,2,101
3,2,6,32,4,101
3,2,1,32,4,101
3,1,2,33,2,101
5,2,2,33,3,101
3,2,1,34,2,101
5,2,1,33,4,101
5,2,1,34,1,101
1,2,2,33,4,101
1,2,2,35,2,101
3,2,2,33,4,101
2,2,2,35,2,101
1,2,1,34,2,101
3,2,2,35,3,101
2,2,1,35,3,101
1,2,2,35,3,101
1,2,1,35,3,101
2,2,1,35,1,101
2,2,2,35,3,101
1,1,2,35,4,101
3,2,1,35,3,101
2,2,1,35,4,101
1,1,2,35,4,101
1,2,1,35,2,101
3,1,2,34,2,187
3,1,2,35,4,158
3,1,2,35,4,230
3,1,2,35,4,162
2,1,5,36,1,101
2,1,3,36,1,101
5,1,5,36,3,101
2,1,5,36,1,101
2,2,5,36,3,101
4,1,3,37,1,101
2,1,5,36,4,101
2,2,3,37,1,101
5,1,3,37,4,101
4,2,3,37,4,101
2,1,5,37,4,101
4,1,5,39,3,101
2,2,3,37,2,101
5,2,5,39,2,101
2,2,3,37,2,101
4,1,3,39,2,101
4,2,3,39,3,101
4,2,3,39,2,101
4,1,3,39,2,101
2,2,5,39,3,101
2,1,3,39,4,101
4,2,5,39,4,236
3,1,2,40,1,72
4,1,6,40,1,101
4,1,6,40,2,101
4,1,6,40,1,101
4,1,7,40,2,101
4,1,7,40,3,101
4,2,6,40,3,101
4,1,7,40,2,101
4,1,7,40,2,101
4,1,6,40,2,101
4,2,2,40,1,101
4,2,2,41,3,101
2,1,3,41,3,101
4,2,6,41,1,101
3,2,2,41,2,101
3,2,2,41,2,101
4,1,3,41,3,101
2,2,2,41,1,101
4,1,6,41,2,101
4,1,6,41,2,101
4,2,2,41,2,101
4,2,2,41,2,101
3,1,7,41,2,101
3,2,2,41,1,101
4,1,3,41,3,101
3,1,6,41,4,162
3,2,2,41,2,158
3,1,2,43,4,88
3,2,7,42,4,101
2,1,3,42,4,101
2,2,7,43,4,101
3,1,7,43,4,101
1,1,7,43,4,101
1,1,3,43,4,101
1,1,2,43,4,101
1,2,7,43,2,101
1,1,3,42,2,184
2,1,3,43,2,101
1,1,3,43,4,184
1,1,4,43,2,101
1,1,7,43,4,194
1,1,2,46,3,75
1,2,7,44,1,101
5,1,5,44,2,101
1,1,1,44,3,101
1,1,5,44,3,101
5,2,5,44,1,101
1,1,4,44,1,101
5,1,1,44,3,101
3,1,1,44,3,101
1,1,1,45,1,101
1,1,1,44,2,101
1,1,7,45,2,101
5,1,1,44,1,101
1,1,5,45,2,101
5,1,5,44,1,101
1,1,7,45,1,101
5,1,1,44,3,101
1,2,5,46,3,101
5,1,4,45,1,101
3,1,5,46,3,101
5,1,5,45,1,101
1,1,4,46,3,101
3,1,1,45,2,101
3,1,1,46,3,101
3,1,5,45,1,101
5,2,5,46,1,101
3,1,1,46,2,101
3,1,4,47,3,101
5,1,4,46,2,101
5,1,1,47,2,101
3,1,7,46,3,101
3,1,4,47,1,101
3,1,2,46,1,101
3,1,4,47,2,101
5,1,4,46,2,101
3,1,5,47,2,101
5,1,7,46,1,101
3,1,7,47,1,101
3,1,1,46,2,101
3,1,4,44,4,186
5,1,5,46,4,101
3,1,2,44,4,199
4,1,5,48,4,101
2,2,6,49,1,101
4,2,6,49,4,101
4,1,5,49,4,101
3,2,6,49,2,101
2,2,6,49,1,101
4,1,1,49,2,101
4,1,5,49,4,101
4,1,7,49,2,101
3,1,7,50,3,101
3,2,6,49,3,101
3,1,5,50,4,101
2,1,5,49,1,101
3,2,6,50,1,101
1,2,6,50,4,101
1,2,6,50,3,101
5,2,6,50,1,101
5,2,6,50,4,101
1,1,1,50,3,101
5,1,5,50,3,101
4,2,6,50,1,101
5,2,6,50,3,101
1,1,1,51,1,101
5,2,6,51,4,101
5,2,1,51,4,101
5,1,7,51,3,101
3,2,1,51,4,101
4,2,5,51,4,101
1,2,1,51,4,101
4,2,5,51,3,101
3,2,6,51,2,101
3,2,1,51,3,101
1,2,6,51,4,101
4,2,1,51,3,101
4,1,5,48,3,195
4,2,3,51,4,101
4,1,2,52,2,101
3,1,2,52,2,101
1,1,2,52,1,101
2,2,5,52,4,101
1,1,2,52,1,101
5,1,2,52,2,101
3,1,2,52,1,101
2,1,2,52,2,101
1,1,2,52,1,101
3,2,1,52,2,101
3,2,7,53,2,101
2,2,3,52,1,101
5,1,6,53,1,101
4,1,3,53,4,101
1,2,2,53,4,101
2,2,3,53,1,101
1,1,6,53,4,101
3,2,3,53,4,101
5,1,6,54,2,101
1,1,3,53,4,101
4,2,7,54,1,101
1,1,2,53,4,101
4,1,3,54,1,101
4,1,3,53,4,101
4,1,1,54,2,101
4,1,6,54,1,101
4,1,6,54,1,101
4,1,3,54,2,101
4,1,1,54,1,101
1,1,3,54,2,101
3,1,6,55,2,101
3,1,6,55,1,101
4,1,1,56,2,101
4,1,7,58,2,101
5,1,1,57,2,101
2,1,1,58,2,101
5,1,7,58,2,101
1,2,7,58,2,101
1,2,3,58,2,101
1,1,7,59,4,101
5,2,3,58,4,101
2,2,7,59,4,101
1,1,7,58,4,101
5,2,5,59,4,101
2,2,5,59,4,101
2,1,7,59,4,101
4,2,7,59,4,101
2,2,3,59,4,101
5,2,7,59,4,101
5,1,7,59,4,101
5,2,7,59,4,101
5,2,5,59,2,101
4,2,3,59,4,101
4,2,3,59,4,101
5,2,5,59,2,101
5,2,3,59,4,101
1,2,3,59,2,101
3,2,1,60,3,101
3,1,1,60,1,101
3,2,1,60,1,101
3,2,1,60,1,101
2,2,1,60,1,101
3,2,1,60,1,101
3,2,2,62,1,101
2,1,2,60,1,101
4,2,4,62,1,101
3,2,2,60,1,101
4,2,2,62,3,101
1,2,4,60,1,101
3,1,5,62,3,101
1,2,5,60,3,101
3,2,5,62,1,101
4,1,2,60,1,101
1,2,2,62,1,101
1,2,4,62,3,101
4,2,2,62,2,101
4,2,5,62,2,101
4,2,2,62,3,101
3,2,2,62,2,101
4,1,4,62,2,101
1,2,5,62,3,101
3,2,5,62,4,101
1,2,4,62,2,101
3,2,2,62,3,101
1,2,5,62,2,101
1,2,4,62,2,101
2,1,2,62,2,101
4,1,2,62,2,101
3,2,5,62,2,101
4,1,2,62,2,101
4,2,4,62,2,101
3,2,5,62,2,101
1,1,4,62,2,101
1,2,1,62,2,101
1,2,5,62,2,101
4,1,2,62,2,101
3,2,4,62,3,101
2,2,2,63,4,101
3,2,4,63,4,101
4,2,2,63,4,101
2,2,2,63,4,101
4,1,1,63,3,101
3,1,4,63,4,101
2,1,6,17,3,268
2,1,6,20,3,256
5,1,7,19,3,269
5,2,7,18,3,257
3,2,5,20,3,270
3,2,7,18,3,259
5,1,4,30,3,285
2,1,4,18,3,260
3,2,7,20,3,286
2,1,6,20,3,263
5,2,5,30,4,290
5,1,6,27,4,288
2,2,4,28,2,308
5,2,4,18,1,315
5,2,4,24,2,319
4,2,7,26,2,339
5,2,7,19,2,321
2,2,7,23,2,342
5,2,6,19,2,354
5,2,4,18,2,343
5,1,4,17,2,364
4,2,4,30,2,348
4,2,4,19,4,367
4,2,4,28,2,364
5,2,3,21,2,376
5,2,3,18,1,378
4,2,3,17,1,382
3,2,5,20,4,389
1,2,2,18,4,395
2,1,4,18,4,398
1,2,5,19,4,414
3,1,4,19,1,413
1,1,1,22,1,425
5,1,5,18,1,415
1,1,4,26,4,451
1,1,1,18,4,417
1,2,3,30,4,464
5,1,5,30,4,433
1,2,3,29,1,471
1,1,1,18,1,463
1,2,3,30,1,495
1,2,3,26,4,487
5,2,3,26,1,509
1,2,3,28,4,499
1,2,3,20,4,510
5,1,2,32,3,257
3,2,5,52,3,257
3,1,5,44,3,268
5,1,2,49,1,259
1,2,5,52,4,269
1,1,5,48,1,262
1,2,5,50,1,285
1,2,5,52,3,262
5,1,3,53,4,286
3,2,5,52,3,268
4,1,5,41,1,320
3,2,3,52,3,269
3,1,2,46,4,320
3,2,3,36,2,320
3,1,2,32,1,321
4,1,5,44,1,320
4,2,3,47,4,321
3,1,2,33,1,321
3,1,3,38,1,330
3,1,3,36,1,321
3,2,5,53,2,335
3,2,5,52,1,321
1,1,2,39,1,337
4,1,2,50,3,329
3,2,5,40,3,340
3,2,5,53,1,331
3,1,5,44,2,341
1,2,3,53,3,336
3,2,2,42,3,348
3,2,5,50,1,340
1,1,6,46,2,349
1,2,5,54,1,354
1,2,5,49,2,353
3,1,2,42,4,364
4,1,6,49,4,359
3,2,6,43,2,365
4,1,2,49,1,365
1,1,6,41,2,367
1,1,6,37,3,366
1,2,5,39,2,369
4,2,6,49,2,367
5,1,6,54,1,371
1,2,6,37,4,370
4,2,2,39,2,372
4,1,6,51,1,371
1,2,5,46,1,374
3,2,6,32,4,375
1,1,2,48,4,380
5,1,6,41,4,412
3,1,5,45,3,389
1,1,6,40,4,413
4,1,5,44,1,394
1,2,6,44,4,414
1,1,6,41,3,424
3,1,5,43,3,416
3,1,5,46,3,425
3,1,6,41,4,421
3,1,6,46,4,427
3,1,2,47,1,448
3,1,6,42,1,463
3,1,5,46,3,449
3,1,6,44,3,466
3,2,7,44,3,454
5,2,2,44,3,468
5,2,7,44,4,459
3,1,2,44,3,470
3,2,2,45,4,466
3,1,3,46,1,471
4,2,5,41,1,489
3,1,3,46,1,482
4,1,5,47,1,497
4,2,5,47,1,509
4,1,2,58,2,395
1,2,5,60,2,470
4,2,6,49,2,449
5,1,2,60,2,494
5,1,5,59,2,499
4,1,3,59,2,497
5,1,4,73,1,67
1,1,4,64,4,101
4,1,4,74,4,74
3,1,4,64,4,101
2,1,6,64,1,101
5,1,4,64,2,101
5,1,4,64,2,101
3,1,6,64,4,101
4,1,4,65,1,101
3,1,5,64,4,101
4,1,2,66,4,101
3,2,1,66,4,101
3,1,6,66,1,101
3,1,5,66,1,101
2,2,2,66,4,101
4,1,6,67,1,101
3,1,2,66,2,101
5,1,2,67,2,101
