EF41,TAETIGKEITSSCHLUESSEL4,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
16,2,3,1,101
14,2,3,3,101
16,2,3,1,101
14,2,3,1,101
16,2,3,1,101
14,2,6,1,101
16,2,6,1,101
14,2,3,1,101
17,1,4,1,101
14,1,7,1,101
17,1,7,1,101
15,1,4,3,101
17,1,4,3,101
15,2,7,3,101
17,2,6,3,101
15,2,7,3,101
17,2,7,1,101
16,1,4,1,101
17,1,3,1,101
16,2,1,1,101
18,2,1,1,101
16,1,5,1,101
18,2,6,1,101
17,1,5,1,101
18,2,1,2,101
18,1,4,4,101
18,1,4,2,101
18,1,5,4,101
18,2,7,3,101
18,1,5,4,101
18,1,5,3,101
18,1,5,3,101
18,1,4,2,101
18,1,5,3,101
18,1,5,3,101
18,1,4,3,101
18,1,2,4,101
18,1,2,4,101
18,1,5,4,101
18,2,1,3,101
18,1,5,2,101
18,2,6,3,101
19,2,1,2,101
18,2,2,4,101
20,2,5,2,101
18,2,7,3,101
20,2,2,3,101
18,1,7,2,101
20,2,2,2,101
20,1,7,1,101
20,2,5,3,101
20,2,5,3,101
20,2,2,3,101
20,2,7,4,101
20,1,2,3,101
20,2,5,4,101
20,1,2,3,101
20,1,2,3,101
20,1,2,2,101
20,1,7,4,101
20,1,2,3,101
20,1,2,1,101
20,2,2,3,101
20,1,2,2,101
20,2,1,3,101
20,1,2,3,101
20,1,3,1,101
20,2,5,3,101
20,1,2,3,101
20,1,7,2,101
20,1,2,3,101
20,2,1,2,101
21,1,3,3,101
20,1,2,1,101
21,2,3,4,101
20,2,3,1,101
21,2,3,3,101
20,2,7,3,101
21,2,7,4,101
20,1,3,1,101
21,2,3,1,101
20,2,5,1,101
21,2,3,4,101
21,2,5,1,101
21,2,3,2,101
21,2,3,1,101
21,2,5,1,101
21,2,3,4,101
21,2,3,2,101
24,2,5,4,101
21,2,3,4,101
24,1,2,4,101
21,2,2,4,101
26,2,5,4,101
21,2,6,4,101
26,2,3,4,101
21,2,5,4,101
27,1,7,4,101
22,1,7,4,101
27,2,6,4,101
24,2,1,4,101
27,2,6,4,101
26,1,1,4,101
27,1,1,4,101
26,1,7,3,101
28,2,1,3,101
26,1,7,2,101
29,1,1,2,101
26,2,3,2,101
29,1,1,2,101
26,1,1,3,101
30,2,5,3,101
26,2,5,2,101
30,1,3,3,101
27,2,1,2,101
30,1,1,2,101
27,1,1,2,101
30,2,3,3,101
29,1,2,3,101
30,2,6,3,101
29,1,7,2,101
30,2,4,3,101
29,2,4,3,101
30,2,6,3,101
29,1,7,3,101
24,1,3,3,151
30,1,7,3,101
25,2,6,3,158
30,2,4,3,101
25,2,4,3,158
30,2,4,3,101
30,2,4,3,159
30,2,4,3,101
19,2,4,1,188
30,1,7,3,101
30,1,7,1,192
30,1,2,1,101
28,2,4,1,231
32,1,2,4,101
32,1,2,2,101
32,2,6,3,101
32,2,6,4,101
32,1,2,4,101
32,2,6,4,101
33,1,2,4,101
32,2,1,4,101
34,2,1,1,101
32,2,1,1,101
34,2,1,2,101
33,2,1,3,101
35,2,2,2,101
33,2,2,2,101
35,2,2,2,101
33,1,2,4,101
35,2,1,3,101
33,2,2,2,101
35,2,1,3,101
34,2,1,2,101
35,1,2,2,101
35,2,1,4,101
35,2,1,3,101
35,2,2,4,101
35,2,2,3,101
35,2,2,1,101
35,2,2,3,101
32,1,2,4,141
35,1,2,2,169
36,1,5,3,101
36,1,5,1,101
36,1,5,3,101
36,1,5,1,101
36,1,5,4,101
37,1,5,4,101
37,2,3,1,101
37,1,3,4,101
37,2,3,1,101
37,1,3,1,101
39,1,3,1,101
37,2,5,3,101
39,2,5,4,101
37,1,3,3,101
39,2,3,3,101
39,1,3,2,101
39,1,3,2,101
39,2,5,2,101
39,2,6,2,101
39,2,3,3,101
39,2,3,2,101
39,2,5,2,101
39,2,5,2,101
37,2,6,2,158
39,1,2,2,145
37,1,2,2,159
39,1,2,4,151
37,1,2,4,191
40,2,7,1,101
40,2,2,2,101
40,2,2,1,101
40,1,2,2,101
40,1,2,2,101
40,1,2,3,101
40,2,2,1,101
40,2,7,2,101
40,2,6,2,101
40,1,2,2,101
40,1,2,1,101
40,2,6,2,101
40,2,2,2,101
41,1,6,3,101
40,2,2,2,101
41,1,4,3,101
41,1,2,3,101
41,1,6,3,101
41,1,6,2,101
41,1,6,3,101
41,1,6,2,101
41,1,6,2,101
41,1,7,2,101
41,1,4,3,101
41,1,7,4,101
42,1,4,4,101
41,1,3,1,101
42,1,6,1,101
41,1,4,4,101
42,2,2,4,101
41,1,3,1,101
42,2,2,1,101
41,2,2,4,101
42,1,2,4,101
41,1,4,1,101
43,1,3,4,101
41,1,2,4,101
43,1,3,4,101
43,1,3,4,101
42,1,7,4,139
43,1,3,4,101
42,1,3,4,142
43,1,7,2,101
43,1,4,2,158
43,2,7,4,101
43,1,7,4,159
44,1,1,1,101
44,1,5,2,101
44,1,5,2,101
44,1,5,2,101
44,1,1,3,101
44,1,1,3,101
44,1,5,2,101
44,1,1,2,101
44,1,1,1,101
44,1,1,1,101
44,1,1,3,101
44,1,7,3,101
44,1,5,2,101
44,1,7,1,101
44,2,7,2,101
45,1,5,3,101
44,1,5,1,101
45,1,1,1,101
44,1,5,1,101
46,1,5,1,101
45,1,1,2,101
46,1,5,1,101
45,1,1,1,101
46,1,5,1,101
45,2,5,1,101
46,1,7,2,101
45,1,1,3,101
47,1,1,2,101
45,2,5,3,101
47,1,1,3,101
45,1,7,1,101
47,1,1,1,101
45,1,5,3,101
47,1,4,3,101
46,1,4,3,101
47,1,4,3,101
47,2,5,4,101
44,2,5,4,142
48,2,6,4,101
49,2,6,1,101
48,2,6,4,101
49,2,6,2,101
48,2,6,2,101
49,1,1,4,101
49,1,1,3,101
50,2,6,1,101
49,1,1,2,101
50,1,7,1,101
49,2,6,4,101
50,1,5,3,101
50,2,6,4,101
50,1,5,1,101
50,2,6,3,101
50,2,6,1,101
50,2,6,4,101
50,1,5,3,101
50,2,6,1,101
51,2,6,3,101
50,2,6,2,101
51,2,6,3,101
50,2,6,4,101
51,2,1,4,101
51,2,1,4,101
51,2,1,3,101
51,2,6,3,101
51,1,1,4,101
51,2,1,4,101
51,2,1,4,101
51,2,1,3,101
51,2,1,3,101
52,1,2,1,101
52,1,5,1,101
52,1,5,4,101
52,2,1,1,101
53,2,2,1,101
52,2,3,2,101
53,1,2,4,101
52,2,3,4,101
53,1,2,4,101
52,2,2,2,101
53,1,2,4,101
52,1,2,2,101
53,1,2,2,101
52,1,2,1,101
54,1,3,1,101
52,1,7,1,101
54,1,3,2,101
