EF19,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
335,2,3
326,2,3
327,2,3
330,2,3
334,2,3
327,2,3
327,2,3
334,2,3
353,2,3
353,2,3
352,2,3
357,2,3
356,2,3
359,2,3
377,2,3
375,2,3
375,2,3
376,2,3
378,2,3
346,2,2
347,2,2
338,2,2
337,2,2
327,2,2
327,2,2
327,2,2
346,2,2
346,2,2
370,2,2
373,2,2
373,2,2
370,2,2
370,2,2
376,2,2
371,2,2
371,2,2
379,2,2
370,2,2
375,2,2
378,2,2
360,2,2
289,2,2
290,2,2
289,2,2
291,2,2
290,2,2
289,2,2
289,2,2
300,2,2
292,2,2
291,2,2
289,2,2
271,2,2
266,2,2
278,2,2
278,2,2
278,2,2
278,2,2
278,2,2
278,2,2
278,2,2
278,2,2
260,2,3
270,2,3
263,2,3
263,2,3
268,2,3
269,2,3
263,2,3
263,2,3
278,2,3
278,2,3
278,2,3
278,2,3
312,2,3
312,2,3
319,2,3
315,2,3
288,2,3
293,2,3
290,2,3
288,2,3
289,2,3
367,2,1
365,2,1
366,2,1
367,2,1
366,2,1
346,2,1
346,2,1
346,2,1
346,2,1
350,2,1
346,2,1
350,2,1
326,2,1
346,2,1
327,2,1
334,2,1
334,2,1
346,2,1
346,2,1
337,2,1
339,2,1
263,2,1
260,2,1
261,2,1
263,2,1
263,2,1
263,2,1
261,2,1
266,2,1
266,2,1
266,2,1
266,2,1
263,2,1
305,2,1
305,2,1
304,2,1
309,2,1
309,2,1
309,2,1
309,2,1
308,2,1
308,2,1
304,2,1
304,2,1
304,2,1
395,2,1
385,2,1
390,2,3
391,2,3
391,2,3
384,2,2
395,2,3
395,2,2
395,2,2
335,2,4
331,2,4
335,2,4
335,2,4
336,2,4
350,2,4
334,2,4
330,2,4
347,2,4
360,2,4
360,2,4
360,2,4
360,2,4
360,2,4
360,2,4
360,2,4
360,2,4
360,2,4
314,2,4
310,2,4
310,2,4
315,2,4
319,2,4
290,2,4
317,2,4
305,2,4
319,2,4
293,2,4
304,2,4
319,2,4
311,2,4
312,2,4
278,2,4
277,2,4
278,2,4
275,2,4
270,2,4
256,2,4
256,2,4
256,2,4
266,2,4
266,2,4
256,2,4
271,2,4
266,2,4
266,2,4
125,2,4
124,2,4
121,2,4
120,2,4
120,2,4
121,2,4
116,2,4
124,2,4
120,2,4
116,2,4
110,2,4
109,2,4
100,2,4
99,2,4
99,2,4
82,2,4
87,2,4
82,2,4
82,2,4
82,2,4
92,2,4
76,2,4
78,2,4
77,2,4
77,2,4
78,2,4
79,2,4
76,2,4
16,2,4
22,2,4
16,2,4
16,2,4
22,2,4
34,2,4
34,2,4
43,2,4
43,2,4
43,2,4
38,2,4
38,2,4
38,2,4
43,2,4
34,2,4
34,2,4
34,2,4
252,2,4
252,2,4
248,2,4
242,2,4
252,2,4
252,2,4
249,2,4
249,2,4
249,2,4
226,2,4
226,2,4
226,2,4
230,2,4
226,2,4
226,2,4
209,2,4
209,2,4
213,2,4
215,2,4
204,2,4
216,2,4
211,2,4
211,2,4
211,2,4
211,2,4
208,2,4
209,2,4
181,2,4
182,2,4
180,2,4
181,2,4
181,2,4
182,2,4
180,2,4
180,2,4
183,2,4
183,2,4
181,2,4
181,2,4
183,2,4
148,2,4
150,2,4
137,2,4
132,2,4
132,2,4
134,2,4
136,2,4
61,2,1
54,2,1
61,2,1
54,2,1
51,2,1
51,2,1
51,2,1
51,2,1
54,2,1
54,2,1
51,2,1
50,2,1
61,2,1
61,2,1
16,2,1
17,2,1
24,2,1
17,2,1
16,2,1
28,2,1
31,2,1
6,2,1
8,2,1
14,2,1
14,2,1
25,2,1
99,2,1
110,2,1
111,2,1
103,2,1
103,2,1
103,2,1
101,2,1
109,2,1
109,2,1
66,2,1
69,2,1
70,2,1
67,2,1
82,2,1
92,2,1
92,2,1
87,2,1
208,2,2
223,2,2
211,2,2
211,2,2
218,2,2
221,2,2
220,2,2
220,2,2
211,2,2
204,2,2
195,2,2
195,2,2
204,2,2
205,2,2
204,2,2
226,2,2
229,2,2
233,2,2
226,2,2
242,2,2
242,2,2
242,2,2
253,2,2
242,2,2
242,2,2
248,2,2
252,2,2
253,2,2
249,2,3
242,2,3
246,2,3
248,2,3
242,2,3
246,2,3
219,2,3
195,2,3
209,2,3
195,2,3
195,2,3
223,2,3
154,2,2
155,2,2
155,2,2
155,2,2
155,2,2
154,2,2
155,2,2
155,2,2
154,2,2
154,2,2
155,2,2
155,2,2
164,2,3
164,2,3
164,2,3
165,2,3
164,2,3
173,2,3
175,2,3
137,2,3
136,2,3
137,2,3
137,2,3
138,2,3
137,2,3
155,2,3
154,2,3
149,2,3
149,2,3
149,2,3
148,2,3
90,2,2
79,2,2
76,2,2
90,2,2
82,2,2
67,2,2
81,2,2
81,2,2
92,2,2
126,2,2
101,2,2
111,2,2
127,2,2
98,2,2
102,2,2
77,2,3
66,2,3
77,2,3
68,2,3
78,2,3
79,2,3
77,2,3
82,2,3
87,2,3
87,2,3
82,2,3
82,2,3
124,2,3
125,2,3
125,2,3
125,2,3
125,2,3
125,2,3
125,2,3
124,2,3
124,2,3
125,2,3
124,2,3
45,2,2
42,2,2
36,2,2
37,2,2
33,2,2
41,2,2
42,2,2
46,2,2
38,2,2
40,2,2
43,2,2
16,2,2
16,2,2
16,2,2
17,2,2
17,2,2
16,2,2
16,2,2
17,2,2
23,2,2
9,2,3
6,2,3
5,2,3
9,2,3
8,2,3
10,2,3
2,2,3
2,2,3
2,2,3
2,2,3
2,2,3
2,2,3
48,2,3
48,2,3
61,2,3
48,2,3
54,2,3
54,2,3
61,2,3
34,2,3
36,2,3
34,2,3
34,2,3
34,2,3
34,2,3
34,2,3
34,2,3
34,2,3
200,2,1
200,2,1
201,2,1
206,2,1
200,2,1
201,2,1
203,2,1
206,2,1
223,2,1
217,2,1
221,2,1
226,2,1
229,2,1
228,2,1
226,2,1
226,2,1
226,2,1
180,2,1
181,2,1
178,2,1
179,2,1
179,2,1
178,2,1
179,2,1
178,2,1
182,2,1
179,2,1
178,2,1
179,2,1
179,2,1
182,2,1
182,2,1
181,2,1
192,1,2
195,1,2
195,1,2
201,1,2
195,1,2
195,1,2
197,1,2
192,1,2
201,1,2
246,1,2
252,1,2
242,1,2
242,1,2
242,1,2
242,1,2
252,1,2
252,1,2
252,1,2
248,1,2
138,1,3
138,1,3
157,1,3
154,1,3
139,1,3
138,1,3
150,1,3
139,1,3
138,1,3
163,1,3
164,1,3
165,1,3
161,1,3
162,1,3
219,1,3
219,1,3
218,1,3
217,1,3
217,1,3
216,1,3
217,1,3
216,1,3
219,1,3
193,1,3
192,1,3
195,1,3
195,1,3
192,1,3
195,1,3
195,1,3
249,1,3
242,1,3
247,1,3
242,1,3
248,1,3
242,1,3
242,1,3
173,1,2
172,1,2
176,1,2
165,1,2
163,1,2
165,1,2
173,1,2
174,1,2
165,1,2
155,1,2
155,1,2
154,1,2
3,1,2
20,1,2
3,1,2
36,1,2
37,1,2
37,1,2
36,1,2
36,1,2
63,1,2
37,1,2
36,1,2
36,1,2
54,1,2
37,1,2
37,1,2
48,1,2
49,1,2
48,1,2
124,1,3
98,1,3
115,1,3
125,1,3
99,1,3
125,1,3
125,1,3
90,1,3
87,1,3
95,1,3
90,1,3
2,1,3
15,1,3
14,1,3
15,1,3
20,1,3
20,1,3
5,1,3
2,1,3
3,1,3
2,1,3
63,1,3
51,1,3
63,1,3
63,1,3
49,1,3
50,1,3
50,1,3
51,1,3
51,1,3
89,1,2
95,1,2
94,1,2
82,1,2
95,1,2
95,1,2
120,1,2
124,1,2
113,1,2
120,1,2
120,1,2
114,1,2
229,1,1
228,1,1
226,1,1
226,1,1
228,1,1
229,1,1
226,1,1
226,1,1
229,1,1
226,1,1
229,1,1
228,1,1
201,1,1
201,1,1
201,1,1
201,1,1
195,1,1
201,1,1
201,1,1
201,1,1
193,1,1
193,1,1
192,1,1
215,1,1
216,1,1
215,1,1
215,1,1
217,1,1
217,1,1
217,1,1
164,1,1
164,1,1
165,1,1
164,1,1
164,1,1
165,1,1
164,1,1
165,1,1
165,1,1
164,1,1
164,1,1
185,1,1
182,1,1
184,1,1
185,1,1
184,1,1
155,1,1
155,1,1
150,1,1
154,1,1
150,1,1
20,1,1
20,1,1
20,1,1
20,1,1
23,1,1
20,1,1
2,1,1
6,1,1
3,1,1
3,1,1
7,1,1
7,1,1
54,1,1
50,1,1
56,1,1
56,1,1
38,1,1
38,1,1
38,1,1
37,1,1
38,1,1
38,1,1
34,1,1
38,1,1
120,1,1
127,1,1
127,1,1
125,1,1
124,1,1
127,1,1
89,1,1
89,1,1
94,1,1
94,1,1
94,1,1
94,1,1
89,1,1
92,1,1
92,1,1
92,1,1
95,1,1
94,1,1
94,1,1
90,1,1
90,1,1
92,1,1
92,1,1
308,1,4
309,1,4
309,1,4
309,1,4
308,1,4
309,1,4
308,1,4
308,1,4
278,1,4
278,1,4
285,1,4
287,1,4
278,1,4
278,1,4
272,1,4
273,1,4
278,1,4
360,1,4
360,1,4
360,1,4
375,1,4
375,1,4
375,1,4
375,1,4
375,1,4
375,1,4
375,1,4
375,1,4
375,1,4
343,1,4
343,1,4
342,1,4
342,1,4
343,1,4
329,1,4
329,1,4
335,1,4
329,1,4
329,1,4
335,1,4
385,1,4
385,1,4
385,1,4
385,1,4
385,1,4
384,1,4
385,1,4
385,1,4
384,1,4
43,1,4
36,1,4
38,1,4
36,1,4
41,1,4
37,1,4
34,1,4
63,1,4
63,1,4
63,1,4
63,1,4
61,1,4
61,1,4
61,1,4
11,1,4
15,1,4
4,1,4
8,1,4
5,1,4
2,1,4
20,1,4
23,1,4
23,1,4
22,1,4
22,1,4
20,1,4
20,1,4
20,1,4
20,1,4
20,1,4
20,1,4
94,1,4
92,1,4
92,1,4
92,1,4
92,1,4
92,1,4
92,1,4
92,1,4
95,1,4
94,1,4
95,1,4
95,1,4
94,1,4
217,1,4
215,1,4
215,1,4
215,1,4
201,1,4
192,1,4
196,1,4
198,1,4
198,1,4
201,1,4
201,1,4
192,1,4
246,1,4
247,1,4
249,1,4
249,1,4
247,1,4
242,1,4
242,1,4
242,1,4
246,1,4
246,1,4
132,1,4
137,1,4
138,1,4
139,1,4
134,1,4
132,1,4
133,1,4
135,1,4
184,1,4
185,1,4
184,1,4
184,1,4
184,1,4
184,1,4
185,1,4
185,1,4
184,1,4
184,1,4
278,1,3
278,1,3
278,1,3
278,1,3
278,1,3
278,1,3
278,1,3
278,1,3
278,1,3
278,1,3
278,1,3
257,1,3
256,1,3
270,1,3
266,1,3
266,1,3
271,1,3
270,1,3
270,1,3
270,1,3
312,1,3
312,1,3
312,1,3
312,1,3
312,1,3
312,1,3
314,1,3
314,1,3
314,1,3
312,1,3
312,1,3
312,1,3
321,1,3
327,1,3
327,1,3
334,1,3
327,1,3
326,1,3
321,1,3
329,1,3
375,1,3
375,1,3
375,1,3
375,1,3
375,1,3
378,1,3
375,1,3
375,1,3
375,1,3
356,1,3
360,1,3
334,1,2
335,1,2
335,1,2
335,1,2
327,1,2
326,1,2
326,1,2
327,1,2
328,1,2
329,1,2
327,1,2
326,1,2
360,1,2
363,1,2
362,1,2
362,1,2
363,1,2
363,1,2
363,1,2
363,1,2
312,1,2
299,1,2
292,1,2
312,1,2
299,1,2
298,1,2
319,1,2
319,1,2
269,1,2
269,1,2
278,1,2
272,1,2
266,1,2
278,1,2
278,1,2
368,1,1
371,1,1
370,1,1
371,1,1
370,1,1
370,1,1
370,1,1
368,1,1
347,1,1
347,1,1
347,1,1
347,1,1
331,1,1
346,1,1
346,1,1
342,1,1
347,1,1
266,1,1
261,1,1
261,1,1
266,1,1
266,1,1
266,1,1
266,1,1
266,1,1
266,1,1
266,1,1
260,1,1
260,1,1
319,1,1
319,1,1
319,1,1
319,1,1
314,1,1
315,1,1
314,1,1
314,1,1
315,1,1
319,1,1
319,1,1
319,1,1
319,1,1
391,1,3
391,1,2
395,1,3
391,1,2
390,1,2
390,1,2
391,1,2
