EF21H,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
70.14836192904164,2,3
69.35970260834507,2,3
71.98817665921713,2,3
70.22935446416938,2,3
68.94337943179112,2,3
70.0910845903151,2,3
70.90708545229664,2,3
68.0882232251963,2,3
226.14906985300988,2,3
195.79588444091507,2,3
176.8016511969488,2,3
181.95179967869092,2,3
232.56841557348295,2,3
239.95706485763287,2,3
179.84893125067282,2,3
179.78658602890266,2,3
181.43229925607542,2,3
272.5566542253254,2,3
277.69139822520157,2,3
346.6303573012704,2,3
277.9677473113,2,3
276.33995425082014,2,3
275.8119339517128,2,3
441.184055189555,2,3
431.35545441952524,2,3
508.9975167174279,2,3
497.54157913846666,2,3
456.97040287883146,2,3
427.04865292315935,2,3
920.2605294570099,2,3
914.8430812659001,2,3
944.5046180946736,2,3
994.3916530739589,2,3
896.4140533811944,2,3
900.3757542789372,2,3
862.1666443724866,2,3
854.8201780965845,2,3
849.642747201874,2,3
860.0372855579012,2,3
852.9375853709838,2,3
799.8758481959122,2,3
797.8060141062633,2,3
861.1358567392742,2,3
859.9357686452631,2,3
732.3020941535173,2,3
729.703360398724,2,3
727.12624161432,2,3
724.0314792806531,2,3
720.6274770156577,2,3
691.6024466149529,2,3
732.5102463560038,2,3
644.2316034150286,2,3
572.6103873726516,2,3
597.8235574380061,2,3
598.8134724116405,2,3
1968.820280971468,2,3
1975.2897194918514,2,3
1982.268118762648,2,3
1969.9246678085794,2,3
2045.8854248832522,2,3
2047.807895081011,2,3
1997.5105837438853,2,3
1975.4209955029703,2,3
1975.8016108821166,2,3
2024.066577121534,2,3
2014.2617897904559,2,3
1479.4713338190263,2,3
1422.1614002993376,2,3
1412.9571995454394,2,3
1489.3430603947024,2,3
1311.484451952097,2,3
1283.447778188094,2,3
1284.046279809173,2,3
1293.9596885510746,2,3
1308.0954818916023,2,3
1270.3959100669902,2,3
1270.8345823062784,2,3
1270.1288168069866,2,3
1268.0871838277671,2,3
1271.2520501746365,2,3
1270.1220618274933,2,3
1152.3252868068967,2,3
1158.144768308413,2,3
1208.276895751993,2,3
1170.7577393269853,2,3
1173.9991155838848,2,3
1175.1396574064856,2,3
