MONTHS_OF_SERVICE,TAETIGKEITSSCHLUESSEL4
60,2
60,2
60,2
60,2
60,2
61,2
61,2
61,2
61,2
61,2
61,2
61,2
61,2
61,2
61,2
61,2
61,2
61,2
63,2
63,2
63,2
63,2
63,2
63,2
63,2
63,2
63,2
62,2
62,2
62,2
62,2
62,2
62,2
62,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
58,2
59,2
59,2
59,2
59,2
59,2
59,2
59,2
56,2
56,2
56,2
56,2
56,2
56,2
56,2
57,2
57,2
57,2
54,2
54,2
54,2
54,2
54,2
54,2
54,2
54,2
54,2
54,2
54,2
55,2
55,2
55,2
55,2
55,2
55,2
55,2
55,2
55,2
55,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
53,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
52,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
48,2
49,2
49,2
49,2
49,2
49,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
50,2
51,2
51,2
51,2
51,2
51,2
51,2
51,2
51,2
44,2
44,2
44,2
44,2
44,2
44,2
44,2
44,2
44,2
44,2
44,2
45,2
45,2
45,2
45,2
45,2
45,2
45,2
45,2
45,2
45,2
46,2
46,2
46,2
46,2
46,2
46,2
46,2
46,2
46,2
46,2
46,2
46,2
46,2
46,2
47,2
47,2
47,2
47,2
47,2
47,2
47,2
47,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
41,2
43,2
43,2
43,2
43,2
43,2
43,2
43,2
42,2
42,2
42,2
42,2
42,2
42,2
42,2
42,2
36,2
36,2
36,2
36,2
36,2
36,2
36,2
36,2
36,2
36,2
36,2
36,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
37,2
38,2
38,2
38,2
38,2
38,2
38,2
38,2
38,2
38,2
39,2
39,2
39,2
39,2
39,2
39,2
32,2
32,2
32,2
32,2
32,2
32,2
33,2
33,2
33,2
33,2
33,2
33,2
33,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
35,2
59,1
59,1
59,1
59,1
59,1
59,1
59,1
59,1
59,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
58,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
56,1
