MONTHS_OF_SERVICE,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
63,2,3
63,2,3
62,2,3
62,2,3
62,2,3
63,2,3
63,2,3
63,2,3
63,2,3
58,2,3
58,2,3
58,2,3
58,2,3
58,2,3
59,2,3
59,2,3
62,2,2
62,2,2
63,2,2
63,2,2
62,2,2
61,2,2
61,2,2
61,2,2
61,2,2
61,2,2
61,2,2
56,2,2
56,2,2
58,2,2
58,2,2
59,2,2
58,2,2
56,2,2
56,2,2
55,2,2
55,2,2
55,2,2
55,2,2
50,2,2
50,2,2
50,2,2
50,2,2
50,2,2
50,2,2
50,2,2
50,2,2
50,2,2
50,2,2
50,2,2
49,2,2
51,2,3
51,2,3
50,2,3
51,2,3
50,2,3
51,2,3
54,2,3
54,2,3
54,2,3
54,2,3
54,2,3
53,2,3
53,2,3
52,2,3
53,2,3
52,2,3
52,2,3
46,2,1
46,2,1
46,2,1
46,2,1
44,2,1
44,2,1
45,2,1
44,2,1
44,2,1
44,2,1
44,2,1
45,2,1
44,2,1
41,2,1
43,2,1
41,2,1
41,2,1
41,2,1
41,2,1
41,2,1
33,2,1
33,2,1
32,2,1
33,2,1
32,2,1
32,2,1
36,2,1
36,2,1
36,2,1
36,2,1
36,2,1
36,2,1
36,2,1
36,2,1
36,2,1
36,2,1
44,2,2
45,2,2
44,2,2
45,2,2
45,2,2
46,2,2
46,2,2
46,2,2
46,2,2
45,2,2
46,2,2
46,2,2
44,2,2
45,2,2
41,2,2
41,2,2
41,2,2
39,2,2
39,2,2
39,2,2
39,2,2
36,2,2
39,2,2
36,2,2
37,2,2
35,2,2
34,2,2
35,2,2
32,2,2
35,2,2
37,2,3
36,2,3
36,2,3
38,2,3
39,2,3
39,2,3
39,2,3
39,2,3
39,2,3
39,2,3
36,2,3
36,2,3
37,2,3
43,2,3
41,2,3
41,2,3
43,2,3
43,2,3
41,2,3
42,2,3
41,2,3
41,2,3
47,2,3
47,2,3
47,2,3
47,2,3
47,2,3
47,2,3
47,2,3
47,2,3
54,2,1
54,2,1
54,2,1
54,2,1
54,2,1
55,2,1
54,2,1
53,2,1
52,2,1
52,2,1
52,2,1
50,2,1
50,2,1
50,2,1
50,2,1
50,2,1
50,2,1
50,2,1
50,2,1
50,2,1
50,2,1
50,2,1
50,2,1
62,2,1
60,2,1
60,2,1
61,2,1
57,2,1
57,2,1
59,2,1
59,2,1
58,2,1
59,2,1
59,2,1
44,2,4
45,2,4
45,2,4
45,2,4
44,2,4
44,2,4
44,2,4
45,2,4
45,2,4
45,2,4
44,2,4
44,2,4
36,2,4
36,2,4
36,2,4
36,2,4
36,2,4
36,2,4
36,2,4
36,2,4
36,2,4
39,2,4
39,2,4
39,2,4
39,2,4
39,2,4
39,2,4
35,2,4
35,2,4
35,2,4
35,2,4
33,2,4
34,2,4
35,2,4
32,2,4
32,2,4
58,2,4
58,2,4
58,2,4
58,2,4
58,2,4
58,2,4
58,2,4
61,2,4
61,2,4
61,2,4
61,2,4
60,2,4
61,2,4
61,2,4
63,2,4
62,2,4
63,2,4
48,2,4
48,2,4
48,2,4
48,2,4
48,2,4
48,2,4
48,2,4
48,2,4
53,2,4
53,2,4
53,2,4
53,2,4
53,2,4
55,2,4
52,2,4
52,2,4
55,2,4
52,2,4
52,2,4
54,2,4
52,2,4
52,2,4
56,1,2
59,1,2
59,1,2
59,1,2
59,1,2
56,1,2
56,1,2
56,1,2
58,1,2
58,1,2
56,1,2
56,1,2
56,1,2
59,1,2
59,1,2
57,1,3
57,1,3
57,1,3
56,1,3
56,1,3
56,1,3
56,1,3
56,1,3
56,1,3
57,1,3
57,1,3
56,1,3
56,1,3
56,1,3
54,1,3
52,1,3
