TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,B27,EF21,EF16U2,LEISTUNGSGRUPPE
2,62,2,61,aa,165,4,4
2,86,2,48,aa,184,1,4
1,43,2,36,aa,916,5,3
2,86,2,8,aa,1141,1,3
2,86,2,12,aa,1286,1,4
1,49,2,19,aa,4582,5,5
2,50,2,26,aa,5191,5,4
2,62,2,53,aa,5433,5,2
1,55,2,19,aa,5521,5,5
1,62,2,24,aa,6612,4,3
2,25,2,40,aa,7843,5,2
1,23,2,40,aa,7980,1,4
2,23,1,31,aa,7991,4,2
2,86,2,40,aa,10337,4,3
1,20,2,43,aa,10907,3,5
2,25,2,30,aa,11111,3,4
1,31,1,63,aa,11519,3,3
1,50,1,28,aa,11527,3,2
1,44,1,63,aa,11642,3,3
1,44,2,31,aa,11961,3,3
2,31,1,11,aa,12357,2,5
2,31,2,47,aa,12390,3,5
2,29,2,62,aa,13308,3,5
2,29,2,22,aa,15383,3,4
2,51,1,37,aa,15486,2,5
2,29,1,0,aa,15505,3,4
2,29,2,37,aa,15515,7,3
2,63,1,1,aa,15618,7,3
2,70,2,52,aa,16511,7,4
2,60,2,41,aa,16624,7,5
1,29,1,11,aa,16682,5,5
1,19,1,63,aa,17080,7,5
1,19,2,28,aa,17236,1,5
1,19,1,2,aa,17350,7,5
2,70,1,0,aa,17441,7,3
2,62,2,51,aa,17672,7,4
2,62,1,29,aa,17685,2,3
2,69,1,63,aa,17782,5,3
2,19,1,43,aa,17867,4,4
2,19,2,61,aa,17966,5,4
1,85,2,20,aa,18015,1,3
1,18,1,2,aa,18047,1,3
1,70,2,61,aa,18067,1,3
1,70,2,63,aa,18102,5,4
1,84,2,20,aa,18155,5,4
1,40,1,12,aa,22542,5,5
1,70,1,19,aa,22634,2,3
1,69,1,0,aa,22776,5,3
1,40,1,33,aa,23221,5,4
1,40,1,43,aa,23238,5,4
1,83,1,52,aa,23452,5,3
1,70,1,63,aa,23504,5,3
2,20,2,22,aa,23689,2,3
1,41,2,44,aa,23787,7,3
1,41,1,0,aa,23953,4,3
2,68,2,44,aa,24095,4,4
1,86,2,28,aa,24374,2,3
2,41,1,48,aa,24485,3,5
2,41,2,22,aa,24508,1,5
1,59,1,63,aa,24558,2,2
1,59,1,18,aa,24607,2,2
1,17,1,18,aa,24876,3,5
1,29,1,9,aa,25037,7,2
1,46,2,16,aa,25087,3,2
2,87,1,45,aa,25415,3,2
1,87,2,35,aa,26333,3,2
1,52,1,54,aa,26635,7,2
1,86,2,43,aa,26737,7,5
2,20,2,18,aa,26820,7,2
2,20,2,32,aa,27427,4,5
2,40,2,18,aa,27878,5,1
1,17,2,2,aa,28117,3,1
1,29,1,30,aa,28271,2,1
1,70,2,42,aa,28298,3,1
2,80,2,45,aa,28526,2,1
2,70,2,53,aa,28527,5,1
1,55,2,60,aa,28576,4,2
1,80,2,16,aa,28662,5,1
1,80,1,24,aa,29357,5,5
1,87,1,32,aa,29429,4,2
1,41,2,55,aa,29486,2,1
1,70,2,17,aa,29547,2,1
2,87,1,33,aa,29601,3,2
1,81,2,15,aa,29817,2,2
1,81,2,32,aa,29851,2,2
1,83,1,28,aa,29926,4,1
2,84,1,51,aa,30750,4,1
1,30,2,14,aa,30758,6,1
2,24,2,22,aa,30768,3,1
2,41,2,17,aa,30786,2,1
2,84,1,22,aa,30843,2,1
2,29,1,16,aa,30891,6,2
2,18,1,9,aa,30894,5,1
2,82,1,47,aa,30929,2,1
2,46,1,16,aa,30932,6,1
2,82,1,11,aa,31021,2,5
2,82,1,0,aa,31135,2,5
2,41,1,29,aa,31164,2,1
2,49,1,30,aa,31197,6,1
2,78,2,39,aa,35954,5,5
1,70,2,15,aa,36154,3,3
2,86,2,4,aa,36197,6,3
2,65,2,4,aa,36427,6,3
2,37,2,14,aa,36782,6,5
1,67,2,51,aa,38201,1,3
2,70,2,58,aa,38299,1,2
1,78,2,14,aa,38903,4,5
2,82,2,52,aa,41672,1,3
1,81,2,5,aa,42103,7,5
2,58,1,29,aa,42225,6,5
1,48,1,6,aa,42350,3,1
1,62,1,7,aa,42958,6,1
1,37,1,5,aa,45341,6,2
1,40,2,6,aa,45459,4,5
1,22,1,58,aa,45767,4,1
1,22,1,58,aa,45783,6,2
2,50,1,58,aa,45931,1,1
1,50,1,39,aa,45993,2,1
1,34,1,4,aa,46402,1,1
2,50,1,58,aa,46840,6,1
1,67,2,58,aa,47178,1,4
1,67,2,6,aa,47278,7,3
1,43,1,58,aa,47927,6,4
1,45,1,58,aa,49099,1,4
1,50,1,14,aa,49141,6,1
2,51,2,43,aa,49309,6,4
2,38,2,43,aa,49336,2,4
1,21,2,4,aa,49816,3,3
2,64,2,43,aa,49952,3,1
1,58,2,15,aa,50222,1,3
2,35,2,32,aa,50368,1,3
1,41,2,43,aa,50421,6,1
1,38,2,4,aa,50743,4,1
2,59,1,15,aa,51194,5,1
2,78,1,14,aa,51273,3,1
1,75,1,13,aa,51381,4,1
1,64,1,34,aa,51466,4,3
2,46,1,55,aa,52174,3,4
1,46,1,13,aa,52723,6,4
2,66,1,38,aa,53072,6,3
1,36,1,15,aa,53143,3,4
1,46,1,15,aa,55341,6,4
1,57,2,35,aa,55351,6,3
2,76,1,14,aa,55464,3,4
1,20,2,49,aa,55773,5,5
2,19,2,14,aa,56030,5,2
1,20,2,42,aa,56131,7,1
2,63,1,35,aa,56170,4,5
1,70,1,49,aa,56500,2,1
1,18,1,42,aa,56644,7,2
1,60,2,50,aa,61146,1,2
2,59,2,29,aa,61233,1,1
2,62,1,43,aa,61729,7,1
2,47,2,12,aa,62411,1,2
2,32,2,27,aa,63222,1,5
1,17,2,35,aa,63624,3,2
1,36,2,43,aa,64244,3,2
1,80,2,27,aa,64708,3,1
1,16,2,29,aa,65448,2,5
2,34,2,32,aa,65573,2,5
2,70,1,23,aa,65959,2,5
2,20,2,23,aa,66071,2,5
2,30,2,5,aa,66077,2,4
2,44,2,8,aa,66515,2,3
2,40,1,31,aa,66525,2,3
1,35,1,31,aa,66605,2,4
2,35,2,1,aa,67299,5,3
2,69,2,21,aa,67632,2,3
2,35,1,9,aa,68217,2,3
1,47,2,3,aa,69410,5,3
2,43,1,62,aa,71713,4,5
1,16,1,39,aa,73930,7,3
1,78,2,9,aa,74148,5,4
1,36,1,59,aa,74647,4,5
1,68,1,22,aa,75585,4,5
