TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,B27,EF21
2,62,2,61,aa,165
2,86,2,48,aa,184
1,43,2,36,aa,916
2,86,2,8,aa,1141
2,86,2,12,aa,1286
1,49,2,19,aa,4582
2,50,2,26,aa,5191
2,62,2,53,aa,5433
1,55,2,19,aa,5521
1,62,2,24,aa,6612
2,25,2,40,aa,7843
1,23,2,40,aa,7980
2,23,1,31,aa,7991
2,86,2,40,aa,10337
1,20,2,43,aa,10907
2,25,2,30,aa,11111
1,31,1,63,aa,11519
1,50,1,28,aa,11527
1,44,1,63,aa,11642
1,44,2,31,aa,11961
2,31,1,11,aa,12357
2,31,2,47,aa,12390
2,29,2,62,aa,13308
2,29,2,22,aa,15383
2,51,1,37,aa,15486
2,29,1,0,aa,15505
2,29,2,37,aa,15515
2,63,1,1,aa,15618
2,70,2,52,aa,16511
2,60,2,41,aa,16624
1,29,1,11,aa,16682
1,19,1,63,aa,17080
1,19,2,28,aa,17236
1,19,1,2,aa,17350
2,70,1,0,aa,17441
2,62,2,51,aa,17672
2,62,1,29,aa,17685
2,69,1,63,aa,17782
2,19,1,43,aa,17867
2,19,2,61,aa,17966
1,85,2,20,aa,18015
1,18,1,2,aa,18047
1,70,2,61,aa,18067
1,70,2,63,aa,18102
1,84,2,20,aa,18155
1,40,1,12,aa,22542
1,70,1,19,aa,22634
1,69,1,0,aa,22776
1,40,1,33,aa,23221
1,40,1,43,aa,23238
1,83,1,52,aa,23452
1,70,1,63,aa,23504
2,20,2,22,aa,23689
1,41,2,44,aa,23787
1,41,1,0,aa,23953
2,68,2,44,aa,24095
1,86,2,28,aa,24374
2,41,1,48,aa,24485
2,41,2,22,aa,24508
1,59,1,63,aa,24558
1,59,1,18,aa,24607
1,17,1,18,aa,24876
1,29,1,9,aa,25037
1,46,2,16,aa,25087
2,87,1,45,aa,25415
1,87,2,35,aa,26333
1,52,1,54,aa,26635
1,86,2,43,aa,26737
2,20,2,18,aa,26820
2,20,2,32,aa,27427
2,40,2,18,aa,27878
1,17,2,2,aa,28117
1,29,1,30,aa,28271
1,70,2,42,aa,28298
2,80,2,45,aa,28526
2,70,2,53,aa,28527
1,55,2,60,aa,28576
1,80,2,16,aa,28662
1,80,1,24,aa,29357
1,87,1,32,aa,29429
1,41,2,55,aa,29486
1,70,2,17,aa,29547
2,87,1,33,aa,29601
1,81,2,15,aa,29817
1,81,2,32,aa,29851
1,83,1,28,aa,29926
2,84,1,51,aa,30750
1,30,2,14,aa,30758
2,24,2,22,aa,30768
2,41,2,17,aa,30786
2,84,1,22,aa,30843
2,29,1,16,aa,30891
2,18,1,9,aa,30894
2,82,1,47,aa,30929
2,46,1,16,aa,30932
2,82,1,11,aa,31021
2,82,1,0,aa,31135
2,41,1,29,aa,31164
2,49,1,30,aa,31197
2,78,2,39,aa,35954
1,70,2,15,aa,36154
2,86,2,4,aa,36197
2,65,2,4,aa,36427
2,37,2,14,aa,36782
1,67,2,51,aa,38201
2,70,2,58,aa,38299
1,78,2,14,aa,38903
2,82,2,52,aa,41672
1,81,2,5,aa,42103
2,58,1,29,aa,42225
1,48,1,6,aa,42350
1,62,1,7,aa,42958
1,37,1,5,aa,45341
1,40,2,6,aa,45459
1,22,1,58,aa,45767
1,22,1,58,aa,45783
2,50,1,58,aa,45931
1,50,1,39,aa,45993
1,34,1,4,aa,46402
2,50,1,58,aa,46840
1,67,2,58,aa,47178
1,67,2,6,aa,47278
1,43,1,58,aa,47927
1,45,1,58,aa,49099
1,50,1,14,aa,49141
2,51,2,43,aa,49309
2,38,2,43,aa,49336
1,21,2,4,aa,49816
2,64,2,43,aa,49952
1,58,2,15,aa,50222
2,35,2,32,aa,50368
1,41,2,43,aa,50421
1,38,2,4,aa,50743
2,59,1,15,aa,51194
2,78,1,14,aa,51273
1,75,1,13,aa,51381
1,64,1,34,aa,51466
2,46,1,55,aa,52174
1,46,1,13,aa,52723
2,66,1,38,aa,53072
1,36,1,15,aa,53143
1,46,1,15,aa,55341
1,57,2,35,aa,55351
2,76,1,14,aa,55464
1,20,2,49,aa,55773
2,19,2,14,aa,56030
1,20,2,42,aa,56131
2,63,1,35,aa,56170
1,70,1,49,aa,56500
1,18,1,42,aa,56644
1,60,2,50,aa,61146
2,59,2,29,aa,61233
2,62,1,43,aa,61729
2,47,2,12,aa,62411
2,32,2,27,aa,63222
1,17,2,35,aa,63624
1,36,2,43,aa,64244
1,80,2,27,aa,64708
1,16,2,29,aa,65448
2,34,2,32,aa,65573
2,70,1,23,aa,65959
2,20,2,23,aa,66071
