TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5,EF48
2,3,619.1919972283112
2,3,616.9006139421145
2,3,603.5301579351392
2,3,620.709672732255
2,3,623.1794723643112
2,3,512.5730191783026
2,3,521.6717267500586
2,3,517.7365270648273
2,3,513.4518089287467
2,3,527.9326892475236
2,3,519.4073151813359
2,3,516.9083284221398
2,3,521.6457755183491
2,3,513.21076226074
2,3,973.2163835046678
2,3,970.0524631238743
2,3,977.7923992258911
2,3,988.4366744334633
2,3,908.532528393279
2,3,991.6166905446241
2,3,852.8149018381516
2,3,842.8636232329573
2,3,910.0854503034411
2,3,809.0667341994075
2,3,870.8319300135609
2,3,791.553931154446
2,2,911.6070610415427
2,2,909.5689697500568
2,2,909.815207459064
2,2,905.8222342633438
2,2,910.9778827997902
2,2,908.1927219462551
2,2,905.7072915401915
2,2,909.055409830005
2,2,909.5261234041483
2,2,907.8266436312407
2,2,911.173325772598
2,2,906.4753374804457
2,2,908.0633117506377
2,2,906.9519760440133
2,2,727.580017089844
2,2,727.580017089844
2,2,727.580017089844
2,2,727.580017089844
2,2,727.580017089844
2,2,727.580017089844
2,2,727.580017089844
2,2,727.580017089844
2,2,727.580017089844
2,2,686.6934857660117
2,2,684.2136831725254
2,2,105.25507393563221
2,2,109.63592042266419
2,2,105.50837859707444
2,2,111.9890474627945
2,2,89.84221970570479
2,2,105.14156793289006
2,2,110.888914823006
2,2,111.08405017482109
2,2,186.57591243928348
2,2,177.07920450311875
2,2,179.14552577267045
2,2,181.42152274463612
2,2,189.3916586422773
2,2,181.7778429879778
2,2,177.13993762128717
2,2,179.30122611474522
2,2,184.8591095873421
2,2,509.73477900426997
2,2,506.3592075296828
2,2,507.28224766031406
2,2,511.0790107727533
2,2,449.1012126950814
2,2,497.42397604084545
2,2,497.5941006552435
2,2,502.67429542235175
2,2,331.2226743161168
2,2,333.4558504396982
2,2,382.40636215257973
2,2,348.5930681948122
2,2,308.58050714038376
2,3,381.8746451163362
2,3,376.785193535161
2,3,382.9384970886733
2,3,383.8876399201431
2,3,377.37732556821874
2,3,376.60359634302534
2,3,382.1198272495355
2,3,504.2244838500522
2,3,504.3679358136719
2,3,504.1525983239915
2,3,502.6215100398548
2,3,509.19812071187
2,3,507.0885296120239
2,3,509.2254700397802
2,3,178.99173283012712
2,3,193.01531845247476
2,3,246.69850932009288
2,3,187.08967055960824
2,3,223.6065552089525
2,3,241.10745243978008
2,3,95.90482271072
2,3,91.38841678858344
2,3,95.61653086935773
2,3,93.25146142427262
2,3,93.65025406917962
2,3,93.20785099802691
2,3,91.06812003138619
2,3,95.59792546560081
2,3,113.65790839917429
2,3,98.0805576496247
2,3,102.40885002953536
2,3,102.05644456682667
2,3,106.19323409509036
2,3,125.84703615985345
2,3,122.15511409927268
2,2,1841.3835612890302
2,2,1828.1230856471977
2,2,1826.3992488558545
2,2,1819.8734661066603
2,2,1845.5205886079284
2,2,1859.7723549909222
2,2,1871.9576860091438
2,2,1972.1843956298014
2,2,1973.5368432822793
2,2,1982.8035219701273
2,2,1968.0194955138916
2,2,1982.4350176923344
2,2,1593.8370199459903
2,2,1562.634136439543
2,2,1547.6954502587892
2,2,1593.6764875782217
2,2,1554.9310462812757
2,2,1593.5592360266983
2,2,1592.8043372456993
2,2,1587.0711915574104
2,2,1771.0457049316924
2,2,1749.732437401019
2,2,1733.8001036012179
2,2,1783.5513378628043
2,2,1764.7585503808157
2,2,1732.687929045249
2,3,1826.5997650629895
2,3,1824.4147969996784
2,3,1814.3457209379626
2,3,1813.5667147264307
2,3,1824.1789064256782
2,3,1830.4506567358949
2,3,1826.879152251108
2,3,1996.749267176102
2,3,1973.6452936708029
2,3,1967.4689647825217
2,3,1954.5316013914212
2,3,1995.9013083842651
2,3,1973.9029550038933
2,3,2043.9992270695745
2,3,2008.0962548263199
2,3,2041.2374023849907
2,3,2036.5133635809038
2,3,1712.4949285599114
2,3,1726.625401299904
2,3,1714.027851229685
2,3,1735.0749315746973
2,3,1741.9261532414428
2,3,1682.8269223869622
2,3,1727.928102356826
2,3,1712.3910866937545
2,3,1562.1722377991061
2,3,1565.8621114590264
2,3,1542.4580169973651
2,3,1542.786757822267
2,3,1560.3064038397908
2,3,1184.0517625094512
2,3,1192.652281381538
2,3,1198.9223556960442
2,3,1178.3787726103058
2,3,1178.7802028155975
2,3,1176.9360859928834
2,3,1166.6306853572062
2,3,1179.4364237075692
2,3,1179.2960086986216
2,3,1178.7485134453811
2,3,1177.0932126644266
2,3,1179.441766890756
2,3,1178.5678266418965
2,3,1179.8650183322056
2,3,1179.410661234909
2,3,1176.3463597525813
2,3,1179.52834210731
2,3,1426.6583925802195
2,3,1426.6823204029388
2,3,1321.2868197445714
2,3,1302.7705813072118
2,3,1301.5123120878413
2,3,1334.7646803279627
2,3,1452.840850350305
2,3,1303.8046371541843
2,2,1529.2168546141877
2,2,1505.7390883924884
2,2,1530.131790735394
2,2,1535.3420845850305
2,2,1532.7456769443752
2,2,1512.6092560605366
2,2,1507.829504177586
2,2,1504.0622523577133
2,2,1377.404884050002
2,2,1365.2053561216806
2,2,1387.1599804581722
2,2,1385.0853036242117
2,2,1385.5260826078086
2,2,1385.474967191918
2,2,1384.0295089183069
