EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,B52,TAETIGKEITSSCHLUESSEL5
319,2,46,1,aa,28,3,1025.7345457686915,3
3934,1,45,2,aa,28,3,683.0957722561873,3
5822,1,46,2,aa,14,2,224.8699201424405,3
5862,1,49,1,aa,25,1,1227.2418161763767,3
6442,1,50,2,aa,16,3,415.20644352846665,3
7773,2,41,2,aa,14,1,137.16925434889163,1
11909,2,41,2,aa,14,1,159.4861491621047,3
16634,2,22,2,aa,58,4,97.45280191839277,3
16927,1,16,2,aa,45,3,370.8556621762882,3
19201,1,51,1,aa,10,3,1448.3106206640614,1
19806,1,2,2,aa,42,3,559.4954725517987,1
25258,1,51,2,aa,17,2,400.2850492774301,1
26566,1,47,2,aa,14,4,231.2889370533753,1
33895,1,43,1,aa,0,4,1839.9530992705245,3
38781,1,60,1,aa,30,5,1702.8995262759458,1
40515,2,41,2,aa,21,3,564.4813024979576,1
44949,1,41,2,aa,23,5,535.1113719519112,1
70131,1,43,1,aa,2,2,1469.5072674797398,1
70887,2,16,2,aa,63,3,535.5478920750033,1
81114,1,14,2,aa,35,2,502.4909136150209,3
93577,1,42,2,aa,9,5,322.50990806263104,1
95619,2,30,2,aa,53,5,672.1870623068957,1
99408,2,14,2,aa,63,5,898.3032893521627,1
105280,2,42,2,aa,9,3,343.90104550455453,3
106688,2,20,2,aa,9,3,19.181750462071932,3
107781,1,51,2,aa,10,3,11.647114876012306,3
107912,1,20,2,aa,10,5,7.4197474833953905,3
108033,1,20,2,aa,17,3,29.847036159853445,3
108136,1,20,2,aa,8,1,2.408338791985191,3
108486,1,16,2,aa,58,4,357.97279587766013,3
109001,1,45,1,aa,33,4,835.188201310487,3
109358,2,41,1,aa,44,5,863.5505596805724,1
110358,1,20,2,aa,27,5,141.24116534856975,3
110602,1,20,2,aa,26,1,163.22381133391167,1
111100,2,20,2,aa,8,4,13.566322317397766,1
111250,1,33,1,aa,3,1,1430.1261400296003,1
111828,1,20,2,aa,14,1,65.51191132605206,3
112048,2,20,2,aa,11,4,7.389249660015182,3
112574,1,20,2,aa,11,4,11.073686564558738,3
112901,1,50,2,aa,9,4,25.74420377940321,3
113033,1,51,2,aa,24,1,343.6158083521066,1
113841,1,50,2,aa,25,4,352.2982844632097,3
114139,1,20,2,aa,14,1,99.31581679834858,3
114216,1,45,1,aa,32,6,845.9596885510746,3
151705,1,50,2,aa,50,5,359.4667393584568,3
151880,1,20,2,aa,20,4,175.49386442664098,1
152136,1,51,2,aa,17,4,519.6986712343174,3
152183,1,47,1,aa,41,4,852.7184150593656,1
152309,2,53,2,aa,48,2,168.62621738315397,1
152397,2,47,1,aa,42,1,841.9143990908785,1
152615,1,51,2,aa,50,6,347.058721311851,1
152707,1,53,2,aa,45,6,308.54261313517185,1
153207,1,54,2,aa,51,5,5.841359039982738,3
153273,1,55,2,aa,49,5,11.307689547848806,1
153516,2,53,2,aa,40,6,182.98277932110693,3
153650,1,51,2,aa,49,1,365.36646391280306,3
153929,1,50,2,aa,43,2,359.94554191423026,1
153971,2,51,1,aa,14,1,507.7402867186514,3
