EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,B52
6760,2,41,1,aa,14,252.3228005986751
7728,1,41,1,aa,10,1343.9181962901068
10517,1,53,2,aa,10,20.71841505936558
16536,2,47,2,aa,14,627.0712478577266
19792,2,47,1,aa,9,847.3065745249628
22635,2,47,1,aa,16,984.6665774899466
23106,1,41,2,aa,10,291.4477781880938
23613,1,40,2,aa,20,1187.66967142671
27935,1,51,1,aa,15,968.142524638715
28128,1,53,2,aa,14,2.6861207894048
29331,1,41,1,aa,51,540.8962257002123
34839,2,33,2,aa,8,166.41388174869994
37844,1,46,1,aa,45,4.935377974092134
43907,2,41,2,aa,33,17.718219174684183
106705,1,18,2,aa,40,531.8026998435654
106760,1,36,1,aa,24,1249.1460383566052
107002,1,18,2,aa,29,1315.6024557684582
107059,2,18,2,aa,56,347.91937710214927
107300,2,46,1,aa,55,843.8079041760533
107312,2,18,2,aa,29,166.3345610718443
107656,2,20,2,aa,48,843.6307783295965
108541,1,18,2,aa,49,847.7430745810524
109001,1,20,2,aa,28,325.6959041633818
109764,1,50,1,aa,51,1258.8776208667605
110073,1,20,1,aa,51,1189.67738185804
110656,1,18,1,aa,28,851.7503414839355
110895,1,41,1,aa,48,1252.6713249317631
111447,1,40,1,aa,28,1120.7057858015705
111755,2,50,2,aa,45,912.3567845871944
112449,1,18,2,aa,44,1150.368825321197
113688,1,41,1,aa,20,468.81536546945466
113702,1,18,2,aa,29,380.31604309101306
113841,1,20,1,aa,43,966.570988807496
113847,2,54,2,aa,57,1264.7286767225207
114433,1,32,2,aa,43,860.1049991812926
114544,1,35,2,aa,23,1174.9461082593093
114556,1,46,2,aa,45,412.7197444635161
114663,2,35,2,aa,28,1314.1813814479403
151962,1,45,2,aa,34,1122.8373464564245
152138,1,45,1,aa,15,102.81344159489605
152523,1,47,2,aa,40,17.735245643127048
152746,1,20,2,aa,16,1156.8430490429598
153376,1,20,2,aa,34,11.950522752277251
153418,1,47,2,aa,44,595.1967129737031
153448,1,52,1,aa,9,1143.8071987147637
153937,1,20,2,aa,50,1268.1049262477486
154437,1,20,2,aa,51,11.647114876012306
154754,1,37,2,aa,15,343.3635733158161
165326,1,54,1,aa,55,1127.5917688818301
166032,2,20,1,aa,4,412.8195729196228
166040,2,20,1,aa,2,1122.6275152299108
168722,1,47,1,aa,50,172.26490231648643
169851,1,50,1,aa,3,526.7377576456383
173717,1,41,1,aa,4,1151.9141297152657
176437,1,52,1,aa,56,151.90706315098586
188106,2,20,1,aa,37,1248.222929493505
188998,1,33,1,aa,51,1341.445954771586
189383,1,20,1,aa,29,403.2866984016084
191057,1,37,1,aa,48,1321.8166568442796
191248,2,52,1,aa,48,1151.8653784950473
191349,2,20,1,aa,17,1265.874434366321
196585,2,37,1,aa,17,643.2811238858723
197483,2,45,2,aa,14,232.4632068300573
202524,2,50,2,aa,21,606.261789790456
203584,1,41,2,aa,21,364.0722670154875
203618,1,41,2,aa,15,80.12591712261252
204207,1,20,2,aa,16,569.0554241354838
204258,2,52,2,aa,51,692.4813024979576
207847,2,20,2,aa,57,396.06702877659546
208789,1,20,2,aa,43,565.5666345691092
211968,1,41,1,aa,21,644.5597504851487
213634,1,47,1,aa,10,327.6849652234979
214097,1,18,1,aa,56,838.7552918719426
214962,1,51,2,aa,26,848.3702565477713
215329,1,20,1,aa,8,924.5362375252963
223249,1,20,1,aa,9,629.9240976959954
225905,1,47,2,aa,9,325.01396599264973
226525,1,51,1,aa,55,1182.2926882312213
227500,1,52,1,aa,3,862.9427124416261
228863,1,20,1,aa,3,902.2910515453409
229326,1,51,1,aa,3,852.105770183146
247595,2,53,2,aa,10,1250.2266169013017
249816,2,47,1,aa,22,363.09577225618733
251311,2,40,2,aa,41,543.2064435284667
253175,2,40,1,aa,45,859.555659292024
254579,2,20,1,aa,16,1272.8733488669266
257599,2,51,1,aa,22,917.151824878567
258941,2,41,1,aa,44,458.0405914850577
279567,1,27,1,aa,55,1317.509302272875
280106,1,20,1,aa,28,240.15423331342055
280136,2,57,1,aa,14,1200.5537915039858
284175,1,20,1,aa,55,1315.3577047638846
284820,2,50,1,aa,15,1201.0479943947137
285264,2,51,1,aa,9,510.46676217849654
290749,1,51,1,aa,9,291.1520687794416
294107,1,35,1,aa,48,291.8816115153258
300431,2,36,2,aa,14,427.45449293182884
301905,2,54,2,aa,58,833.6562135247777
304708,2,24,1,aa,51,838.2850669187353
304772,2,30,1,aa,9,305.3598170032805
306363,2,20,2,aa,23,1147.753988354693
306825,1,55,2,aa,28,980.2216393200201
307399,1,60,1,aa,14,985.9433942422173
312835,2,18,2,aa,17,832.4063552313817
317612,2,57,2,aa,58,1143.4985804653447
318265,1,53,1,aa,17,556.5517580004547
318731,1,52,2,aa,14,609.0421178280394
325039,2,35,2,aa,14,503.34132488900025
327219,2,51,1,aa,28,1335.9964623355388
341970,2,20,2,aa,23,580.0369447573883
345586,2,41,1,aa,11,1269.823401758793
350664,2,52,1,aa,29,1137.0305344558933
351870,2,45,1,aa,43,299.1656807057351
352755,2,47,1,aa,29,1214.4918820563933
353346,2,40,2,aa,41,469.04285841016343
353444,2,50,2,aa,38,1153.3011472275869
355674,2,53,2,aa,35,1147.4407929446286
355719,1,20,2,aa,54,468.7686432403204
356527,1,41,1,aa,41,484.73622075822004
358055,1,45,2,aa,39,435.99006686971165
377010,1,45,1,aa,34,1168.2662095281348
377054,1,52,1,aa,24,848.7708877850205
377966,1,52,2,aa,45,1138.3722727792488
378287,1,31,1,aa,45,904.2778670484848
378805,1,41,1,aa,41,654.5778741067506
381504,1,24,2,aa,44,15.10786230889208
382734,1,58,2,aa,59,1261.3485908447035
383392,1,37,2,aa,40,1204.0328027941828
384284,1,20,2,aa,45,338.13346839881495
