B27,TAETIGKEITSSCHLUESSEL4,B52
aa,2,1124.6713249317631
aa,2,1130.8776208667605
aa,2,1123.6024557684582
aa,2,1122.1813814479403
aa,2,1137.834835713355
aa,2,1138.83869092902
aa,2,1151.9181962901068
aa,2,1136.7286767225207
aa,2,1121.1460383566052
aa,2,1212.7376506423936
aa,2,1153.4115716031408
aa,2,1174.9461082593093
aa,2,1157.2550304598217
aa,2,1167.1835377636603
aa,2,1215.7307569900945
aa,2,1157.674692912849
aa,2,1199.6143974295273
aa,2,1171.6333136885592
aa,2,442.8919095431722
aa,2,447.8282594305315
aa,2,388.8430490429598
aa,2,320.44585898701007
aa,2,350.2926882312213
aa,2,360.2098524954972
aa,2,419.74886873264234
aa,2,2.226616901301579
aa,2,24.87334886692665
aa,2,10.384321620160186
aa,2,10.52142920508171
aa,2,190.46676217849654
aa,2,134.30413755888318
aa,2,241.3598170032805
aa,2,245.72724646591442
aa,2,150.3313614114702
aa,2,164.73622075822004
aa,2,233.06673419940748
aa,2,183.34132488900022
aa,2,179.99006686971165
aa,2,239.1078623088921
aa,2,240.15423331342055
aa,2,519.7632230306516
aa,2,556.5517580004547
aa,2,563.8867884844348
aa,2,609.0421178280394
aa,2,590.5778741067506
aa,2,592.5557340969696
aa,2,516.0369447573883
aa,2,609.541775570041
aa,2,966.2850669187353
aa,2,897.6562135247777
aa,2,916.2216393200201
aa,2,960.4063552313817
aa,2,984.6665774899466
aa,2,975.3065745249628
aa,1,8.14252463871506
aa,1,6.570988807496008
aa,1,9.901349921782721
aa,1,25.535623928863316
aa,1,19.750341483935465
aa,1,11.807904176053306
aa,1,28.1049991812926
aa,1,156.8962257002123
aa,1,235.63077832959658
aa,1,240.3567845871944
aa,1,239.74307458105235
aa,1,241.73524564312706
aa,1,151.90706315098586
aa,1,166.81344159489606
aa,1,246.1324511582432
aa,1,235.95052275227727
aa,1,464.1259171226125
aa,1,467.2866984016084
aa,1,391.6849652234979
aa,1,412.8195729196228
aa,1,491.09577225618733
aa,1,471.3635733158161
aa,1,464.9264136601146
aa,1,458.0405914850577
aa,1,325.01396599264973
aa,1,343.2942297520246
aa,1,332.06702877659546
aa,1,364.0722670154875
aa,1,643.2811238858723
aa,1,654.7377576456383
aa,1,659.1967129737031
aa,1,697.0724750505927
aa,1,695.111318584048
aa,1,672.7405130955426
aa,1,701.8854248832521
aa,1,682.3036497571339
aa,1,680.211540366292
aa,1,966.7552918719426
aa,1,966.2910515453409
aa,1,988.527712067742
aa,1,975.6032217642334
aa,1,986.7833172845546
aa,1,858.9620488479977
aa,1,847.1308948952279
aa,1,834.2798752425743
aa,1,858.2406512489788
aa,1,860.3228005986751
aa,1,849.7182191746842
aa,1,836.9353779740921
aa,1,834.6861207894048
aa,1,852.7184150593656
aa,1,846.359872231758
aa,1,835.4477781880938
aa,1,862.1580215455066
aa,1,1190.4138817486999
aa,1,1179.9193771021492
aa,1,1157.6959041633818
aa,1,1258.4076827347274
aa,1,1267.1672805359221
aa,1,1261.3485908447035
aa,1,1147.4407929446286
aa,1,1137.0305344558933
aa,1,1141.823401758793
aa,1,1128.1331047640674
aa,1,1146.0164013970914
aa,1,1138.3722727792488
aa,1,1151.2459410281965
aa,1,1312.6505736137933
aa,1,1335.4985804653447
aa,1,1336.5239971973567
aa,1,1336.276895751993
aa,1,1339.753988354693
aa,1,1315.3577047638846
