EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5
1058,2,40,1,aa,24,3,3
2026,1,58,2,aa,14,4,3
2973,1,37,1,aa,24,1,3
4538,1,45,1,aa,58,2,3
7728,1,41,1,aa,15,3,1
12584,2,53,2,aa,45,3,1
13074,2,45,1,aa,14,5,1
15765,2,54,2,aa,28,3,1
17383,1,45,2,aa,39,3,3
17548,1,46,1,aa,17,3,1
19754,1,41,1,aa,17,2,1
21666,1,40,1,aa,16,4,1
22048,1,45,1,aa,27,3,3
22700,1,41,1,aa,45,4,1
23814,1,20,2,aa,27,2,1
32307,2,47,2,aa,42,5,1
34376,1,20,2,aa,43,1,3
34400,1,45,2,aa,50,5,3
34968,2,40,2,aa,20,3,3
37546,1,18,2,aa,24,2,3
38415,1,18,2,aa,32,5,3
39922,2,45,1,aa,15,5,1
41567,2,20,1,aa,8,1,1
42671,2,20,1,aa,16,1,1
44574,2,36,1,aa,15,5,1
47471,1,52,2,aa,15,4,1
49103,1,18,2,aa,14,5,1
68581,1,20,2,aa,58,1,1
78736,1,18,2,aa,58,4,3
91776,1,41,2,aa,51,4,1
106674,1,36,2,aa,57,2,1
107316,2,36,2,aa,20,3,3
109358,1,20,1,aa,43,3,3
110288,1,18,1,aa,22,4,3
111186,2,18,2,aa,32,2,3
112301,1,53,2,aa,59,5,1
112398,1,18,2,aa,57,4,1
113688,1,18,1,aa,57,1,3
114544,2,18,1,aa,25,1,3
152069,1,36,2,aa,50,5,1
152279,1,20,1,aa,21,2,3
152397,1,51,2,aa,55,5,3
152804,1,20,2,aa,48,6,1
153464,1,54,2,aa,51,6,3
153756,1,36,2,aa,15,4,1
154336,1,20,2,aa,50,6,3
154440,1,35,2,aa,56,2,3
154471,1,35,2,aa,26,4,3
154511,1,20,2,aa,45,6,3
155068,1,51,2,aa,48,6,1
155392,2,20,2,aa,36,1,1
155446,2,45,2,aa,28,2,1
168916,1,46,1,aa,54,6,3
178130,1,52,1,aa,16,1,3
180174,1,41,1,aa,45,4,1
182983,1,36,1,aa,6,1,3
185154,2,52,1,aa,15,2,3
188030,1,20,1,aa,5,1,3
189766,1,45,1,aa,10,4,1
191349,2,45,1,aa,10,2,1
201866,2,52,2,aa,55,1,1
202159,1,52,1,aa,44,5,1
205890,2,45,2,aa,14,4,1
205952,1,45,2,aa,16,4,3
206865,1,52,1,aa,43,1,1
208263,2,52,1,aa,14,1,1
208789,2,45,1,aa,43,5,1
208829,1,47,2,aa,14,2,3
210599,1,46,1,aa,17,2,1
211021,1,18,1,aa,51,5,1
212728,2,18,1,aa,57,5,1
214119,1,47,2,aa,57,5,1
214827,1,45,1,aa,8,2,1
218908,1,45,2,aa,44,2,1
219235,1,51,1,aa,23,2,1
219728,1,53,2,aa,15,5,1
224901,1,50,2,aa,22,2,3
228055,1,18,1,aa,23,1,3
228863,1,46,1,aa,44,5,3
246865,2,18,1,aa,44,2,3
247338,2,45,1,aa,22,2,3
249707,2,18,1,aa,24,2,3
253359,2,52,1,aa,39,5,3
258223,2,18,2,aa,3,2,3
259293,2,55,2,aa,9,2,3
260665,2,40,2,aa,14,2,3
279170,1,60,1,aa,14,1,1
280498,1,36,1,aa,22,6,1
280720,2,24,1,aa,14,3,1
280865,1,24,1,aa,17,6,1
280875,2,27,1,aa,58,2,1
283410,2,50,1,aa,15,6,1
285825,1,30,2,aa,14,6,3
285943,1,29,2,aa,23,5,3
285992,2,47,1,aa,25,5,3
293036,2,18,2,aa,23,1,3
294889,2,46,1,aa,28,1,3
296662,2,46,1,aa,9,5,3
302685,2,50,2,aa,50,5,3
303024,1,50,2,aa,15,2,3
308932,1,53,1,aa,14,5,3
313231,2,58,2,aa,14,3,3
320532,2,41,2,aa,14,5,3
320738,1,20,2,aa,28,5,3
321274,1,47,1,aa,8,5,3
326662,2,20,2,aa,51,5,3
336641,2,55,1,aa,40,3,3
344483,2,60,1,aa,37,3,1
344509,2,51,1,aa,42,2,3
346385,2,55,1,aa,57,5,1
347560,2,55,2,aa,40,5,1
348962,2,51,1,aa,40,2,1
350020,2,45,1,aa,42,6,1
352332,2,20,2,aa,39,5,1
355303,2,45,2,aa,16,5,1
355606,2,46,1,aa,25,5,1
377636,1,53,1,aa,37,1,1
378877,1,29,1,aa,49,5,3
379837,1,45,1,aa,20,3,1
380320,1,50,2,aa,26,5,1
380992,1,29,2,aa,38,1,3
381780,1,54,2,aa,41,2,1
382091,1,47,2,aa,50,2,3
382490,1,45,2,aa,43,6,3
383130,1,20,2,aa,54,3,3
383815,1,45,2,aa,41,2,3
384164,1,50,2,aa,49,6,3
384177,1,20,2,aa,44,6,3
