EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2
1058,2,40,1,aa,24,3
2026,1,58,2,aa,14,4
2973,1,37,1,aa,24,1
4538,1,45,1,aa,58,2
7728,1,41,1,aa,15,3
12584,2,53,2,aa,45,3
13074,2,45,1,aa,14,5
15765,2,54,2,aa,28,3
17383,1,45,2,aa,39,3
17548,1,46,1,aa,17,3
19754,1,41,1,aa,17,2
21666,1,40,1,aa,16,4
22048,1,45,1,aa,27,3
22700,1,41,1,aa,45,4
23814,1,20,2,aa,27,2
32307,2,47,2,aa,42,5
34376,1,20,2,aa,43,1
34400,1,45,2,aa,50,5
34968,2,40,2,aa,20,3
37546,1,18,2,aa,24,2
38415,1,18,2,aa,32,5
39922,2,45,1,aa,15,5
41567,2,20,1,aa,8,1
42671,2,20,1,aa,16,1
44574,2,36,1,aa,15,5
47471,1,52,2,aa,15,4
49103,1,18,2,aa,14,5
68581,1,20,2,aa,58,1
78736,1,18,2,aa,58,4
91776,1,41,2,aa,51,4
106674,1,36,2,aa,57,2
107316,2,36,2,aa,20,3
109358,1,20,1,aa,43,3
110288,1,18,1,aa,22,4
111186,2,18,2,aa,32,2
112301,1,53,2,aa,59,5
112398,1,18,2,aa,57,4
113688,1,18,1,aa,57,1
114544,2,18,1,aa,25,1
152069,1,36,2,aa,50,5
152279,1,20,1,aa,21,2
152397,1,51,2,aa,55,5
152804,1,20,2,aa,48,6
153464,1,54,2,aa,51,6
153756,1,36,2,aa,15,4
154336,1,20,2,aa,50,6
154440,1,35,2,aa,56,2
154471,1,35,2,aa,26,4
154511,1,20,2,aa,45,6
155068,1,51,2,aa,48,6
155392,2,20,2,aa,36,1
155446,2,45,2,aa,28,2
168916,1,46,1,aa,54,6
178130,1,52,1,aa,16,1
180174,1,41,1,aa,45,4
182983,1,36,1,aa,6,1
185154,2,52,1,aa,15,2
188030,1,20,1,aa,5,1
189766,1,45,1,aa,10,4
191349,2,45,1,aa,10,2
201866,2,52,2,aa,55,1
202159,1,52,1,aa,44,5
205890,2,45,2,aa,14,4
205952,1,45,2,aa,16,4
206865,1,52,1,aa,43,1
208263,2,52,1,aa,14,1
208789,2,45,1,aa,43,5
208829,1,47,2,aa,14,2
210599,1,46,1,aa,17,2
211021,1,18,1,aa,51,5
212728,2,18,1,aa,57,5
214119,1,47,2,aa,57,5
214827,1,45,1,aa,8,2
218908,1,45,2,aa,44,2
219235,1,51,1,aa,23,2
219728,1,53,2,aa,15,5
224901,1,50,2,aa,22,2
228055,1,18,1,aa,23,1
228863,1,46,1,aa,44,5
246865,2,18,1,aa,44,2
247338,2,45,1,aa,22,2
249707,2,18,1,aa,24,2
253359,2,52,1,aa,39,5
258223,2,18,2,aa,3,2
259293,2,55,2,aa,9,2
260665,2,40,2,aa,14,2
279170,1,60,1,aa,14,1
280498,1,36,1,aa,22,6
280720,2,24,1,aa,14,3
280865,1,24,1,aa,17,6
280875,2,27,1,aa,58,2
283410,2,50,1,aa,15,6
285825,1,30,2,aa,14,6
285943,1,29,2,aa,23,5
285992,2,47,1,aa,25,5
293036,2,18,2,aa,23,1
294889,2,46,1,aa,28,1
296662,2,46,1,aa,9,5
302685,2,50,2,aa,50,5
303024,1,50,2,aa,15,2
308932,1,53,1,aa,14,5
313231,2,58,2,aa,14,3
320532,2,41,2,aa,14,5
320738,1,20,2,aa,28,5
321274,1,47,1,aa,8,5
326662,2,20,2,aa,51,5
336641,2,55,1,aa,40,3
344483,2,60,1,aa,37,3
344509,2,51,1,aa,42,2
346385,2,55,1,aa,57,5
347560,2,55,2,aa,40,5
348962,2,51,1,aa,40,2
350020,2,45,1,aa,42,6
352332,2,20,2,aa,39,5
355303,2,45,2,aa,16,5
355606,2,46,1,aa,25,5
377636,1,53,1,aa,37,1
378877,1,29,1,aa,49,5
379837,1,45,1,aa,20,3
380320,1,50,2,aa,26,5
380992,1,29,2,aa,38,1
381780,1,54,2,aa,41,2
382091,1,47,2,aa,50,2
382490,1,45,2,aa,43,6
383130,1,20,2,aa,54,3
383815,1,45,2,aa,41,2
384164,1,50,2,aa,49,6
384177,1,20,2,aa,44,6
