TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27,EF48,TAETIGKEITSSCHLUESSEL5
1,53,2,48,6,1,aa,79.18353776366034,1
1,60,2,7,2,3,aa,101.67738185803991,3
1,45,1,4,1,5,aa,115.07124785772663,3
1,18,2,8,5,5,aa,120.64560119735017,1
2,18,2,6,6,3,aa,265.1195009702975,1
1,45,2,28,6,5,aa,288.57009855486024,3
2,20,1,6,5,3,aa,316.5235795809119,3
2,41,2,15,5,5,aa,317.2262980998511,3
1,18,2,7,5,5,aa,321.48102619108533,3
2,18,2,14,5,3,aa,336.4230807325839,3
1,29,1,14,5,3,aa,360.96260499591517,3
1,20,2,8,5,1,aa,363.1332691382184,1
1,20,2,15,5,1,aa,363.84819539199094,1
2,20,1,50,2,1,aa,453.3722415788096,3
2,41,2,29,1,1,aa,461.141977614992,1
2,45,1,28,2,5,aa,467.80269984356545,1
2,51,2,3,6,5,aa,470.94610825930926,3
1,45,2,54,2,3,aa,471.6158083521066,3
2,45,1,51,2,5,aa,487.50068296787094,1
2,18,2,51,2,3,aa,489.43683011873117,1
2,18,2,3,5,3,aa,490.303649757134,1
1,53,2,11,5,3,aa,495.61439742952746,1
2,41,2,28,2,3,aa,497.3331549798931,3
2,18,2,25,2,1,aa,509.8854248832521,1
2,37,1,29,6,4,aa,512.8127104627633,3
2,37,1,57,4,4,aa,516.0369447573883,3
1,24,2,48,2,4,aa,525.5105837438854,3
2,45,1,48,2,5,aa,526.5778741067506,3
1,47,1,51,2,4,aa,530.133468398815,3
1,53,2,23,3,5,aa,531.6333136885593,3
2,20,1,50,4,3,aa,540.7197444635161,3
1,18,1,27,2,4,aa,543.2064435284667,1
1,60,1,28,1,4,aa,545.4573534450417,1
1,36,2,49,5,3,aa,552.4432786400403,1
1,45,1,28,1,1,aa,563.9900668697117,1
2,20,1,15,2,2,aa,569.0554241354838,1
2,36,2,15,4,2,aa,673.6562135247777,1
2,52,2,59,3,4,aa,674.8373464564245,1
2,45,2,59,4,2,aa,680.2778670484848,1
1,46,2,20,5,4,aa,688.1542333134206,1
2,32,2,22,4,4,aa,688.7708877850205,3
1,55,1,38,4,5,aa,702.3688253211968,3
2,50,1,38,1,2,aa,703.9181962901067,3
2,20,1,15,2,3,aa,713.8707559481843,1
2,45,1,29,4,5,aa,734.2157246177842,1
1,41,2,37,2,2,aa,748.5517580004547,1
1,51,1,37,2,5,aa,769.4115716031408,1
1,56,2,37,3,3,aa,770.2920767132106,1
1,51,2,54,3,5,aa,772.3627628958808,1
1,41,2,36,2,5,aa,775.7632230306516,1
1,55,1,15,5,1,aa,777.3426498635262,1
1,33,1,37,5,1,aa,780.5701338374706,3
1,45,1,34,5,1,aa,801.0421178280394,3
1,51,1,32,3,1,aa,803.6696714267101,3
1,45,1,33,4,1,aa,819.8867884844348,3
1,47,1,11,1,3,aa,823.3413248890002,3
1,55,1,49,5,5,aa,831.7307569900944,3
1,53,2,35,3,3,aa,906.5100609196434,3
1,53,1,56,3,3,aa,910.4098230738331,3
1,20,1,34,5,3,aa,921.1642061813636,3
1,54,2,38,3,5,aa,939.5104834670424,3
1,20,2,37,3,2,aa,966.8728766987367,3
1,51,2,56,1,5,aa,1036.6082751177664,1
1,50,2,15,5,5,aa,1068.6627228229404,1
2,50,2,2,5,1,aa,1093.439268013122,1
1,51,1,10,5,3,aa,1097.47244151644,3
2,50,1,29,1,1,aa,1110.9089858636576,3
1,18,1,27,6,5,aa,1248.6505736137933,3
2,40,1,14,1,3,aa,1256.0629585613062,1
2,20,1,56,6,5,aa,1265.0305344558933,3
2,36,2,58,5,3,aa,1265.735245643127,3
2,20,1,15,5,1,aa,1266.3722727792488,3
1,32,2,55,1,3,aa,1267.406720797448,1
1,20,2,57,1,5,aa,1271.4985804653447,1
2,18,1,11,5,3,aa,1272.276895751993,3
2,20,2,14,6,3,aa,1272.5239971973567,3
1,20,2,29,5,3,aa,1274.0164013970914,1
1,20,1,28,1,1,aa,1275.4407929446286,3
2,54,2,58,5,5,aa,1279.2333810892483,1
2,20,1,29,6,5,aa,1279.2459410281965,1
1,20,1,29,5,3,aa,1312.5324190562694,3
1,46,2,11,5,1,aa,1327.802091009109,3
1,41,1,50,1,5,aa,1327.8141263019718,1
1,20,1,58,6,1,aa,1367.2936070351718,3
1,20,1,20,3,4,aa,1547.3918083267636,3
1,18,1,42,5,4,aa,1549.7911127523753,1
1,36,1,42,5,4,aa,1569.8528273202292,1
1,20,1,42,2,4,aa,1591.8387542042985,3
1,47,1,43,5,4,aa,1593.7924514004246,3
1,20,1,54,5,2,aa,1612.6691221436886,3
1,20,1,17,5,5,aa,1656.6320861820261,1
1,47,1,17,2,5,aa,1702.5733968032168,3
1,35,1,40,3,2,aa,1710.7271466316322,1
1,20,1,42,2,4,aa,1717.394363378814,3
1,45,2,42,2,4,aa,1721.6391458392454,3
1,40,1,41,3,4,aa,1752.5298046329729,3
1,51,1,42,3,4,aa,1781.7838190863442,3
1,53,1,44,2,2,aa,1824.1114647467525,3
2,50,2,40,2,2,aa,1825.1133084506507,3
1,54,2,5,5,5,aa,1825.21076226074,1
1,40,2,56,5,1,aa,1825.9212413058744,3
2,52,2,17,2,1,aa,1829.1921608100802,3
2,20,2,48,1,3,aa,1829.2038413673636,3
1,52,1,11,3,2,aa,1829.260714602541,3
2,40,1,43,1,2,aa,1829.8153891647983,3
2,52,1,16,2,3,aa,1831.5731720578053,1
2,46,2,16,1,3,aa,1831.8715372905262,1
1,47,2,17,1,1,aa,1832.1783922935972,1
1,51,2,45,1,2,aa,1832.9372171831606,1
1,20,2,17,2,1,aa,1833.603470437175,1
1,52,2,15,2,4,aa,1834.0524631238743,1
2,45,2,42,2,3,aa,1834.7739430640468,1
2,52,2,44,3,3,aa,1836.4366744334634,1
1,45,2,44,2,3,aa,1838.0524995906462,1
1,55,2,49,2,3,aa,1839.957064857633,3
1,59,1,55,5,4,aa,2051.281123885872,3
1,20,1,34,5,3,aa,2054.715409527769,1
1,53,1,33,5,3,aa,2058.0405914850576,1
1,18,1,56,2,4,aa,2059.01860454575,3
2,60,1,4,5,4,aa,2060.0670287765956,1
1,54,2,42,4,1,aa,2067.196712973703,3
1,57,2,15,2,4,aa,2092.0722670154873,1
2,20,1,34,5,3,aa,2095.9929246710776,3
1,18,2,33,4,4,aa,2096.164215446217,1
1,60,1,15,2,4,aa,2103.111318584048,1
1,18,1,41,3,4,aa,2103.507976709386,1
1,54,2,11,2,4,aa,2105.072475050593,3
1,60,2,59,5,3,aa,2186.0279319852993,1
2,50,1,14,5,2,aa,2205.4755152912767,3
2,60,2,14,5,3,aa,2222.5884595040493,3
