EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,TAETIGKEITSSCHLUESSEL5
1058,2,40,1,aa,24,3
2026,1,58,2,aa,14,3
2973,1,37,1,aa,24,1
4538,1,45,1,aa,58,3
7728,1,41,1,aa,15,3
12584,2,53,2,aa,45,3
13074,2,45,1,aa,14,1
15765,2,54,2,aa,28,3
17383,1,45,2,aa,39,1
17548,1,46,1,aa,17,1
19754,1,41,1,aa,17,1
21666,1,40,1,aa,16,1
22048,1,45,1,aa,27,3
22700,1,41,1,aa,45,3
23814,1,20,2,aa,27,3
32307,2,47,2,aa,42,1
34376,1,20,2,aa,43,3
34400,1,45,2,aa,50,3
34968,2,40,2,aa,20,1
37546,1,18,2,aa,24,3
38415,1,18,2,aa,32,1
39922,2,45,1,aa,15,1
41567,2,20,1,aa,8,1
42671,2,20,1,aa,16,1
44574,2,36,1,aa,15,1
47471,1,52,2,aa,15,1
49103,1,18,2,aa,14,1
68581,1,20,2,aa,58,3
78736,1,18,2,aa,58,3
91776,1,41,2,aa,51,3
106674,1,36,2,aa,57,3
107316,2,36,2,aa,20,3
109358,1,20,1,aa,43,3
110288,1,18,1,aa,22,3
111186,2,18,2,aa,32,1
112301,1,53,2,aa,59,3
112398,1,18,2,aa,57,1
113688,1,18,1,aa,57,3
114544,2,18,1,aa,25,1
152069,1,36,2,aa,50,1
152279,1,20,1,aa,21,3
152397,1,51,2,aa,55,1
152804,1,20,2,aa,48,3
153464,1,54,2,aa,51,1
153756,1,36,2,aa,15,3
154336,1,20,2,aa,50,3
154440,1,35,2,aa,56,1
154471,1,35,2,aa,26,3
154511,1,20,2,aa,45,1
155068,1,51,2,aa,48,3
155392,2,20,2,aa,36,3
155446,2,45,2,aa,28,1
168916,1,46,1,aa,54,1
178130,1,52,1,aa,16,3
180174,1,41,1,aa,45,3
182983,1,36,1,aa,6,3
185154,2,52,1,aa,15,3
188030,1,20,1,aa,5,1
189766,1,45,1,aa,10,1
191349,2,45,1,aa,10,1
201866,2,52,2,aa,55,1
202159,1,52,1,aa,44,3
205890,2,45,2,aa,14,3
205952,1,45,2,aa,16,1
206865,1,52,1,aa,43,1
208263,2,52,1,aa,14,1
208789,2,45,1,aa,43,3
208829,1,47,2,aa,14,1
210599,1,46,1,aa,17,1
211021,1,18,1,aa,51,3
212728,2,18,1,aa,57,1
214119,1,47,2,aa,57,3
214827,1,45,1,aa,8,1
218908,1,45,2,aa,44,3
219235,1,51,1,aa,23,3
219728,1,53,2,aa,15,1
224901,1,50,2,aa,22,1
228055,1,18,1,aa,23,1
228863,1,46,1,aa,44,1
246865,2,18,1,aa,44,3
247338,2,45,1,aa,22,3
249707,2,18,1,aa,24,3
253359,2,52,1,aa,39,3
258223,2,18,2,aa,3,3
259293,2,55,2,aa,9,3
260665,2,40,2,aa,14,3
279170,1,60,1,aa,14,1
280498,1,36,1,aa,22,1
280720,2,24,1,aa,14,1
280865,1,24,1,aa,17,1
280875,2,27,1,aa,58,1
283410,2,50,1,aa,15,1
285825,1,30,2,aa,14,3
285943,1,29,2,aa,23,3
285992,2,47,1,aa,25,3
293036,2,18,2,aa,23,3
294889,2,46,1,aa,28,3
296662,2,46,1,aa,9,3
302685,2,50,2,aa,50,3
303024,1,50,2,aa,15,3
308932,1,53,1,aa,14,3
313231,2,58,2,aa,14,3
320532,2,41,2,aa,14,3
320738,1,20,2,aa,28,3
321274,1,47,1,aa,8,3
326662,2,20,2,aa,51,3
336641,2,55,1,aa,40,3
344483,2,60,1,aa,37,1
344509,2,51,1,aa,42,1
346385,2,55,1,aa,57,3
347560,2,55,2,aa,40,3
348962,2,51,1,aa,40,1
350020,2,45,1,aa,42,1
352332,2,20,2,aa,39,1
355303,2,45,2,aa,16,1
355606,2,46,1,aa,25,1
377636,1,53,1,aa,37,1
378877,1,29,1,aa,49,1
379837,1,45,1,aa,20,1
380320,1,50,2,aa,26,1
380992,1,29,2,aa,38,3
381780,1,54,2,aa,41,1
382091,1,47,2,aa,50,3
382490,1,45,2,aa,43,3
383130,1,20,2,aa,54,3
383815,1,45,2,aa,41,3
384164,1,50,2,aa,49,3
384177,1,20,2,aa,44,3
