EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40
1058,2,40,1,aa,24
2026,1,58,2,aa,14
2973,1,37,1,aa,24
4538,1,45,1,aa,58
7728,1,41,1,aa,15
12584,2,53,2,aa,45
13074,2,45,1,aa,14
15765,2,54,2,aa,28
17383,1,45,2,aa,39
17548,1,46,1,aa,17
19754,1,41,1,aa,17
21666,1,40,1,aa,16
22048,1,45,1,aa,27
22700,1,41,1,aa,45
23814,1,20,2,aa,27
32307,2,47,2,aa,42
34376,1,20,2,aa,43
34400,1,45,2,aa,50
34968,2,40,2,aa,20
37546,1,18,2,aa,24
38415,1,18,2,aa,32
39922,2,45,1,aa,15
41567,2,20,1,aa,8
42671,2,20,1,aa,16
44574,2,36,1,aa,15
47471,1,52,2,aa,15
49103,1,18,2,aa,14
68581,1,20,2,aa,58
78736,1,18,2,aa,58
91776,1,41,2,aa,51
106674,1,36,2,aa,57
107316,2,36,2,aa,20
109358,1,20,1,aa,43
110288,1,18,1,aa,22
111186,2,18,2,aa,32
112301,1,53,2,aa,59
112398,1,18,2,aa,57
113688,1,18,1,aa,57
114544,2,18,1,aa,25
152069,1,36,2,aa,50
152279,1,20,1,aa,21
152397,1,51,2,aa,55
152804,1,20,2,aa,48
153464,1,54,2,aa,51
153756,1,36,2,aa,15
154336,1,20,2,aa,50
154440,1,35,2,aa,56
154471,1,35,2,aa,26
154511,1,20,2,aa,45
155068,1,51,2,aa,48
155392,2,20,2,aa,36
155446,2,45,2,aa,28
168916,1,46,1,aa,54
178130,1,52,1,aa,16
180174,1,41,1,aa,45
182983,1,36,1,aa,6
185154,2,52,1,aa,15
188030,1,20,1,aa,5
189766,1,45,1,aa,10
191349,2,45,1,aa,10
201866,2,52,2,aa,55
202159,1,52,1,aa,44
205890,2,45,2,aa,14
205952,1,45,2,aa,16
206865,1,52,1,aa,43
208263,2,52,1,aa,14
208789,2,45,1,aa,43
208829,1,47,2,aa,14
210599,1,46,1,aa,17
211021,1,18,1,aa,51
212728,2,18,1,aa,57
214119,1,47,2,aa,57
214827,1,45,1,aa,8
218908,1,45,2,aa,44
219235,1,51,1,aa,23
219728,1,53,2,aa,15
224901,1,50,2,aa,22
228055,1,18,1,aa,23
228863,1,46,1,aa,44
246865,2,18,1,aa,44
247338,2,45,1,aa,22
249707,2,18,1,aa,24
253359,2,52,1,aa,39
258223,2,18,2,aa,3
259293,2,55,2,aa,9
260665,2,40,2,aa,14
279170,1,60,1,aa,14
280498,1,36,1,aa,22
280720,2,24,1,aa,14
280865,1,24,1,aa,17
280875,2,27,1,aa,58
283410,2,50,1,aa,15
285825,1,30,2,aa,14
285943,1,29,2,aa,23
285992,2,47,1,aa,25
293036,2,18,2,aa,23
294889,2,46,1,aa,28
296662,2,46,1,aa,9
302685,2,50,2,aa,50
303024,1,50,2,aa,15
308932,1,53,1,aa,14
313231,2,58,2,aa,14
320532,2,41,2,aa,14
320738,1,20,2,aa,28
321274,1,47,1,aa,8
326662,2,20,2,aa,51
336641,2,55,1,aa,40
344483,2,60,1,aa,37
344509,2,51,1,aa,42
346385,2,55,1,aa,57
347560,2,55,2,aa,40
348962,2,51,1,aa,40
350020,2,45,1,aa,42
352332,2,20,2,aa,39
355303,2,45,2,aa,16
355606,2,46,1,aa,25
377636,1,53,1,aa,37
378877,1,29,1,aa,49
379837,1,45,1,aa,20
380320,1,50,2,aa,26
380992,1,29,2,aa,38
381780,1,54,2,aa,41
382091,1,47,2,aa,50
382490,1,45,2,aa,43
383130,1,20,2,aa,54
383815,1,45,2,aa,41
384164,1,50,2,aa,49
384177,1,20,2,aa,44
