B27,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,3
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,2,1
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,3
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
aa,1,1
