EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
2018,1941,2,1252.2629760316213,1
2018,1960,2,1174.345564993378,1
2018,1964,1,311.15799746917986,1
2018,1960,1,24.220934420905113,1
2018,1965,1,75.31871542710326,1
2018,1961,1,21.048491386132135,1
2018,1965,1,6.390899727325003,1
2018,1961,2,1884.1538032743574,1
2018,1966,2,1371.3013512556936,1
2018,1962,1,944.4901774027751,3
2018,1969,1,960.0228848874287,3
2018,1963,1,777.560825973662,3
2018,1970,2,346.58431186482386,1
2018,1963,1,363.80966551115347,1
2018,1970,1,769.3083463592503,3
2018,1964,1,378.09033167054235,1
2018,1970,1,373.3202526842045,1
2018,1965,2,847.2525340023316,1
2018,1970,1,366.59413287851777,1
2018,1965,1,840.1806552150679,3
2018,1970,1,355.00710570859286,1
2018,1970,1,373.3202526842045,1
2018,1971,1,19.379926964540484,1
2018,1970,1,850.9299027739934,3
2018,1971,1,364.2110467455263,1
2018,1970,1,327.3877050755475,1
2018,1971,2,317.2214911129716,3
2018,1971,2,911.6853506288314,1
2018,1975,1,936.2224140325338,3
2018,1971,1,772.7804506565072,3
2018,1976,1,818.9027255726563,3
2018,1972,1,243.07534155826238,3
2018,1976,1,147.9061184998929,3
2018,1974,1,226.59504702677984,3
2018,1976,1,243.07534155826238,3
2018,1975,2,509.1923706477105,3
2018,1977,2,858.2023809676314,3
2018,1976,1,162.74806412513544,3
2018,1977,2,856.44694735888,3
2018,1976,1,252.41474849818775,3
2018,1977,1,240.16945244839638,3
2018,1977,2,360.7866008608929,3
2018,1977,2,857.6434382901107,3
2018,1981,2,857.6434382901107,3
2018,1977,1,252.41474849818775,3
2018,1982,1,771.9917301144619,3
2018,1980,2,232.31517560974197,3
2018,1983,1,839.272565352853,3
2018,1984,1,245.4688403704656,3
2018,1986,1,195.96009914872891,3
2018,1986,1,81.83942449469035,3
2018,1987,1,847.2211900280861,3
2018,1988,1,1121.8886622942537,1
2018,1987,2,100.1967014875146,3
2018,1988,1,680.7767467800015,3
2018,1987,1,669.0056043419476,3
2018,1989,1,246.5777896513862,1
2018,1988,1,1137.3900159588227,1
2018,1989,2,131.5109820166196,3
2018,1988,1,3.0915110487198945,3
2018,1989,2,255.67823514138647,3
2018,1988,1,1126.0804112558942,1
2018,1989,1,850.7020381975084,3
2018,1988,2,69.92224667892206,3
2018,1990,2,333.9861951887962,1
2018,1989,2,140.50990720468883,3
2018,1990,2,169.08577789994436,3
2018,1989,2,454.22393192789383,1
2018,1990,1,125.87156776013268,3
2018,1989,2,684.3388537867438,1
2018,1992,1,518.4275316320575,1
2018,1989,1,660.9895012577764,3
2018,1994,1,523.0467993495038,1
2018,1990,1,211.39108239361065,3
2018,1994,1,668.2363196477959,3
2018,1990,2,969.0013912256861,1
2018,1996,2,188.29951136377622,3
2018,1990,1,321.001617675674,1
2018,1996,2,181.61612696753193,3
2018,1993,2,845.476564258754,1
2018,1996,1,345.7493316901072,1
2018,1994,2,327.30494584265165,1
2018,1996,1,377.10376985486016,1
2018,1995,2,148.37289780783718,3
2018,1997,2,323.3913469201508,1
2018,1996,2,358.4698566977444,1
2018,1997,2,190.2881632599073,1
2018,1996,1,572.4224113197711,1
2018,1997,1,652.9331434929436,1
2018,1996,1,138.64574946230542,3
2018,1998,2,545.6679637502523,1
2018,1997,2,858.5283278814237,1
2018,1998,1,36.18470674631007,3
2018,1998,1,350.41296007412444,1
2018,1998,1,544.9354479644708,1
2018,1998,1,383.05170277983905,1
2018,1999,2,123.1284722802394,3
2018,2002,1,1149.377780941814,1
2018,1999,2,91.70203248240679,3
2018,2002,2,119.16071165377669,3
2018,1999,2,545.1535425204748,1
2018,2003,1,325.5143514433562,1
2018,1999,1,1278.0019852582077,1
2018,2004,1,919.0297705217392,1
2018,1999,1,665.7382443331753,1
2018,2004,2,181.56670246167488,3
2018,2002,1,1133.7312059345365,3
2018,2004,1,1127.5156859369786,3
2018,2002,2,1157.8328705314725,3
2018,2005,1,1126.8653094534766,3
2018,2002,1,1272.4592484458449,3
2018,2005,1,1134.8898815329294,3
2018,2003,1,1130.743515384882,3
2018,2008,1,1125.5843934817644,3
2018,2005,1,1170.646066089354,3
2018,2008,2,1163.4258989237628,3
2018,2005,1,16.724444778517555,1
2018,2008,1,1203.8420617974039,3
2018,2005,1,1155.6239402827339,1
2018,2009,2,1206.5911700828353,3
2018,2008,1,1138.4625668508036,1
2018,2009,1,1189.0445029073692,1
2018,2008,1,1134.1705545901798,3
2018,2009,2,1214.3364113209916,3
2018,2009,2,1183.5287301682101,3
2018,2012,1,1149.7633795597362,1
2018,2009,1,1273.4807946715719,1
2018,2014,1,1265.605959176489,1
2018,2009,2,1208.8904315422294,3
2018,2015,2,1181.6821086123578,3
