EF16U2,TAETIGKEITSSCHLUESSEL4,B52
5,2,1132.7679889132444
5,2,1159.2049115369166
6,2,1198.1206317405565
5,2,1189.67738185804
5,2,1209.4357789144894
6,2,1121.1460383566052
5,2,1190.6869070002342
5,2,1174.9461082593093
6,2,1122.9036178574934
3,2,703.7307569900944
2,2,669.6292607253438
2,2,595.6333136885593
2,2,915.2915510366981
2,2,644.8430490429598
2,2,26.432767009335482
1,2,104.20985249549724
3,2,391.1695969035647
3,2,920.8733488669267
3,2,914.130113573116
2,2,190.46676217849654
1,2,905.6298036763031
2,2,107.45449293182884
3,2,984.3418012137647
2,2,905.0667341994075
2,2,694.655440108487
3,1,239.1078623088921
2,1,508.85648833234154
3,1,310.27587900022735
2,1,23.26082983625604
2,1,7.2889370533752995
2,1,251.91153119916072
3,1,417.54177557004095
2,1,397.6583323215322
2,1,424.4432786400402
2,1,492.2089872331861
3,1,158.61314904992554
3,1,860.6933030903922
3,1,841.9013499217828
2,1,672.5064940051019
3,1,971.8079041760533
2,1,860.6436470245669
2,1,843.6307783295965
2,1,591.9792419958901
2,1,977.7352456431271
3,1,649.1692543488916
3,1,684.2649023164864
3,1,845.6922973397258
3,1,841.6433492008042
3,1,836.2824265688104
3,1,853.5478861280936
2,1,833.7094653802029
1,1,229.02029574252884
1,1,429.08736338131354
1,1,396.06702877659546
1,1,31.95618985117799
1,1,142.73775764563837
1,1,73.13254346312047
1,1,119.111318584048
4,1,924.3362006992843
5,1,618.3036497571339
5,1,644.316818012475
4,1,966.2910515453409
5,1,533.6860909785445
4,1,986.7833172845546
5,1,535.1113719519112
5,1,516.5597504851487
5,1,308.8196178359234
5,1,397.74575339747344
5,1,475.7564640683195
5,1,361.43683011873117
5,1,429.12899064125634
5,1,318.15802154550653
5,1,290.20242539016283
5,1,290.8479520816909
5,1,454.37640262097403
5,1,13.348590844703512
4,1,12.890697264467317
5,1,107.64680351758592
5,1,25.625448610318976
5,1,484.74454555849775
6,2,420.6440571230703
6,2,366.9971609306896
6,2,390.2815482812878
6,2,439.507976709386
6,2,319.5505596805724
6,2,395.01860454575
6,2,388.8287707442027
6,2,432.9586179962841
6,2,304.4489677001044
6,2,417.4717432546877
5,2,976.305196647983
5,2,973.2430200797096
5,2,858.39624142374
5,2,556.3541184480955
5,2,858.4509400795604
5,2,837.9834656602543
5,2,516.061273809899
5,2,565.5880745607432
5,2,556.358682238433
3,1,1151.213110417905
3,1,1124.4298097591202
3,1,1151.61929084288
3,1,1179.1073343086675
3,1,1212.932246954862
3,1,1194.011691394181
3,1,1270.6010162767184
3,1,1268.8314039921077
3,1,1132.2724801255447
3,1,1150.3917018624034
2,2,1137.6579083991742
3,2,1156.1611152992493
3,2,1126.4088500295354
3,2,1164.1128891336534
2,2,1172.3864681901807
2,2,1211.694072319707
2,2,1146.1551140992726
3,2,1163.0684903122412
2,2,1136.492342588791
5,1,1129.5969954234179
5,1,1143.7469322133204
4,1,1142.0823544317138
4,1,1135.0894199636887
5,1,1215.661488073151
5,1,1320.3687912596026
5,1,1174.1473731291176
5,1,1149.6070439402547
5,1,1312.038991027783
