EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4
2018,1964,2
2018,1964,2
2018,1960,2
2018,1961,2
2018,1963,2
2018,1960,2
2018,1963,2
2018,1965,2
2018,1970,2
2018,1971,2
2018,1970,2
2018,1971,2
2018,1971,2
2018,1973,2
2018,1970,2
2018,1982,2
2018,1982,2
2018,1977,2
2018,1976,2
2018,1981,2
2018,1976,2
2018,1964,1
2018,1964,1
2018,1965,1
2018,1965,1
2018,1965,1
2018,1965,1
2018,1965,1
2018,1965,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1964,1
2018,1965,1
2018,1964,1
2018,1964,1
2018,1965,1
2018,1970,1
2018,1975,1
2018,1972,1
2018,1971,1
2018,1970,1
2018,1973,1
2018,1973,1
2018,1973,1
2018,1977,1
2018,1976,1
2018,1976,1
2018,1976,1
2018,1977,1
2018,1976,1
2018,1977,1
2018,1994,1
2018,1993,1
2018,1993,1
2018,1997,1
2018,1998,1
2018,1998,1
2018,1998,1
2018,1999,1
2018,1999,1
2018,1998,1
2018,1989,1
2018,1989,1
2018,1989,1
2018,1989,1
2018,1988,1
2018,1988,1
2018,1988,1
2018,1989,1
2018,1989,1
2018,1988,1
2018,1988,1
2018,1989,1
2018,1989,1
2018,1988,1
2018,1988,1
2018,1988,1
2018,2005,1
2018,2005,1
2018,2005,1
2018,2004,1
2018,2004,1
2018,2004,1
2018,2005,1
2018,2004,1
2018,2004,1
2018,2005,1
2018,2008,1
2018,2013,1
2018,2009,1
2018,2014,1
2018,2014,1
2018,2008,1
2018,2014,1
2018,2012,1
2018,2015,1
2018,1998,2
2018,1998,2
2018,1997,2
2018,1997,2
2018,1997,2
2018,1998,2
2018,1997,2
2018,1999,2
2018,1990,2
2018,1990,2
2018,1988,2
2018,1988,2
2018,1988,2
2018,1988,2
2018,1988,2
2018,1989,2
2018,1988,2
2018,1988,2
2018,2008,2
2018,2008,2
2018,2008,2
2018,2008,2
2018,2009,2
2018,2005,2
2018,2003,2
2018,2005,2
2018,2003,2
2018,2005,2
2018,2004,2
2018,2005,2
2018,2003,2
