EF14U2,EF12U2,TAETIGKEITSSCHLUESSEL4,TAETIGKEITSSCHLUESSEL5
2018,1960,2,3
2018,1960,2,3
2018,1977,2,3
2018,1977,2,3
2018,1976,2,3
2018,1976,2,3
2018,1976,2,3
2018,1977,2,3
2018,1977,2,3
2018,1977,2,3
2018,1980,2,3
2018,1981,2,3
2018,1971,2,1
2018,1971,2,1
2018,1973,2,1
2018,1972,2,1
2018,1971,2,1
2018,1974,2,1
2018,1971,2,1
2018,1970,2,1
2018,1970,2,1
2018,1971,2,1
2018,1955,1,3
2018,1953,1,3
2018,1955,1,3
2018,1962,1,3
2018,1964,1,3
2018,1956,1,3
2018,1956,1,3
2018,1961,1,3
2018,1966,1,3
2018,1957,1,3
2018,1970,1,3
2018,1970,1,3
2018,1971,1,3
2018,1970,1,3
2018,1970,1,3
2018,1977,1,3
2018,1970,1,3
2018,1970,1,3
2018,1996,1,1
2018,1992,1,1
2018,1997,1,1
2018,1995,1,1
2018,1999,1,1
2018,1998,1,1
2018,1996,1,1
2018,1988,1,1
2018,1989,1,1
2018,1990,1,1
2018,1990,1,1
2018,1990,1,1
2018,1989,1,1
2018,1988,1,1
2018,1989,1,1
2018,1990,1,1
2018,1989,1,1
2018,2009,1,1
2018,2009,1,1
2018,2015,1,1
2018,2015,1,1
2018,2014,1,1
2018,2009,1,1
2018,2012,1,1
2018,1996,1,3
2018,1998,1,3
2018,1997,1,3
2018,1990,1,3
2018,1990,1,3
2018,1989,1,3
2018,1989,1,3
2018,1990,1,3
2018,2003,1,3
2018,2003,1,3
2018,2002,1,3
2018,2003,1,3
2018,2003,1,3
2018,2003,1,3
2018,2003,1,3
2018,2003,1,3
2018,2003,1,3
2018,2003,1,3
2018,2003,1,3
2018,1972,1,1
2018,1970,1,1
2018,1970,1,1
2018,1974,1,1
2018,1970,1,1
2018,1965,1,1
2018,1965,1,1
2018,1964,1,1
2018,1964,1,1
2018,1964,1,1
2018,1965,1,1
2018,1990,2,3
2018,1990,2,3
2018,1998,2,3
2018,1993,2,3
2018,1995,2,3
2018,1998,2,3
2018,1999,2,3
2018,1988,2,3
2018,1988,2,3
2018,1988,2,3
2018,1998,2,3
2018,1994,2,3
2018,2004,2,3
2018,2004,2,3
2018,2002,2,3
2018,2008,2,3
2018,2005,2,3
2018,2004,2,3
2018,2009,2,3
2018,2002,2,3
2018,2009,2,3
2018,1989,2,1
2018,1996,2,1
2018,1990,2,1
2018,1990,2,1
2018,1990,2,1
2018,1990,2,1
2018,1990,2,1
2018,1990,2,1
2018,1990,2,1
2018,1999,2,1
2018,1990,2,1
2018,1990,2,1
2018,1990,2,1
2018,1990,2,1
2018,1990,2,1
