EF16U2,TAETIGKEITSSCHLUESSEL4
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
5,2
1,2
1,2
1,2
1,2
1,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,1
